CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,3.503824,-4.0748825
6329,CN,Existing,3.398205,-3.814004
6341,CCN,Existing,3.836851,-4.7043915
7852,CCCN,Existing,3.9581265,-5.676811
8007,CCCCN,Existing,4.392711,-6.5869684
8060,CCCCCN,Existing,4.6293635,-6.1116
8102,CCCCCCN,Existing,4.812631,-6.6655083
8127,CCCCCCCN,Existing,5.575202,-6.829378
8143,CCCCCCCCN,Existing,4.9853487,-7.1054206
16215,CCCCCCCCCN,Existing,5.11184,-6.927441
8916,CCCCCCCCCCN,Existing,4.914725,-6.4535217
13583,CCCCCCCCCCCCN,Existing,4.7807703,-6.9435935
16217,CCCCCCCCCCCCCCN,Existing,5.3095117,-6.6802607
8926,CCCCCCCCCCCCCCCCN,Existing,5.1675153,-6.3762574
15793,CCCCCCCCCCCCCCCCCCN,Existing,5.1550527,-6.8600607
6363,CC(C)N,Existing,3.901967,-3.0205853
24874,CCC(C)N,Existing,4.2187195,-2.890374
6558,CC(C)CN,Existing,6.2690654,-5.8379593
5603,CCCCCC(C)N,Existing,5.2758875,-2.872214
7719,CCCCC(CC)CN,Existing,6.636241,-5.325034
7853,C=CCN,Existing,6.092216,-4.715178
10034574,C#CCCN,Existing,5.514163,-6.276187
155569865,CCCCC#CC#CCCN,Existing,6.197453,-6.3086295
674,CNC,Existing,4.1483407,-4.288775
1146,CN(C)C,Existing,3.5758946,-4.230457
9321,NN,Existing,3.1694512,-4.063021
6061,CNN,Existing,3.6527362,-4.611454
67171,CC(=N)N,Existing,4.360952,-3.8427255
1647,N#CCCN,Existing,5.194849,-7.307068
3520,N=C(N)N,Existing,4.1805143,-4.0909014
68047,N=CN,Existing,3.822678,-3.9869797
5142,CSC(=N)N,Existing,6.385174,-2.0709324
239,NCCC(=O)O,Existing,5.8850346,-5.5939827
119,NCCCC(=O)O,Existing,5.797415,-5.2995524
138,NCCCCC(=O)O,Existing,5.5052505,-5.295035
787,NO,Existing,3.5431547,-3.8698504
700,NCCO,Existing,4.7639704,-4.9924545
9086,NCCCO,Existing,4.841214,-5.725974
25868,NCCCCO,Existing,5.5078254,-5.8000937
75634,NCCCCCO,Existing,5.372435,-5.8638496
19960,NCCCCCCO,Existing,5.6531253,-5.381824
13306451,NCCI,Existing,5.045739,-5.015127
21194665,NCCCI,Existing,4.814353,-5.271848
21440816,NCCCCI,Existing,5.2044735,-5.5403943
86056440,NCCCCCI,Existing,5.598049,-5.382686
13406458,NCCCCCCI,Existing,5.3480725,-5.3505425
7851,NCCBr,Existing,4.226176,-5.512876
13369,NCCCl,Existing,5.6163845,-4.346188
9996,NCCF,Existing,4.324918,-5.647612
136274,NCC(F)F,Existing,4.709657,-5.6595755
9773,NCC(F)(F)F,Existing,4.7489743,-5.4825363
69828,NC1CC1,Existing,3.8174071,-2.9685256
75645,NC1CCC1,Existing,4.653883,-2.9025948
2906,NC1CCCC1,Existing,4.3656125,-2.6162837
7965,NC1CCCCC1,Existing,4.469125,-3.1141484
2899,NC1CCCCCC1,Existing,4.821859,-3.4015448
2903,NC1CCCCCCC1,Existing,4.643287,-2.8140101
76688,NCC1CCCCC1,Existing,6.68488,-5.5737257
20509,NCCC1CCCCC1,Existing,6.1993423,-5.634018
76938,NCCC1=CCCCC1,Existing,7.032798,-3.710335
419223,NC1CCOCC1,Existing,5.600263,-2.2430174
129866010,CC1CC(ON)OC1C,Existing,8.3467865,-2.6748307
3847030,NC1CCC(F)(F)CC1,Existing,5.887326,-2.7822306
10422,C1CNC1,Existing,4.8525763,-4.7615585
8082,C1CCNCC1,Existing,7.3928256,-5.509674
66059,C1=CCNC1,Existing,7.031303,-4.748893
52911246,FC1CCCNCC1,Existing,8.342343,-4.580295
2758352,FC1(F)CCNCC1,Existing,8.024985,-4.879314
7504,NCc1ccccc1,Existing,7.588461,1.3375926
66035,Cc1ccc(CN)cc1,Existing,8.143309,1.2916628
7515,CNc1ccccc1,Existing,9.817718,-1.1258386
1001,NCCc1ccccc1,Existing,6.789942,-0.67600954
7408,CC(N)c1ccccc1,Existing,6.1647577,1.4819815
643189,CC(N)c1ccccc1,Existing,6.411014,1.7668954
75818,CC(N)c1ccccc1,Existing,6.3688126,1.7644302
76751,Cc1ccc(CCN)cc1,Existing,7.1296625,-1.0265232
1547949,CC(CN)c1ccccc1,Existing,6.1320896,-2.2338
1547950,CC(CN)c1ccccc1,Existing,6.447041,-2.4292321
414329,Cc1cc(C)cc(CCN)c1,Existing,7.068931,-1.3820515
16259,NCCCc1ccccc1,Existing,6.727365,-2.1615815
83242,NCCCCc1ccccc1,Existing,6.662105,-2.3734338
137282,NCc1ccc2ccccc2c1,Existing,8.588796,0.5510129
98089,CC(N)c1cccc2ccccc12,Existing,8.33399,1.185136
66325,CC(N)c1cccc2ccccc12,Existing,8.675764,1.1730756
2724264,CC(N)c1cccc2ccccc12,Existing,8.770296,1.0880413
3784378,NCCc1ccc2ccccc2c1,Existing,8.026445,-0.9532725
7102,Nc1ccc(-c2ccccc2)cc1,Existing,11.2825165,-0.36718538
28210,NCCc1ccc(-c2ccccc2)cc1,Existing,7.286952,-0.55725944
3311060,NCCCCc1ccc2ccc3cccc4ccc1c2c34,Existing,7.966195,-2.4436088
34005,NCc1cccs1,Existing,7.6615806,-2.3246715
116521,NCCc1cccs1,Existing,7.723616,-1.7641536
22250,CNc1ccc(OC)cc1,Existing,9.7323885,-1.6920067
4657,COc1ccc(CCN)cc1,Existing,8.239201,-1.2293438
7807,Nc1ccc(Br)cc1,Existing,10.271841,-0.1940868
77571,NCc1ccc(Br)cc1,Existing,8.0809965,0.61841804
457588,CNCc1cccc(Br)c1,Existing,8.415438,-0.64194906
