CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,10.835455,10.318223
6329,CN,Existing,10.908868,10.332968
6341,CCN,Existing,11.596267,10.180098
7852,CCCN,Existing,12.045793,10.184496
8007,CCCCN,Existing,12.956343,10.554171
8060,CCCCCN,Existing,12.755823,10.7014
8102,CCCCCCN,Existing,12.940189,10.906377
8127,CCCCCCCN,Existing,13.066167,10.977864
8143,CCCCCCCCN,Existing,13.124598,11.035196
16215,CCCCCCCCCN,Existing,13.064754,10.928389
8916,CCCCCCCCCCN,Existing,12.953011,10.923127
13583,CCCCCCCCCCCCN,Existing,13.137555,10.8202095
16217,CCCCCCCCCCCCCCN,Existing,13.004079,10.957356
8926,CCCCCCCCCCCCCCCCN,Existing,12.980052,11.0254345
15793,CCCCCCCCCCCCCCCCCCN,Existing,13.031874,10.916157
6363,CC(C)N,Existing,11.131383,10.787742
24874,CCC(C)N,Existing,11.3367195,10.912986
6558,CC(C)CN,Existing,11.774066,11.322576
5603,CCCCCC(C)N,Existing,11.176832,11.354262
7719,CCCCC(CC)CN,Existing,11.778184,11.474736
7853,C=CCN,Existing,11.510841,11.911965
10034574,C#CCCN,Existing,12.68982,10.781841
155569865,CCCCC#CC#CCCN,Existing,12.725087,11.093887
674,CNC,Existing,10.890485,10.367389
1146,CN(C)C,Existing,10.998135,10.226349
9321,NN,Existing,10.933961,10.249834
6061,CNN,Existing,11.023975,10.063888
67171,CC(=N)N,Existing,11.382187,10.619359
1647,N#CCCN,Existing,13.103357,10.674948
3520,N=C(N)N,Existing,11.289746,10.456985
68047,N=CN,Existing,11.318198,10.346719
5142,CSC(=N)N,Existing,10.610418,13.144798
239,NCCC(=O)O,Existing,12.606041,11.62113
119,NCCCC(=O)O,Existing,12.528062,11.534957
138,NCCCCC(=O)O,Existing,12.42459,11.513121
787,NO,Existing,10.99905,10.278586
700,NCCO,Existing,12.652282,11.434125
9086,NCCCO,Existing,12.777991,11.278911
25868,NCCCCO,Existing,12.451272,11.16286
75634,NCCCCCO,Existing,12.463832,11.328851
19960,NCCCCCCO,Existing,12.31309,11.386804
13306451,NCCI,Existing,12.170155,10.91203
21194665,NCCCI,Existing,12.507165,10.905402
21440816,NCCCCI,Existing,12.457379,10.970086
86056440,NCCCCCI,Existing,12.406011,10.961982
13406458,NCCCCCCI,Existing,12.44569,11.004686
7851,NCCBr,Existing,12.510126,10.6582155
13369,NCCCl,Existing,11.995878,11.968413
9996,NCCF,Existing,12.677622,10.482447
136274,NCC(F)F,Existing,12.46827,10.5477495
9773,NCC(F)(F)F,Existing,12.330102,10.647049
69828,NC1CC1,Existing,11.129318,10.851466
75645,NC1CCC1,Existing,11.01864,11.075238
2906,NC1CCCC1,Existing,10.851569,11.1656065
7965,NC1CCCCC1,Existing,10.943179,11.163496
2899,NC1CCCCCC1,Existing,10.880709,11.21275
2903,NC1CCCCCCC1,Existing,10.847356,11.273165
76688,NCC1CCCCC1,Existing,11.740508,11.596458
20509,NCCC1CCCCC1,Existing,12.321365,11.322107
76938,NCCC1=CCCCC1,Existing,9.917572,12.959925
419223,NC1CCOCC1,Existing,10.533114,12.926815
129866010,CC1CC(ON)OC1C,Existing,9.468116,13.756928
3847030,NC1CCC(F)(F)CC1,Existing,10.43776,12.904233
10422,C1CNC1,Existing,10.141141,11.309737
8082,C1CCNCC1,Existing,9.760546,11.645594
66059,C1=CCNC1,Existing,10.062772,11.801627
52911246,FC1CCCNCC1,Existing,9.323045,12.065569
2758352,FC1(F)CCNCC1,Existing,9.603731,12.141405
7504,NCc1ccccc1,Existing,10.94549,15.586275
66035,Cc1ccc(CN)cc1,Existing,10.64132,15.642799
7515,CNc1ccccc1,Existing,9.34709,14.653528
1001,NCCc1ccccc1,Existing,11.061835,14.364961
7408,CC(N)c1ccccc1,Existing,10.4298725,16.443825
643189,CC(N)c1ccccc1,Existing,10.438608,16.414766
75818,CC(N)c1ccccc1,Existing,10.381635,16.45627
76751,Cc1ccc(CCN)cc1,Existing,10.908503,14.407543
1547949,CC(CN)c1ccccc1,Existing,11.531153,13.7392845
1547950,CC(CN)c1ccccc1,Existing,11.495914,13.709132
414329,Cc1cc(C)cc(CCN)c1,Existing,11.012092,14.205369
16259,NCCCc1ccccc1,Existing,11.098534,13.548706
83242,NCCCCc1ccccc1,Existing,11.139308,13.700804
137282,NCc1ccc2ccccc2c1,Existing,10.175476,15.402284
98089,CC(N)c1cccc2ccccc12,Existing,9.968007,15.713784
66325,CC(N)c1cccc2ccccc12,Existing,9.907997,15.675862
2724264,CC(N)c1cccc2ccccc12,Existing,9.924525,15.656235
3784378,NCCc1ccc2ccccc2c1,Existing,10.388655,14.384181
7102,Nc1ccc(-c2ccccc2)cc1,Existing,8.381642,15.754944
28210,NCCc1ccc(-c2ccccc2)cc1,Existing,10.983835,14.331801
3311060,NCCCCc1ccc2ccc3cccc4ccc1c2c34,Existing,9.571176,13.792694
34005,NCc1cccs1,Existing,9.886187,13.635708
116521,NCCc1cccs1,Existing,9.968617,13.991608
22250,CNc1ccc(OC)cc1,Existing,9.215372,14.549332
4657,COc1ccc(CCN)cc1,Existing,10.474726,14.066988
7807,Nc1ccc(Br)cc1,Existing,9.190831,15.592959
77571,NCc1ccc(Br)cc1,Existing,10.52182,15.481692
457588,CNCc1cccc(Br)c1,Existing,10.220705,14.924271
2734091,NCCc1ccccc1Br,Existing,10.511038,14.176903
533915,NCCc1ccc(Br)cc1,Existing,10.876859,14.415765
18509414,NCCc1cc(Br)cc(Br)c1,Existing,10.697946,14.459783
7812,Nc1ccc(Cl)cc1,Existing,8.943522,16.290285
66036,NCc1ccc(Cl)cc1,Existing,10.6244135,15.670514
122721,CNCc1cccc(Cl)c1,Existing,10.790628,15.08567
83117,NCCc1ccccc1Cl,Existing,11.189979,13.859876
67430,NCCc1ccc(Cl)cc1,Existing,11.169588,14.21625
15670830,NCCc1cc(Cl)cc(Cl)c1,Existing,11.119046,14.322588
97803,CC(N)c1ccc(Cl)cc1,Existing,10.36425,16.350466
1715226,CC(N)c1ccc(Cl)cc1,Existing,10.342127,16.300093
1550852,CC(N)c1ccc(Cl)cc1,Existing,10.364752,16.235268
2759011,CNc1cccc(F)c1,Existing,9.388554,14.475153
68024,CNc1ccc(F)cc1,Existing,9.1904955,14.577778
66649,NCc1ccccc1F,Existing,10.515925,14.883583
67326,NCc1ccc(F)cc1,Existing,10.770042,15.282981
457577,CNCc1cccc(F)c1,Existing,10.514028,14.950701
643357,NCCc1ccccc1F,Existing,10.8483095,13.909578
533928,NCCc1cccc(F)c1,Existing,11.308887,14.091718
4653,NCCc1ccc(F)cc1,Existing,11.04484,14.074715
11052938,NCCc1c(F)c(F)c(F)c(F)c1F,Existing,10.872546,14.048913
69883,NCCc1ccccc1C(F)(F)F,Existing,10.849075,14.006795
2737533,NCc1ccc(I)cc1,Existing,10.496744,15.571477
795,c1c[nH]cn1,Existing,8.129768,13.751064
1390,Cn1ccnc1,Existing,9.285603,12.8818245
5798,c1ccc2[nH]cnc2c1,Existing,8.452205,14.126815
78736,NCCCn1ccnc1,Existing,9.607594,12.839824
9257,c1nc[nH]n1,Existing,9.018443,13.461359
10009,Nc1cccnc1,Existing,8.539779,13.042394
31018,NCc1cccnc1,Existing,8.400262,12.205018
77317,NCc1ccncc1,Existing,7.914263,12.465289
1150,NCCc1c[nH]c2ccccc12,Existing,9.2057085,13.721251
9256,c1cscn1,Existing,8.987022,12.934245
70714,Ic1cccnc1,Existing,8.801849,12.411355
12286,Brc1cccnc1,Existing,8.318272,12.408663
345375,Fc1cc2nc[nH]c2cc1F,Existing,8.51479,14.25708
3301,NCCN,Existing,11.544639,10.115277
428,NCCCN,Existing,11.5741415,9.797522
1045,NCCCCN,Existing,11.420307,9.475867
273,NCCCCCN,Existing,11.492924,9.483558
16402,NCCCCCCN,Existing,11.394426,9.438339
69533,NCCCCCCCN,Existing,11.417726,9.355098
24250,NCCCCCCCCN,Existing,11.441195,9.409558
69534,NCCCCCCCCCN,Existing,11.435091,9.380839
1317,NCCCCCCCCCCN,Existing,11.400504,9.357479
17727,NCCCCCCCCCCCCN,Existing,11.467666,9.35785
85862,CC(CN)CCCN,Existing,11.9718685,11.196211
8014,CNCCN,Existing,10.8979025,12.032106
80511,CNCCCN,Existing,10.947724,11.842641
66053,CN(C)CCN,Existing,11.343532,12.260691
66978,CNCCCNC,Existing,10.561378,11.70503
193756,C[N+](C)(C)CCN,Existing,11.613918,13.623301
4091,CN(C)C(=N)N=C(N)N,Existing,9.372472,13.860278
2915,NCCSSCCN,Existing,12.021707,12.234053
2039,N=C(N)SCCN,Existing,10.316718,13.201299
70248,NCCOCCOCCN,Existing,12.367033,11.663751
61157,NCC(O)CN,Existing,12.547442,11.471845
4610,NC1CCCCC1N,Existing,11.141197,11.191478
17354,NCC1CCC(CN)CC1,Existing,11.801872,11.586354
4837,C1CNCCN1,Existing,10.16129,11.632039
79196,CCN1CCNCC1,Existing,10.322748,12.670264
53167,CN1CCNCC1,Existing,10.157505,12.484391
8795,NCCN1CCNCC1,Existing,10.600621,12.587664
90865,NCC1CCCCN1,Existing,9.879547,12.439496
90880,NCC1CCCNC1,Existing,9.778258,12.159371
23527,NCC1CCNCC1,Existing,9.809604,11.991117
33944,NCCN1CCCCC1,Existing,11.281767,12.325269
164401,NC1CCNC1,Existing,9.920491,12.931047
75994,c1ccc(CN2CCNCC2)cc1,Existing,10.0054455,13.130771
7814,Nc1ccc(N)cc1,Existing,8.438226,15.96866
7472,CN(C)c1ccc(N)cc1,Existing,8.761713,15.619009
7935,Nc1cccc(N)c1,Existing,8.484169,16.0156
7577,Nc1ccc(Cc2ccc(N)cc2)cc1,Existing,8.410563,15.521037
20134827,NCCc1cccc(N)c1,Existing,10.269555,14.475363
74270,NCCNc1ccccc1,Existing,9.879402,14.473375
77801,NCCNCc1ccccc1,Existing,11.496647,14.52702
7111,Nc1ccc(-c2ccc(N)cc2)cc1,Existing,8.523169,15.819806
16720,Nc1cccc2c(N)cccc12,Existing,9.031088,15.374665
774,NCCc1cnc[nH]1,Existing,8.586666,13.655074
3082145,NCCc1ncc[nH]1,Existing,7.91369,13.870514
101463,c1c[nH]c(-c2ncc[nH]2)n1,Existing,7.937255,13.957035
202043,N=C(N)c1cccnc1,Existing,8.478563,12.255254
409094,N=C(N)c1ccncc1,Existing,8.04329,12.456668
11107,c1cc(-c2ccncc2)ccn1,Existing,8.109668,12.777111
78630,c1cc(CCc2ccncc2)ccn1,Existing,7.825059,12.398331
83275,NCCc1ccncc1,Existing,8.065264,12.297017
75919,NCCc1ccccn1,Existing,8.020044,13.169199
854051,NCCc1cccnc1,Existing,8.656589,12.399837
118785,CCCn1ccnc1,Potential,9.326067,12.985252
4,CC(O)CN,Potential,12.442308,11.686521
323593,Nc1ccc(Br)cc1N,Potential,9.297255,15.479745
2734101,NCCc1c(Cl)cccc1Cl,Potential,10.946044,13.912811
485400,CNCc1ccc(Br)cc1,Potential,10.288697,14.902717
12315,CCCNC,Potential,10.785122,11.913427
485432,NCc1c(Cl)cccc1Cl,Potential,10.791374,15.526452
