CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,13.087532,16.33257
6329,CN,Existing,13.145031,16.180445
6341,CCN,Existing,13.067444,16.610693
7852,CCCN,Existing,12.678022,16.992638
8007,CCCCN,Existing,12.50894,17.331596
8060,CCCCCN,Existing,12.655021,17.474726
8102,CCCCCCN,Existing,12.305549,17.627382
8127,CCCCCCCN,Existing,12.628186,18.224176
8143,CCCCCCCCN,Existing,12.665527,17.817263
16215,CCCCCCCCCN,Existing,12.373025,17.870165
8916,CCCCCCCCCCN,Existing,12.426918,17.918291
13583,CCCCCCCCCCCCN,Existing,12.509882,18.123491
16217,CCCCCCCCCCCCCCN,Existing,12.687421,18.024418
8926,CCCCCCCCCCCCCCCCN,Existing,12.6874895,18.0141
15793,CCCCCCCCCCCCCCCCCCN,Existing,12.465234,17.93155
6363,CC(C)N,Existing,13.928141,15.959294
24874,CCC(C)N,Existing,14.118132,15.992774
6558,CC(C)CN,Existing,13.629615,17.294561
5603,CCCCCC(C)N,Existing,14.728991,16.21152
7719,CCCCC(CC)CN,Existing,13.548459,18.20733
7853,C=CCN,Existing,13.804643,17.544285
10034574,C#CCCN,Existing,13.132869,17.702509
155569865,CCCCC#CC#CCCN,Existing,12.950329,18.018896
674,CNC,Existing,13.317551,16.432272
1146,CN(C)C,Existing,13.267381,16.257238
9321,NN,Existing,13.251552,16.212729
6061,CNN,Existing,12.981192,16.324604
67171,CC(=N)N,Existing,13.765159,16.095308
1647,N#CCCN,Existing,12.344269,17.957237
3520,N=C(N)N,Existing,13.461246,16.415068
68047,N=CN,Existing,13.449629,16.430595
5142,CSC(=N)N,Existing,15.405103,17.76383
239,NCCC(=O)O,Existing,14.234685,17.164507
119,NCCCC(=O)O,Existing,14.300517,17.272707
138,NCCCCC(=O)O,Existing,14.274581,17.35661
787,NO,Existing,13.355816,16.204365
700,NCCO,Existing,13.470224,17.236423
9086,NCCCO,Existing,13.400569,17.550167
25868,NCCCCO,Existing,13.571292,17.927214
75634,NCCCCCO,Existing,13.894153,17.781332
19960,NCCCCCCO,Existing,13.867766,17.938816
13306451,NCCI,Existing,13.594872,17.25338
21194665,NCCCI,Existing,13.507392,17.21588
21440816,NCCCCI,Existing,14.028994,17.416948
86056440,NCCCCCI,Existing,14.030083,17.44704
13406458,NCCCCCCI,Existing,14.168263,17.571957
7851,NCCBr,Existing,13.03885,17.18273
13369,NCCCl,Existing,13.96714,17.037497
9996,NCCF,Existing,13.045128,17.388823
136274,NCC(F)F,Existing,13.054583,17.444466
9773,NCC(F)(F)F,Existing,13.369519,17.461317
69828,NC1CC1,Existing,14.048561,15.954803
75645,NC1CCC1,Existing,14.122746,15.914518
2906,NC1CCCC1,Existing,14.4213,16.094553
