CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,3.086664,16.77382
6329,CN,Existing,3.0528917,16.790916
6341,CCN,Existing,2.792625,17.173735
7852,CCCN,Existing,2.3690302,18.11844
8007,CCCCN,Existing,1.9949908,18.503805
8060,CCCCCN,Existing,1.9904903,18.37249
8102,CCCCCCN,Existing,1.7603887,18.554121
8127,CCCCCCCN,Existing,1.6519495,18.642223
8143,CCCCCCCCN,Existing,1.7153574,18.566172
16215,CCCCCCCCCN,Existing,1.7008376,18.60322
8916,CCCCCCCCCCN,Existing,1.7252511,18.596613
13583,CCCCCCCCCCCCN,Existing,1.7318872,18.588692
16217,CCCCCCCCCCCCCCN,Existing,1.6721945,18.542158
8926,CCCCCCCCCCCCCCCCN,Existing,1.7403761,18.574938
15793,CCCCCCCCCCCCCCCCCCN,Existing,1.7532624,18.56155
6363,CC(C)N,Existing,1.8775772,15.382706
24874,CCC(C)N,Existing,1.7437643,15.555178
6558,CC(C)CN,Existing,2.1572323,17.096672
5603,CCCCCC(C)N,Existing,1.6395079,15.544466
7719,CCCCC(CC)CN,Existing,1.9709328,16.938578
7853,C=CCN,Existing,3.856418,14.52422
10034574,C#CCCN,Existing,1.8261405,18.136862
155569865,CCCCC#CC#CCCN,Existing,1.7630693,17.200846
674,CNC,Existing,3.1025715,16.741648
1146,CN(C)C,Existing,3.091498,16.774946
9321,NN,Existing,3.096501,16.763588
6061,CNN,Existing,3.2791493,16.908165
67171,CC(=N)N,Existing,2.7460923,16.697342
1647,N#CCCN,Existing,1.5790064,18.440973
3520,N=C(N)N,Existing,2.83735,16.78314
68047,N=CN,Existing,2.814361,16.783762
5142,CSC(=N)N,Existing,4.652622,13.3846655
239,NCCC(=O)O,Existing,2.4539227,16.23956
119,NCCCC(=O)O,Existing,2.3507962,16.30759
138,NCCCCC(=O)O,Existing,2.3517969,16.337929
787,NO,Existing,3.0597498,16.785986
700,NCCO,Existing,1.6645181,17.76096
9086,NCCCO,Existing,1.7447152,18.00042
25868,NCCCCO,Existing,1.690911,17.961802
75634,NCCCCCO,Existing,1.6963236,17.93782
19960,NCCCCCCO,Existing,1.6802832,17.949158
13306451,NCCI,Existing,1.4168113,17.993273
21194665,NCCCI,Existing,1.4607894,17.99819
21440816,NCCCCI,Existing,1.4589909,18.193665
86056440,NCCCCCI,Existing,1.4892466,18.104937
13406458,NCCCCCCI,Existing,1.4494681,18.117397
7851,NCCBr,Existing,1.6054127,17.796486
13369,NCCCl,Existing,2.6049156,16.166441
9996,NCCF,Existing,2.0389283,18.045921
136274,NCC(F)F,Existing,2.0873756,17.875076
9773,NCC(F)(F)F,Existing,1.9659411,17.60119
69828,NC1CC1,Existing,1.7495661,15.479211
75645,NC1CCC1,Existing,1.8106248,15.2002945
2906,NC1CCCC1,Existing,1.8128322,15.061896
7965,NC1CCCCC1,Existing,1.83908,15.076629
2899,NC1CCCCCC1,Existing,1.8057833,15.046776
2903,NC1CCCCCCC1,Existing,1.8055711,15.076756
76688,NCC1CCCCC1,Existing,2.043625,16.910881
20509,NCCC1CCCCC1,Existing,1.8287746,17.306562
76938,NCCC1=CCCCC1,Existing,4.7550354,12.927427
419223,NC1CCOCC1,Existing,2.5074754,13.498957
129866010,CC1CC(ON)OC1C,Existing,4.8232102,12.523594
3847030,NC1CCC(F)(F)CC1,Existing,2.629738,13.545255
10422,C1CNC1,Existing,4.1642833,15.106963
8082,C1CCNCC1,Existing,4.438915,14.873179
66059,C1=CCNC1,Existing,4.1911197,14.509222
52911246,FC1CCCNCC1,Existing,4.719332,14.5149145
2758352,FC1(F)CCNCC1,Existing,4.569715,14.685557
7504,NCc1ccccc1,Existing,2.8900585,10.560433
66035,Cc1ccc(CN)cc1,Existing,2.8404694,10.636538
7515,CNc1ccccc1,Existing,4.0116687,11.895194
1001,NCCc1ccccc1,Existing,2.0345542,11.541229
7408,CC(N)c1ccccc1,Existing,2.1365151,9.816593
643189,CC(N)c1ccccc1,Existing,2.1368997,9.815176
75818,CC(N)c1ccccc1,Existing,2.1731324,9.854511
76751,Cc1ccc(CCN)cc1,Existing,2.0889816,11.575396
1547949,CC(CN)c1ccccc1,Existing,1.8181919,12.349703
1547950,CC(CN)c1ccccc1,Existing,1.8664573,12.338025
414329,Cc1cc(C)cc(CCN)c1,Existing,2.0564384,11.77747
16259,NCCCc1ccccc1,Existing,2.623124,12.528891
83242,NCCCCc1ccccc1,Existing,2.630817,12.475825
137282,NCc1ccc2ccccc2c1,Existing,3.0724423,10.350952
98089,CC(N)c1cccc2ccccc12,Existing,3.3359067,10.071499
66325,CC(N)c1cccc2ccccc12,Existing,3.2990444,10.09016
2724264,CC(N)c1cccc2ccccc12,Existing,3.329445,10.086277
3784378,NCCc1ccc2ccccc2c1,Existing,2.5791073,11.812348
7102,Nc1ccc(-c2ccccc2)cc1,Existing,4.893941,10.66974
28210,NCCc1ccc(-c2ccccc2)cc1,Existing,2.168906,11.585464
3311060,NCCCCc1ccc2ccc3cccc4ccc1c2c34,Existing,4.5417104,12.849702
34005,NCc1cccs1,Existing,4.5354424,12.608058
116521,NCCc1cccs1,Existing,4.324885,12.695713
22250,CNc1ccc(OC)cc1,Existing,3.7867982,11.6977415
4657,COc1ccc(CCN)cc1,Existing,2.5391045,11.89079
7807,Nc1ccc(Br)cc1,Existing,5.2163215,10.835333
77571,NCc1ccc(Br)cc1,Existing,2.838045,10.913018
457588,CNCc1cccc(Br)c1,Existing,3.2517147,11.133675
2734091,NCCc1ccccc1Br,Existing,2.452329,11.821217
533915,NCCc1ccc(Br)cc1,Existing,2.2529883,11.680217
18509414,NCCc1cc(Br)cc(Br)c1,Existing,2.3843052,11.755504
7812,Nc1ccc(Cl)cc1,Existing,4.8679547,9.882168
66036,NCc1ccc(Cl)cc1,Existing,2.641855,10.632614
122721,CNCc1cccc(Cl)c1,Existing,3.1917295,11.098278
83117,NCCc1ccccc1Cl,Existing,2.2236404,12.094057
67430,NCCc1ccc(Cl)cc1,Existing,2.0784898,12.105607
15670830,NCCc1cc(Cl)cc(Cl)c1,Existing,2.0636024,12.111306
97803,CC(N)c1ccc(Cl)cc1,Existing,2.189475,9.898893
1715226,CC(N)c1ccc(Cl)cc1,Existing,2.213069,9.910045
