CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,18.44565,20.088152
6329,CN,Existing,18.46564,20.238962
6341,CCN,Existing,18.780489,20.045496
7852,CCCN,Existing,19.335423,20.265207
8007,CCCCN,Existing,19.810547,20.013521
8060,CCCCCN,Existing,19.84945,19.614264
8102,CCCCCCN,Existing,20.404728,19.726736
8127,CCCCCCCN,Existing,20.529362,19.557518
8143,CCCCCCCCN,Existing,20.429045,19.47286
16215,CCCCCCCCCN,Existing,20.32855,19.491028
8916,CCCCCCCCCCN,Existing,20.407043,19.39079
13583,CCCCCCCCCCCCN,Existing,20.172419,19.593267
16217,CCCCCCCCCCCCCCN,Existing,20.379208,19.597513
8926,CCCCCCCCCCCCCCCCN,Existing,20.471746,19.37698
15793,CCCCCCCCCCCCCCCCCCN,Existing,20.229097,19.630497
6363,CC(C)N,Existing,17.563177,19.675903
24874,CCC(C)N,Existing,17.76749,19.439585
6558,CC(C)CN,Existing,18.854326,19.227058
5603,CCCCCC(C)N,Existing,17.89918,19.04809
7719,CCCCC(CC)CN,Existing,18.755457,18.504417
7853,C=CCN,Existing,19.24972,18.365335
10034574,C#CCCN,Existing,19.832233,19.505411
155569865,CCCCC#CC#CCCN,Existing,19.576452,19.058275
674,CNC,Existing,18.524973,20.295567
1146,CN(C)C,Existing,18.329908,20.228521
9321,NN,Existing,18.390348,20.156555
6061,CNN,Existing,18.35687,20.500805
67171,CC(=N)N,Existing,18.088713,19.821325
1647,N#CCCN,Existing,20.458982,19.295553
3520,N=C(N)N,Existing,18.326284,20.00714
68047,N=CN,Existing,18.211462,20.109324
5142,CSC(=N)N,Existing,17.61462,16.32126
239,NCCC(=O)O,Existing,20.084314,18.585306
119,NCCCC(=O)O,Existing,20.064768,18.558329
138,NCCCCC(=O)O,Existing,20.024088,18.490503
787,NO,Existing,18.344603,20.14297
700,NCCO,Existing,19.711498,18.49285
9086,NCCCO,Existing,20.19291,18.916393
25868,NCCCCO,Existing,20.125305,19.035566
75634,NCCCCCO,Existing,20.026188,18.814222
19960,NCCCCCCO,Existing,19.82784,18.777863
13306451,NCCI,Existing,19.711182,19.875488
21194665,NCCCI,Existing,19.692085,19.82179
21440816,NCCCCI,Existing,19.881203,19.721083
86056440,NCCCCCI,Existing,19.904835,19.71916
13406458,NCCCCCCI,Existing,19.939707,19.574677
7851,NCCBr,Existing,19.389805,19.959911
13369,NCCCl,Existing,19.013044,18.762964
9996,NCCF,Existing,19.40972,19.577925
136274,NCC(F)F,Existing,19.239037,19.43892
9773,NCC(F)(F)F,Existing,19.241127,19.010866
69828,NC1CC1,Existing,17.593428,19.581581
