CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,6.128041,3.9008288
6329,CN,Existing,6.165959,3.965074
6341,CCN,Existing,6.4469557,3.6826289
7852,CCCN,Existing,6.7566104,3.533402
8007,CCCCN,Existing,7.742235,3.5898972
8060,CCCCCN,Existing,7.576503,3.7174306
8102,CCCCCCN,Existing,7.788963,3.8912942
8127,CCCCCCCN,Existing,7.8698874,3.9001682
8143,CCCCCCCCN,Existing,7.880752,3.9383264
16215,CCCCCCCCCN,Existing,7.890007,3.8956685
8916,CCCCCCCCCCN,Existing,7.848719,3.7968028
13583,CCCCCCCCCCCCN,Existing,7.9442897,3.7948494
16217,CCCCCCCCCCCCCCN,Existing,7.833857,3.9173336
8926,CCCCCCCCCCCCCCCCN,Existing,7.854181,3.9426014
15793,CCCCCCCCCCCCCCCCCCN,Existing,7.8950677,3.8724508
6363,CC(C)N,Existing,7.3450027,5.1521673
24874,CCC(C)N,Existing,7.2883296,5.1798196
6558,CC(C)CN,Existing,6.6754,4.4197044
5603,CCCCCC(C)N,Existing,7.4096336,5.417713
7719,CCCCC(CC)CN,Existing,6.979377,4.619205
7853,C=CCN,Existing,6.3976526,4.820113
10034574,C#CCCN,Existing,7.3800983,3.6809263
155569865,CCCCC#CC#CCCN,Existing,7.6581845,4.021662
674,CNC,Existing,6.0574474,4.0214705
1146,CN(C)C,Existing,6.109204,3.9270663
9321,NN,Existing,6.1730824,3.9228227
6061,CNN,Existing,6.0409207,3.810301
67171,CC(=N)N,Existing,6.62875,4.083055
1647,N#CCCN,Existing,7.9492583,3.7329092
3520,N=C(N)N,Existing,6.550908,3.9998677
68047,N=CN,Existing,6.504055,3.9296582
5142,CSC(=N)N,Existing,6.196169,6.305824
239,NCCC(=O)O,Existing,7.733823,4.3647027
119,NCCCC(=O)O,Existing,7.694197,4.393472
138,NCCCCC(=O)O,Existing,7.5637293,4.4585443
787,NO,Existing,6.1513953,3.930016
700,NCCO,Existing,7.3339486,4.11229
9086,NCCCO,Existing,7.4564342,3.9923832
25868,NCCCCO,Existing,7.300927,4.1029305
75634,NCCCCCO,Existing,7.311231,4.2169313
19960,NCCCCCCO,Existing,7.283614,4.143846
13306451,NCCI,Existing,7.384688,4.262917
21194665,NCCCI,Existing,7.5427785,4.055728
21440816,NCCCCI,Existing,7.674429,4.130564
86056440,NCCCCCI,Existing,7.5392833,4.0521393
13406458,NCCCCCCI,Existing,7.621293,4.1339226
7851,NCCBr,Existing,7.408302,3.8806694
13369,NCCCl,Existing,6.4633164,4.5993457
9996,NCCF,Existing,7.1425695,3.655714
136274,NCC(F)F,Existing,7.0737453,3.7822027
9773,NCC(F)(F)F,Existing,7.1319094,3.7989035
69828,NC1CC1,Existing,7.369978,5.1194468
75645,NC1CCC1,Existing,7.4739804,5.2816772
2906,NC1CCCC1,Existing,7.6209435,5.091403
7965,NC1CCCCC1,Existing,7.500896,5.175979
2899,NC1CCCCCC1,Existing,7.742909,5.0303526
2903,NC1CCCCCCC1,Existing,7.6568456,4.986742
76688,NCC1CCCCC1,Existing,6.677268,4.8112855
20509,NCCC1CCCCC1,Existing,7.2855215,4.3746943
76938,NCCC1=CCCCC1,Existing,5.4797,6.3519163
419223,NC1CCOCC1,Existing,6.6878414,6.13451
129866010,CC1CC(ON)OC1C,Existing,5.2718563,7.111905
3847030,NC1CCC(F)(F)CC1,Existing,6.520812,6.142307
10422,C1CNC1,Existing,5.521201,4.6703854
8082,C1CCNCC1,Existing,5.224534,5.10009
66059,C1=CCNC1,Existing,5.4703665,5.1134906
52911246,FC1CCCNCC1,Existing,4.8722153,5.530812
2758352,FC1(F)CCNCC1,Existing,5.0976005,5.52422
7504,NCc1ccccc1,Existing,6.9124017,8.504886
66035,Cc1ccc(CN)cc1,Existing,6.8234296,8.559178
7515,CNc1ccccc1,Existing,5.142267,8.022724
1001,NCCc1ccccc1,Existing,7.181475,7.496416
7408,CC(N)c1ccccc1,Existing,6.9753475,9.357247
643189,CC(N)c1ccccc1,Existing,6.9405713,9.321249
75818,CC(N)c1ccccc1,Existing,6.939228,9.360197
