CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,0.0907656,1.2525944
6329,CN,Existing,0.30662534,1.8205618
6341,CCN,Existing,-0.48785096,1.1131657
7852,CCCN,Existing,-1.1371605,1.0819464
8007,CCCCN,Existing,-1.5798769,0.82064146
8060,CCCCCN,Existing,-1.3840519,0.6044197
8102,CCCCCCN,Existing,-1.8185085,0.5519675
8127,CCCCCCCN,Existing,-2.2159798,0.041082963
8143,CCCCCCCCN,Existing,-2.1903636,0.16997188
16215,CCCCCCCCCN,Existing,-2.0021074,-0.20923384
8916,CCCCCCCCCCN,Existing,-2.1737893,-0.36800313
13583,CCCCCCCCCCCCN,Existing,-1.6289018,-0.23224491
16217,CCCCCCCCCCCCCCN,Existing,-1.9368613,0.059215114
8926,CCCCCCCCCCCCCCCCN,Existing,-2.2134666,-0.07457993
15793,CCCCCCCCCCCCCCCCCCN,Existing,-1.9416482,-0.16613585
6363,CC(C)N,Existing,1.0348204,1.7661326
24874,CCC(C)N,Existing,1.8381568,1.5540652
6558,CC(C)CN,Existing,-0.011586196,0.35524908
5603,CCCCCC(C)N,Existing,2.211883,0.9140431
7719,CCCCC(CC)CN,Existing,-0.6741309,-1.2320197
7853,C=CCN,Existing,-0.20821232,-0.041952487
10034574,C#CCCN,Existing,-1.2509202,0.25832856
155569865,CCCCC#CC#CCCN,Existing,-1.5320609,-0.6507256
674,CNC,Existing,0.07274237,1.4847208
1146,CN(C)C,Existing,0.14751306,1.6000384
9321,NN,Existing,0.23505627,1.7548977
6061,CNN,Existing,-0.4128921,1.6953944
67171,CC(=N)N,Existing,0.4983151,1.4085666
1647,N#CCCN,Existing,-1.9563373,0.33830103
3520,N=C(N)N,Existing,-0.12959655,1.1910887
68047,N=CN,Existing,-0.016995318,1.1211557
5142,CSC(=N)N,Existing,1.4006582,-0.29194468
239,NCCC(=O)O,Existing,0.24275629,-0.3334831
119,NCCCC(=O)O,Existing,0.32060197,-0.9879166
138,NCCCCC(=O)O,Existing,0.035587467,-1.0183744
787,NO,Existing,0.01425478,1.5098995
700,NCCO,Existing,-0.16438214,0.40975776
9086,NCCCO,Existing,-0.9490792,-0.12767956
25868,NCCCCO,Existing,-0.6732248,-0.1861243
75634,NCCCCCO,Existing,-0.1751789,-0.29194748
19960,NCCCCCCO,Existing,-0.44052508,-0.68609107
13306451,NCCI,Existing,-0.83494294,0.0014278727
21194665,NCCCI,Existing,-1.0319023,-0.2526217
21440816,NCCCCI,Existing,-1.0509627,-0.31983644
86056440,NCCCCCI,Existing,-1.193113,-0.84934783
13406458,NCCCCCCI,Existing,-1.0420204,-0.7022795
7851,NCCBr,Existing,-0.88754874,0.35525545
13369,NCCCl,Existing,0.39406842,0.13853231
9996,NCCF,Existing,-1.2913595,0.55787325
136274,NCC(F)F,Existing,-0.93866175,0.39280996
9773,NCC(F)(F)F,Existing,-0.5397863,0.58291185
69828,NC1CC1,Existing,1.386285,1.6679989
75645,NC1CCC1,Existing,1.3655404,1.2688968
2906,NC1CCCC1,Existing,1.2381465,1.08208
7965,NC1CCCCC1,Existing,1.1771202,1.0442839
2899,NC1CCCCCC1,Existing,1.4926312,0.64407945
2903,NC1CCCCCCC1,Existing,1.2031054,0.48126838
76688,NCC1CCCCC1,Existing,0.3284727,-0.6982718
20509,NCCC1CCCCC1,Existing,-0.38183558,-0.50574595
76938,NCCC1=CCCCC1,Existing,1.0067174,-1.5768027
419223,NC1CCOCC1,Existing,2.258626,0.16172363
129866010,CC1CC(ON)OC1C,Existing,1.7053422,-2.6852062
3847030,NC1CCC(F)(F)CC1,Existing,2.0750432,-0.3086258
10422,C1CNC1,Existing,-1.3761009,-1.4365976
8082,C1CCNCC1,Existing,-0.9649724,-2.2051463
66059,C1=CCNC1,Existing,-0.0370068,-1.5749537
52911246,FC1CCCNCC1,Existing,-0.18449683,-2.8399746
2758352,FC1(F)CCNCC1,Existing,-0.22698385,-2.5283961
7504,NCc1ccccc1,Existing,4.7229624,-0.32910824
66035,Cc1ccc(CN)cc1,Existing,4.7559023,-0.8383962
7515,CNc1ccccc1,Existing,3.594981,-4.0143657
1001,NCCc1ccccc1,Existing,2.0912104,-0.4596577
7408,CC(N)c1ccccc1,Existing,5.7759175,-1.3677013
643189,CC(N)c1ccccc1,Existing,5.7956843,-1.2426853
75818,CC(N)c1ccccc1,Existing,5.716742,-1.1371981
76751,Cc1ccc(CCN)cc1,Existing,1.750182,-0.9082552
1547949,CC(CN)c1ccccc1,Existing,1.4166055,0.0767105
1547950,CC(CN)c1ccccc1,Existing,1.5994346,-0.080423295
414329,Cc1cc(C)cc(CCN)c1,Existing,1.7651458,-1.0665201
16259,NCCCc1ccccc1,Existing,1.3131808,-0.7660795
83242,NCCCCc1ccccc1,Existing,1.1882371,-1.0986996
137282,NCc1ccc2ccccc2c1,Existing,4.3351407,-1.7996777
98089,CC(N)c1cccc2ccccc12,Existing,4.5527678,-2.194833
66325,CC(N)c1cccc2ccccc12,Existing,4.4295106,-2.1280863
2724264,CC(N)c1cccc2ccccc12,Existing,4.616124,-2.347671
3784378,NCCc1ccc2ccccc2c1,Existing,2.6571147,-1.6664702
7102,Nc1ccc(-c2ccccc2)cc1,Existing,4.3772287,-4.1400623
28210,NCCc1ccc(-c2ccccc2)cc1,Existing,2.4524655,-1.2661079
3311060,NCCCCc1ccc2ccc3cccc4ccc1c2c34,Existing,1.900291,-2.2521274
34005,NCc1cccs1,Existing,2.5556185,-1.9759332
116521,NCCc1cccs1,Existing,1.8265316,-1.7938399
22250,CNc1ccc(OC)cc1,Existing,3.0077806,-3.7710762
4657,COc1ccc(CCN)cc1,Existing,2.1592011,-1.7514637
7807,Nc1ccc(Br)cc1,Existing,4.5801063,-3.301536
77571,NCc1ccc(Br)cc1,Existing,4.4065967,-0.9611374
457588,CNCc1cccc(Br)c1,Existing,3.3634534,-1.8669192
2734091,NCCc1ccccc1Br,Existing,1.7043583,-1.4417442
533915,NCCc1ccc(Br)cc1,Existing,2.244059,-1.2748644
18509414,NCCc1cc(Br)cc(Br)c1,Existing,2.4062145,-1.6313485
7812,Nc1ccc(Cl)cc1,Existing,5.507169,-3.258388
66036,NCc1ccc(Cl)cc1,Existing,4.887673,-0.96255004
122721,CNCc1cccc(Cl)c1,Existing,3.6796463,-1.6603103
83117,NCCc1ccccc1Cl,Existing,2.7483485,-0.716707
67430,NCCc1ccc(Cl)cc1,Existing,2.178878,-0.71548545
15670830,NCCc1cc(Cl)cc(Cl)c1,Existing,2.0542922,-0.521987
97803,CC(N)c1ccc(Cl)cc1,Existing,5.3565645,-1.398186
1715226,CC(N)c1ccc(Cl)cc1,Existing,5.43452,-1.485663
1550852,CC(N)c1ccc(Cl)cc1,Existing,5.192221,-1.7263104
2759011,CNc1cccc(F)c1,Existing,3.2287774,-3.0486612
68024,CNc1ccc(F)cc1,Existing,3.2715218,-3.4416173
66649,NCc1ccccc1F,Existing,3.4283986,-1.4939393
67326,NCc1ccc(F)cc1,Existing,4.2750955,-1.1842197
457577,CNCc1cccc(F)c1,Existing,3.480282,-2.1044412
643357,NCCc1ccccc1F,Existing,2.3297973,-0.8236504
533928,NCCc1cccc(F)c1,Existing,2.1370997,-0.5684634
4653,NCCc1ccc(F)cc1,Existing,2.0325985,-0.90286285
11052938,NCCc1c(F)c(F)c(F)c(F)c1F,Existing,1.6912702,-1.2318941
69883,NCCc1ccccc1C(F)(F)F,Existing,2.2441971,-0.871587
2737533,NCc1ccc(I)cc1,Existing,4.9487042,-1.459618
795,c1c[nH]cn1,Existing,1.953198,-4.2603426
1390,Cn1ccnc1,Existing,1.0701958,-2.6659281
5798,c1ccc2[nH]cnc2c1,Existing,2.761319,-4.5885878
78736,NCCCn1ccnc1,Existing,0.91134655,-2.3090525
9257,c1nc[nH]n1,Existing,1.6212069,-3.1642475
10009,Nc1cccnc1,Existing,1.3217077,-4.4596667
31018,NCc1cccnc1,Existing,-0.14400442,-4.715601
77317,NCc1ccncc1,Existing,0.13140234,-4.8016725
1150,NCCc1c[nH]c2ccccc12,Existing,2.2033193,-2.4619067
9256,c1cscn1,Existing,0.87400836,-3.3343754
70714,Ic1cccnc1,Existing,-0.23486482,-3.4751885
12286,Brc1cccnc1,Existing,0.3134452,-4.53253
345375,Fc1cc2nc[nH]c2cc1F,Existing,2.5989435,-3.829349
3301,NCCN,Existing,-0.520421,1.1312612
428,NCCCN,Existing,-1.024231,1.6175848
1045,NCCCCN,Existing,-0.90687877,2.0725508
273,NCCCCCN,Existing,-1.215465,1.8009481
16402,NCCCCCCN,Existing,-1.260656,2.1652381
69533,NCCCCCCCN,Existing,-1.2052916,2.3108838
