CID,RDKIT_SMILES,Type,UMAP-1,UMAP-2
222,N,Existing,12.607643,10.121494
6329,CN,Existing,12.642051,10.142977
6341,CCN,Existing,13.030845,9.908081
7852,CCCN,Existing,13.677992,10.173591
8007,CCCCN,Existing,13.923339,10.13151
8060,CCCCCN,Existing,13.902563,9.927802
8102,CCCCCCN,Existing,14.092675,9.993205
8127,CCCCCCCN,Existing,14.305666,9.996185
8143,CCCCCCCCN,Existing,14.1851845,9.969856
16215,CCCCCCCCCN,Existing,14.245399,9.9380455
8916,CCCCCCCCCCN,Existing,14.198713,9.976624
13583,CCCCCCCCCCCCN,Existing,14.161719,9.98696
16217,CCCCCCCCCCCCCCN,Existing,14.259486,9.927538
8926,CCCCCCCCCCCCCCCCN,Existing,14.175802,9.88071
15793,CCCCCCCCCCCCCCCCCCN,Existing,14.082409,9.94218
6363,CC(C)N,Existing,11.6890135,10.129433
24874,CCC(C)N,Existing,11.82639,10.010733
6558,CC(C)CN,Existing,13.131332,8.405398
5603,CCCCCC(C)N,Existing,11.775651,9.854748
7719,CCCCC(CC)CN,Existing,12.929921,8.25636
7853,C=CCN,Existing,12.140527,8.243692
10034574,C#CCCN,Existing,13.968554,9.488487
155569865,CCCCC#CC#CCCN,Existing,13.322138,9.046567
674,CNC,Existing,12.591933,10.103581
1146,CN(C)C,Existing,12.588239,10.144966
9321,NN,Existing,12.59824,10.127372
6061,CNN,Existing,12.756173,10.415857
67171,CC(=N)N,Existing,12.367998,9.967806
1647,N#CCCN,Existing,14.099661,9.696131
3520,N=C(N)N,Existing,12.600959,10.011104
68047,N=CN,Existing,12.58328,9.978954
5142,CSC(=N)N,Existing,9.695024,7.6235723
239,NCCC(=O)O,Existing,13.029518,8.995603
119,NCCCC(=O)O,Existing,13.12216,8.867005
138,NCCCCC(=O)O,Existing,13.100193,8.8146715
787,NO,Existing,12.591339,10.079268
700,NCCO,Existing,13.977693,9.063733
9086,NCCCO,Existing,13.960856,9.289832
25868,NCCCCO,Existing,13.979124,9.256459
75634,NCCCCCO,Existing,13.969355,9.236955
19960,NCCCCCCO,Existing,13.931738,9.241566
13306451,NCCI,Existing,14.397923,9.2852335
