PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,144213429,12688,Active,100
3,170466878,11556711,Active,82
4,251919761,183559,Active,81
5,144209828,23160059,Active,80
6,170465087,387447,Active,79
7,144211636,4778,Active,78
8,144211853,75444,Active,77
9,144209677,177,Active,77
10,144209822,10044526,Active,76
11,144209821,2734225,Active,76
12,144209922,14425,Active,76
13,144209858,2734229,Active,75
14,170466391,6258,Active,74
15,144209830,16211417,Active,74
16,144208795,235227,Active,73
17,144207948,16212610,Active,73
18,144209207,9889168,Active,72
19,144210589,126941,Active,69
20,170465176,45006154,Active,68
21,144210944,169371,Active,68
22,144207794,10250129,Active,68
23,144212551,6857648,Active,67
24,144209990,15625,Active,66
25,144211012,6758,Active,66
26,144211407,91754,Active,66
28,144207793,2734227,Active,66
29,144207792,53316407,Active,66
30,144208007,16218822,Active,66
31,144209706,13816,Active,65
32,144208226,2734117,Active,64
33,144213428,1318,Active,64
34,144207790,11461044,Active,63
35,170466500,16211385,Active,63
37,144210146,3884,Active,63
38,144211494,91731,Active,62
39,144207791,22239085,Active,62
41,144207788,12040509,Active,61
42,170464787,11057,Active,61
43,170465615,9577124,Active,61
44,144207895,11375816,Active,61
45,144207923,3378440,Active,61
46,144209742,5590,Active,61
47,170466897,135565635,Active,60
48,170466068,72416,Active,60
49,144208932,4931,Active,60
50,144207546,12456,Active,60
52,144209299,8152,Active,60
53,144209929,17110,Active,59
54,144211556,62379,Active,59
55,144211355,86354,Active,58
56,144211896,91778,Active,58
57,144212383,2603,Active,58
58,144211603,2723715,Active,58
59,144213657,60196435,Active,58
60,144209244,4936,Active,58
61,144208920,8813,Active,58
62,144209032,4993,Active,58
63,170466390,7083,Active,57
64,170465289,60196290,Active,57
65,170466382,13764,Active,57
66,144209893,15927,Active,57
67,144211215,9576412,Active,56
68,144209697,10208,Active,56
69,144208086,7120,Active,56
70,144207711,197873,Active,56
71,144209753,8154,Active,56
72,170466776,24466,Active,55
74,251919955,6749,Active,55
75,170464908,2723601,Active,55
76,144210015,441374,Active,54
77,170466171,6918543,Active,54
78,144211447,6422843,Active,54
79,144213302,9444,Active,54
80,170466062,14710,Active,54
81,144211260,122087,Active,54
82,144208070,8540,Active,54
83,144207326,5364713,Active,54
84,144208040,12184591,Active,54
85,144207906,16212746,Active,54
86,170466575,60712,Active,54
87,144211613,31239,Active,54
88,144212390,14385,Active,53
89,144212450,24773,Active,53
91,144212086,60196421,Active,53
92,144207333,2734223,Active,53
93,144207966,2734243,Active,53
94,144212401,14249,Active,53
95,144207512,6439929,Active,53
96,144210160,82703,Active,53
97,144209707,19283,Active,53
98,144209716,6450278,Active,53
100,144212067,69765,Active,52
101,144211890,10107,Active,52
103,170465500,8816,Active,52
104,144207290,13745,Active,52
105,144212471,5833,Active,52
106,144209403,2078,Active,52
99,144212741,20906,Active,52
107,170464997,4055,Active,51
108,144210756,9935274,Active,51
109,170466204,5458876,Active,51
111,170465473,8478,Active,51
113,144212534,53249535,Active,51
114,144207893,11460221,Active,51
115,144206851,119175,Active,51
116,144209802,104741,Active,51
117,170465892,91771,Active,50
118,144212068,5284462,Active,50
119,251919837,2051,Active,50
120,144211206,1988,Active,50
121,251919836,9500,Active,50
122,144209847,10411334,Active,50
123,144207986,2723598,Active,50
124,144211364,213016,Active,49
125,170465670,443101,Active,49
126,144211461,213032,Active,49
127,170466128,3033825,Active,49
128,251919722,9507,Active,49
129,144212358,6688,Active,49
130,144211141,11048796,Active,49
131,170466119,219050,Active,49
132,170466614,6433339,Active,49
133,144211427,86173,Active,49
134,170466067,31280,Active,49
135,170466276,14250,Active,49
136,144210834,19700,Active,49
137,144209022,27189,Active,49
138,144210559,9849616,Active,49
139,144213957,10635,Active,49
140,144210582,24809526,Active,49
141,144211257,31677,Active,49
142,170466523,9849425,Active,49
144,144208897,12397,Active,49
146,251919757,9936739,Active,49
147,251919796,2770166,Active,49
148,144209760,17304,Active,48
149,170466499,71821,Active,48
150,170466075,16574,Active,48
151,144210942,11285653,Active,48
152,170466556,443375,Active,48
153,170465744,9509,Active,48
155,144212405,135442941,Active,48
157,144213330,3037,Active,48
158,170466819,14842,Active,48
160,170466812,5284373,Active,48
161,144212831,23666110,Active,48
162,144211648,21330,Active,48
163,170465798,165457,Active,48
164,144207752,6620,Active,48
165,144213086,2761171,Active,48
166,144209534,41384,Active,48
167,144209963,75628,Active,48
168,170466791,656641,Active,47
169,170466326,71768,Active,47
170,144210157,78490,Active,47
171,144212568,6112114,Active,47
172,170464949,55283,Active,47
173,144210058,12185,Active,47
174,144209782,10754,Active,47
175,144211410,10403199,Active,47
176,170466843,16682738,Active,47
177,170466011,163751,Active,47
178,144208945,4021,Active,47
180,170465332,6432394,Active,46
