PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,124886390,6731,Active,88
2,26757773,12540,Active,88
4,17389160,9158,Active,87
6,124880756,644213,Active,86
7,26757599,16684310,Active,86
8,26757767,12688,Active,86
10,144204583,9444,Active,85
11,17389016,3278,Active,85
12,17389941,5889,Active,85
13,26757403,9171,Active,85
14,26757448,13297,Active,85
9,144203558,16043,Active,85
15,124879112,2154,Active,84
16,144205670,27461,Active,84
17,17388983,6450278,Active,84
18,17388984,6439929,Active,84
19,17389163,9153,Active,84
20,17389570,10680,Active,84
21,17389853,785,Active,84
23,26757728,91754,Active,84
24,144204682,5281034,Active,83
25,17388664,5281575,Active,83
26,17388678,17142,Active,83
27,17389205,1988,Active,83
28,17389910,6001,Active,83
29,17389933,11933,Active,83
31,17390046,7340,Active,83
33,26752937,11761,Active,83
34,26752941,11883,Active,83
35,26753064,5111791,Active,83
36,26754464,342,Active,83
37,26756474,1674,Active,83
38,26757226,39040,Active,83
39,26757331,9576412,Active,83
40,26757404,8342,Active,83
41,26757500,18386,Active,83
42,26757634,21694,Active,83
43,124883058,14957,Active,82
44,144207080,4947,Active,82
45,17388695,2734117,Active,82
47,17388842,5801,Active,82
48,17389095,6167,Active,82
49,17389298,8411,Active,82
50,17389363,7265,Active,82
51,17389365,3894848,Active,82
52,17389454,11803,Active,82
53,17389552,2078,Active,82
54,17389871,370,Active,82
59,26753056,8689,Active,82
60,26753077,3613389,Active,82
61,26757080,6917655,Active,82
62,26757100,6794,Active,82
63,26757219,153974,Active,82
64,26757232,91779,Active,82
65,26757537,671,Active,82
66,26757659,5954,Active,82
67,124882279,5281607,Active,81
68,144203712,5280961,Active,81
69,144204380,8691,Active,81
70,144204548,5447130,Active,81
71,144204549,7594,Active,81
72,17388747,1057,Active,81
73,17388816,7243,Active,81
74,17389219,22463,Active,81
75,17389354,11937,Active,81
76,17389360,7264,Active,81
78,17389567,10800,Active,81
79,17389745,7737,Active,81
81,17389979,7263,Active,81
82,17390050,4984721,Active,81
83,26752122,126941,Active,81
84,26752735,6129,Active,81
85,26752946,6702,Active,81
86,26752958,4338370,Active,81
87,26757088,3391107,Active,81
88,26757122,21330,Active,81
89,26757136,44465,Active,81
90,26757224,3034285,Active,81
91,26757257,11664966,Active,81
92,26757309,6112114,Active,81
93,26757315,91699,Active,81
94,26757351,91744,Active,81
95,26757628,80037,Active,81
96,26757675,5284373,Active,81
97,26757713,6327054,Active,81
98,26757768,17811,Active,81
100,144204503,55245,Active,80
101,17388665,5280795,Active,80
102,17388687,638015,Active,80
103,17389842,9903,Active,80
104,17390019,8447,Active,80
105,26752950,3417419,Active,80
107,26753030,10868,Active,80
108,26753031,12309465,Active,80
109,26757477,16584,Active,80
110,26757530,7115,Active,80
99,124881633,5289501,Active,80
111,26757135,22311,Active,49
112,26752901,9223,Active,48
114,26753065,7017,Active,45
115,17389461,11818,Active,44
117,26753013,996,Active,44
118,26757227,21210,Active,44
119,124880057,3220,Active,43
120,17389060,12433,Active,43
121,26753035,323,Active,43
122,26753074,7771,Active,43
123,26757255,13543,Active,43
124,26757527,14869,Active,43
126,17389114,5993,Active,42
127,17389212,2723598,Active,42
130,17389516,13089,Active,42
131,17389826,31426,Active,42
132,17389914,7069,Active,42
133,17389946,3036,Active,42
135,26757235,50367,Active,42
136,26757869,69785,Active,42
137,84986996,6872,Active,42
138,124877010,6140,Active,41
139,124882956,444795,Active,41
140,124883094,445154,Active,41
141,124883325,5281707,Active,41
142,144203705,3397,Active,41
143,144203760,4477,Active,41
144,144203764,4493,Active,41
145,144203834,5546,Active,41
146,144203895,4044,Active,41
147,144204369,445354,Active,41
148,144204394,5853,Active,41
149,144204561,460612,Active,41
150,144204570,5366546,Active,41
151,144204615,9880,Active,41
152,144204641,7108,Active,41
153,144204650,3598,Active,41
154,144204670,7452,Active,41
155,144204697,8425,Active,41
156,144204858,2723,Active,41
157,144205632,2450,Active,41
158,144205650,517383,Active,41
159,144205654,5819,Active,41
160,144205657,54670067,Active,41
161,17388732,108005,Active,41
162,17388779,3610,Active,41
163,17388807,6625,Active,41
164,17388809,1752,Active,41
165,17388848,5930,Active,41
166,17388854,7573,Active,41
167,17388857,10236,Active,41
168,17388881,8749,Active,41
169,17388887,13101,Active,41
170,17388894,14236,Active,41
171,17388896,16653,Active,41
172,17388904,5281567,Active,41
174,17388945,5280934,Active,41
175,17388956,5281565,Active,41
176,17388972,3712,Active,41
177,17388977,91649,Active,41
179,17389010,6371716,Active,41
181,17389049,19996,Active,41
182,17389068,23668196,Active,41
183,17389075,83511,Active,41
184,17389100,2767,Active,41
185,17389105,6537499,Active,41
186,17389108,6537498,Active,41
187,17389115,8816,Active,41
188,17389211,11767,Active,41
189,17389218,6537489,Active,41
190,17389266,8428,Active,41
191,17389287,7607,Active,41
192,17389310,33528,Active,41
193,17389355,22704,Active,41
194,17389361,15132,Active,41
195,17389417,13619,Active,41
196,17389418,13636,Active,41
197,17389439,8004,Active,41
198,17389443,16932,Active,41
199,17389456,17046,Active,41
201,17389466,171660,Active,41
202,17389480,21660,Active,41
203,17389545,2662,Active,41
204,17389556,21013,Active,41
205,17389675,11534,Active,41
206,17389739,11292,Active,41
207,17389757,16682730,Active,41
208,17389788,6604200,Active,41
209,17389834,409301,Active,41
210,17389843,299,Active,41
211,17389852,1923,Active,41
212,17389864,320930,Active,41
213,17389890,6295,Active,41
214,17389901,3224,Active,41
215,17389906,1493,Active,41
216,17389923,727200,Active,41
217,17389947,3035,Active,41
218,17389948,6294,Active,41
219,17389949,4211,Active,41
220,17390047,8341,Active,41
221,17390058,2087,Active,41
222,26751508,135398735,Active,41
223,26751877,2126,Active,41
224,26752754,25429,Active,41
225,26752786,638034,Active,41
227,26752789,4115,Active,41
228,26752794,20393,Active,41
229,26752821,13232,Active,41
230,26752822,8413,Active,41
231,26752838,62311,Active,41
233,26752899,23668198,Active,41
234,26752908,8679,Active,41
235,26752938,10757,Active,41
236,26752967,6720,Active,41
237,26752975,9074,Active,41
238,26752992,6374,Active,41
239,26753000,15630,Active,41
240,26753006,44134380,Active,41
241,26753007,6269,Active,41
242,26753016,6618,Active,41
243,26753021,2730,Active,41
244,26753024,7381,Active,41
246,26753049,31370,Active,41
248,26753079,7092,Active,41
251,26753117,7095,Active,41
253,26753126,44134379,Active,41
254,26753130,4004,Active,41
255,26753244,9934458,Active,41
256,26753689,2943,Active,41
257,26753702,4931,Active,41
258,26753717,3352,Active,41
259,26754461,5997,Active,41
260,26754470,7456,Active,41
261,26754498,5564,Active,41
262,26754631,6719,Active,41
263,26755466,5284498,Active,41
264,26756895,10207,Active,41
265,26757095,4420,Active,41
266,26757097,44134384,Active,41
267,26757099,73665,Active,41
268,26757115,29732,Active,41
269,26757117,5284484,Active,41
270,26757133,43234,Active,41
271,26757142,24365,Active,41
272,26757143,31677,Active,41
273,26757146,91656,Active,41
274,26757155,86138,Active,41
275,26757186,176879,Active,41
276,26757189,135665275,Active,41
277,26757190,5053,Active,41
278,26757197,13633097,Active,41
279,26757200,86367,Active,41
280,26757206,16247,Active,41
281,26757220,1711973,Active,41
282,26757221,29393,Active,41
283,26757222,62829,Active,41
284,26757225,16760153,Active,41
286,26757234,9300,Active,41
288,26757251,27295,Active,41
289,26757253,15531,Active,41
290,26757256,198155,Active,41
291,26757291,17531,Active,41
292,26757307,86173,Active,41
293,26757308,6422843,Active,41
294,26757325,5392,Active,41
295,26757330,86222,Active,41
296,26757344,19402,Active,41
297,26757362,91753,Active,41
298,26757364,6440554,Active,41
299,26757365,27975,Active,41
300,26757373,10342051,Active,41
301,26757393,9275,Active,41
302,26757408,969491,Active,41
303,26757411,6627,Active,41
304,26757413,15533,Active,41
305,26757467,10707,Active,41
306,26757484,8530,Active,41
307,26757501,17047,Active,41
308,26757507,6934,Active,41
309,26757512,8139,Active,41
310,26757529,24730,Active,41
311,26757531,73864,Active,41
312,26757542,17701,Active,41
313,26757568,8455,Active,41
314,26757589,8398,Active,41
315,26757614,112412,Active,41
316,26757643,66166,Active,41
317,26757678,13218777,Active,41
318,26757680,10403199,Active,41
319,26757685,5364079,Active,41
320,26757715,8617,Active,41
321,26757722,17169,Active,41
322,26757733,86429,Active,41
323,26757792,6950,Active,41
324,26757828,20803,Active,41
325,26757839,9908833,Active,41
326,26757856,76302,Active,41
327,26757882,6440728,Active,41
328,124879155,5280443,Active,40
329,124879933,5281708,Active,40
330,124880050,3225,Active,40
331,124880537,6603901,Active,40
332,124882108,3293,Active,40
333,124886706,1775,Active,40
334,144203625,2265,Active,40
335,144203638,4768,Active,40
336,144203836,864,Active,40
337,144203944,7184,Active,40
338,144204237,4594,Active,40
339,144204556,3054,Active,40
340,144204607,10635,Active,40
341,144204689,7338,Active,40
342,144205095,71777,Active,40
343,144205638,8907,Active,40
344,144205672,5591,Active,40
345,17388669,10215,Active,40
346,17388675,5590,Active,40
347,17388680,11776,Active,40
348,17388692,3032791,Active,40
350,17388699,28803,Active,40
354,17388741,60934,Active,40
357,17388784,6537507,Active,40
358,17388798,15277,Active,40
359,17388802,403,Active,40
360,17388820,11888,Active,40
361,17388829,10377,Active,40
362,17388844,7013,Active,40
363,17388846,5281249,Active,40
364,17388852,5935,Active,40
365,17388853,41684,Active,40
366,17388859,62390,Active,40
367,17388868,64142,Active,40
368,17388877,8041,Active,40
369,17388880,7472,Active,40
370,17388883,7120,Active,40
371,17388885,7490,Active,40
372,17388898,12078,Active,40
373,17388908,7127,Active,40
374,17388949,22456,Active,40
376,17388973,24812,Active,40
377,17388994,637930,Active,40
378,17389015,14710,Active,40
379,17389017,6537504,Active,40
380,17389046,7586,Active,40
381,17389058,3039,Active,40
382,17389059,18617,Active,40
384,17389072,10788,Active,40
385,17389087,969516,Active,40
386,17389107,10208,Active,40
387,17389133,114809,Active,40
388,17389134,542762,Active,40
389,17389139,6537494,Active,40
390,17389142,6623,Active,40
391,17389143,82917,Active,40
392,17389149,12456,Active,40
393,17389170,10771,Active,40
394,17389171,10316,Active,40
395,17389181,16230,Active,40
396,17389184,11080,Active,40
397,17389210,5375199,Active,40
399,17389215,7050,Active,40
400,17389225,17818,Active,40
401,17389227,5354284,Active,40
402,17389265,7546,Active,40
403,17389292,10332,Active,40
404,17389294,11859,Active,40
406,17389348,15752,Active,40
407,17389351,7015,Active,40
408,17389359,40301,Active,40
409,17389364,29872,Active,40
410,17389387,637564,Active,40
411,17389401,7271,Active,40
412,17389402,6983,Active,40
413,17389403,21058,Active,40
414,17389415,11746,Active,40
415,17389420,27582,Active,40
416,17389422,13428,Active,40
417,17389423,7329,Active,40
418,17389436,174223,Active,40
419,17389446,6264,Active,40
420,17389450,6436079,Active,40
421,17389452,25644,Active,40
422,17389458,3083585,Active,40
423,17389492,61179,Active,40
424,17389496,641245,Active,40
425,17389509,853433,Active,40
427,17389514,5994,Active,40
429,17389526,5284626,Active,40
431,17389542,2788,Active,40
432,17389546,5361202,Active,40
433,17389560,13165,Active,40
434,17389588,1483,Active,40
435,17389622,3037,Active,40
436,17389646,887,Active,40
437,17389649,6028,Active,40
438,17389657,69026,Active,40
439,17389667,18177,Active,40
441,17389704,5284469,Active,40
442,17389708,5284468,Active,40
443,17389716,10509,Active,40
444,17389718,41478,Active,40
445,17389720,5284462,Active,40
448,17389764,5284441,Active,40
449,17389768,13266,Active,40
451,17389771,992,Active,40
