PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,144210199,16682746,Active,100
2,144212112,16683072,Active,89
3,144210727,16682828,Active,87
4,144210861,15096,Active,87
5,144212558,9786,Active,84
7,170465045,444795,Active,82
10,144213707,16682834,Active,79
9,251919755,12540,Active,79
11,144212724,82146,Active,78
12,144207291,5282379,Active,78
15,144212512,449171,Active,67
16,144211071,6327657,Active,66
17,144209798,16682804,Active,66
18,144213210,15098,Active,66
19,144208826,12348,Active,65
20,251919756,5289501,Active,65
21,170465883,108143,Active,64
22,144212799,16682953,Active,62
23,144209572,12902,Active,62
24,144211366,86398,Active,62
25,170464710,5288783,Active,61
26,144208260,86583,Active,61
28,144211722,17701,Active,59
29,144208203,638015,Active,58
30,144206824,133264,Active,57
31,144208825,5284363,Active,55
32,144208274,6436079,Active,54
33,144213709,20087,Active,54
35,170464987,4614,Active,53
36,144211354,7828,Active,52
37,170464671,5381,Active,51
38,144208846,31362,Active,51
39,144211044,12968,Active,51
40,144212593,21859,Active,51
41,144208102,17231,Active,51
42,144209579,9153,Active,51
43,144208807,5694,Active,51
44,144210196,18815,Active,50
45,144210409,25059,Active,50
46,144208823,20083,Active,50
47,144211336,14231,Active,50
48,251919745,118899,Active,50
49,144209595,5430,Active,49
50,144208529,5333,Active,49
51,170466763,73828,Active,49
52,144210785,10134976,Active,49
54,144210737,6597,Active,48
55,144211065,5216,Active,48
56,144211251,249494,Active,48
57,144209550,5362,Active,48
58,144211718,66609,Active,48
59,144208802,10430,Active,48
60,144208254,6912,Active,48
61,144211070,13878,Active,48
62,144211097,2126,Active,48
63,144213410,7361,Active,48
64,144211741,17516,Active,48
65,170465074,62960,Active,48
67,144210146,3884,Active,47
68,144207746,586708,Active,47
69,144209639,445354,Active,47
70,144209463,5344,Active,47
71,144210703,2374,Active,47
72,144209549,6643,Active,47
73,144209145,6720,Active,47
74,144210893,338733,Active,47
75,144208629,22833326,Active,47
76,144210348,2153,Active,47
77,144210438,8369,Active,47
78,144210698,67821,Active,47
79,144211045,6328651,Active,47
80,144211064,5759,Active,47
81,144210873,23667548,Active,47
82,144208868,7895,Active,47
83,144211335,23661868,Active,47
84,144210880,13,Active,47
85,144210923,77222,Active,47
86,144213423,6535,Active,47
87,251919802,93550,Active,47
88,144210362,996,Active,47
89,144211043,16760189,Active,47
92,144210965,65067,Active,47
100,144210834,19700,Active,46
101,144210374,1732,Active,46
102,144211859,61585,Active,46
103,144209571,1057,Active,46
104,144211317,7628,Active,46
105,144207644,10724,Active,46
106,144207952,31230,Active,46
107,144208283,12574,Active,46
108,144207829,6929,Active,46
109,144208282,25213,Active,46
110,144209838,16211849,Active,46
111,144211316,7823,Active,46
112,144209144,9076,Active,46
113,144210591,23674889,Active,46
114,144213104,31374,Active,46
115,144208512,8805,Active,46
116,144210111,95717,Active,46
117,251919981,5355079,Active,46
93,251919914,11777,Active,46
94,144207308,2707,Active,46
95,170466895,46861540,Active,46
96,144211270,727,Active,46
97,144210966,14106,Active,46
98,144210866,8184,Active,46
99,144210937,1345,Active,46
119,144210956,104635,Active,45
120,144210784,9819350,Active,45
121,144209418,7103,Active,45
122,144208291,31404,Active,45
123,170465725,8425,Active,45
125,144207927,7495,Active,45
126,144212565,62329,Active,45
127,144211090,62781,Active,45
128,144210841,75516,Active,45
129,144211126,15766,Active,45
130,144207337,10453,Active,45
131,144210396,14257,Active,45
132,144207622,6277,Active,45
133,144211348,7778,Active,45
134,144207666,114129,Active,45
135,144211944,6669,Active,45
136,144212809,5367785,Active,45
137,144212422,6451,Active,45
138,144211662,164333,Active,45
139,170466049,3671,Active,45
140,144211730,60196419,Active,45
141,144210602,4764,Active,44
142,144208276,12035,Active,44
144,144210744,60768,Active,44
145,144211369,135503327,Active,44
146,144210982,17891,Active,44
147,144210914,8098,Active,44
148,144211347,12860,Active,44
149,144210507,6421,Active,44
150,144208513,6501,Active,44
151,144210900,18283,Active,44
152,144212536,32872,Active,44
153,144210639,7059,Active,44
154,144212554,67005,Active,44
155,144210534,18173271,Active,44
156,144211349,30773,Active,44
157,144207321,11671,Active,44
158,144208259,11731903,Active,44
159,144210637,2478,Active,44
161,144209617,638186,Active,44
162,144211545,61594,Active,44
163,144211083,2723649,Active,44
164,144210430,7276,Active,44
165,144207356,6893,Active,44
166,144211063,7204,Active,44
167,144207336,16659,Active,44
168,144208261,12471,Active,44
169,144211082,3081304,Active,44
170,144207968,4463,Active,44
171,144212198,42745,Active,44
172,144210811,8461,Active,44
173,144209143,7444,Active,44
174,144207338,11746,Active,44
175,144212796,57483158,Active,44
176,144210714,23678874,Active,43
178,170466843,16682738,Active,43
180,144211084,2513,Active,43
181,144211374,3794540,Active,43
182,144210381,8063,Active,43
183,144212730,6603901,Active,43
184,144210363,34,Active,43
185,170465447,60961,Active,43
186,170466700,73219,Active,43
187,144208281,11048104,Active,43
188,144208645,7057995,Active,43
