PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
10273,144213826,25015677,Active,100
2907,144206460,56840936,Active,100
6127,144209680,457193,Active,100
6886,144210439,17142,Active,100
7036,144210589,126941,Active,100
7662,144211215,9576412,Active,100
9969,144213522,26041,Active,100
2738,144206291,60196304,Active,99
2781,144206334,148124,Active,99
6166,144209719,2724411,Active,99
7346,144210899,6167,Active,99
7588,144211141,11048796,Active,99
2067,144205620,5978,Active,98
2182,144205735,119182,Active,98
3211,144206764,3003870,Active,98
6128,144209681,443939,Active,98
7518,144211071,6327657,Active,98
10470,144214033,3117,Active,97
5354,144208907,17038,Active,97
7035,144210588,53232,Active,97
7360,144210913,20279,Active,97
7459,144211012,6758,Active,97
7854,144211407,91754,Active,97
7988,144211541,12898,Active,97
8133,144211686,8753,Active,97
8940,144212493,16684434,Active,97
9174,144212727,6917655,Active,97
10308,144213861,9889168,Active,96
10404,144213967,1923,Active,96
1589,144205142,443831,Active,96
2107,144205660,36314,Active,96
3398,144206951,6438394,Active,96
4804,144208357,62770,Active,96
6269,144209822,10044526,Active,96
7121,144210674,8152,Active,96
7268,144210821,8722,Active,96
7866,144211419,5455,Active,96
9137,144212690,60822,Active,96
9876,144213429,12688,Active,96
2237,144205790,135400182,Active,95
2244,144205797,23663992,Active,95
2630,144206183,387447,Active,95
2906,144206459,148121,Active,95
3077,144206630,11556711,Active,95
6567,144210120,10607,Active,95
6895,144210448,19658,Active,95
6896,144210449,4993,Active,95
7894,144211447,6422843,Active,95
8300,144211853,75444,Active,95
8639,144212192,60974,Active,95
9033,144212586,441207,Active,95
1236,144204787,636362,Active,94
1421,144204974,5284623,Active,94
2195,144205748,60196288,Active,94
3378,144206931,45356872,Active,94
4042,144207595,3068143,Active,94
4237,144207790,11461044,Active,94
4803,144208356,6197,Active,94
6234,144209787,26710,Active,94
6274,144209827,46226173,Active,94
6275,144209828,23160059,Active,94
6277,144209830,16211417,Active,94
6997,144210550,60196403,Active,94
