PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
611,48415493,12797557,Active,100
601,48415483,3347,Active,84
86,48414968,6758,Active,83
465,48415347,15143,Active,82
563,48415445,5053,Active,82
383,48415265,11704,Active,78
564,48415446,25670,Active,78
602,48415484,40326,Active,78
47,48414929,3598,Active,77
463,48415345,15098,Active,73
389,48415271,11852,Active,71
520,48415402,77286,Active,71
93,48414975,2268,Active,71
401,48415283,12171,Active,70
422,48415304,12902,Active,70
484,48415366,16421,Active,70
88,48414970,6778,Active,70
185,48415067,7847,Active,69
597,48415479,92309,Active,69
509,48415391,40761,Active,68
95,48414977,6901,Active,68
382,48415264,10891602,Active,67
294,48415176,13583,Active,66
441,48415323,13436,Active,66
576,48415458,85346,Active,66
167,48415049,1752,Active,65
25,48414907,4055,Active,65
430,48415312,13081,Active,65
512,48415394,2730,Active,64
519,48415401,72920,Active,64
549,48415431,22696,Active,64
96,48414978,992,Active,64
134,48415016,3037,Active,63
31,48414913,22833295,Active,63
518,48415400,18998,Active,63
565,48415447,83234,Active,63
613,48415495,157289,Active,63
559,48415441,81742,Active,62
610,48415492,94653,Active,62
261,48415143,8268,Active,61
301,48415183,31404,Active,61
380,48415262,11622,Active,61
476,48415358,15859,Active,61
530,48415412,21013,Active,61
604,48415486,3867274,Active,61
101,48414983,6950,Active,60
327,48415209,9238,Active,60
367,48415249,24726,Active,60
469,48415351,15439,Active,60
478,48415360,16066,Active,60
489,48415371,16584,Active,60
617,48415499,170249,Active,60
175,48415057,5271570,Active,59
262,48415144,8289,Active,59
390,48415272,11862,Active,59
462,48415344,70997,Active,59
498,48415380,17092,Active,59
106,48414988,7024,Active,58
434,48415316,13166,Active,58
543,48415425,442048,Active,58
6,48414888,18405,Active,58
615,48415497,15627,Active,58
146,48415028,7492,Active,57
319,48415201,8920,Active,57
467,48415349,2566,Active,57
80,48414962,6619,Active,57
83,48414965,6671,Active,57
91,48414973,3026,Active,57
248,48415130,8140,Active,56
26,48414908,6028,Active,56
264,48415146,9570071,Active,56
342,48415224,67990,Active,56
348,48415230,221118,Active,56
409,48415291,12481,Active,56
461,48415343,14537,Active,56
517,48415399,18909,Active,56
568,48415450,84182,Active,56
192,48415074,7858,Active,55
267,48415149,8361,Active,55
333,48415215,67615,Active,55
411,48415293,69558,Active,55
46,48414928,6214,Active,55
470,48415352,15529,Active,55
475,48415357,72863,Active,55
481,48415363,8916,Active,55
546,48415428,22556,Active,55
557,48415439,5284507,Active,55
113,48414995,7166,Active,54
126,48415008,7274,Active,54
223,48415105,66060,Active,54
357,48415239,10569,Active,54
4,48414886,3016050,Active,54
405,48415287,12369,Active,54
473,48415355,94391,Active,54
504,48415386,17259,Active,54
524,48415406,77763,Active,54
58,48414940,6374,Active,54
217,48415099,8010,Active,53
253,48415135,8163,Active,53
303,48415185,568,Active,53
328,48415210,3118,Active,53
363,48415245,10800,Active,53
482,48415364,16247,Active,53
510,48415392,76166,Active,53
514,48415396,18298,Active,53
566,48415448,26132,Active,53
1,48414883,1563362,Active,52
212,48415094,8001,Active,52
225,48415107,8049,Active,52
340,48415222,67970,Active,52
364,48415246,10864,Active,52
397,48415279,12110,Active,52
440,48415322,13404,Active,52
486,48415368,16496,Active,52
84,48414966,6734,Active,52
11,48414893,294547,Active,51
170,48415052,7726,Active,51
176,48415058,7784,Active,51
254,48415136,16215,Active,51
256,48415138,8174,Active,51
358,48415240,10680,Active,51
39,48414921,54676038,Active,51
420,48415302,69725,Active,51
560,48415442,93050,Active,51
577,48415459,5353758,Active,51
598,48415480,38360,Active,51
614,48415496,5284511,Active,51
102,48414984,6998,Active,50
124,48415006,7256,Active,50
183,48415065,7819,Active,50
190,48415072,7856,Active,50
275,48415157,13,Active,50
308,48415190,8830,Active,50
321,48415203,8991,Active,50
331,48415213,9492,Active,50
374,48415256,11414,Active,50
406,48415288,12377,Active,50
408,48415290,12464,Active,50
471,48415353,15530,Active,50
534,48415416,2723842,Active,50
575,48415457,2078,Active,50
81,48414963,6643,Active,50
94,48414976,6872,Active,50
157,48415039,7583,Active,49
239,48415121,8101,Active,49
269,48415151,1483,Active,49
285,48415167,11487,Active,49
304,48415186,8609,Active,49
388,48415270,69090,Active,49
40,48414922,66139,Active,49
415,48415297,12743,Active,49
483,48415365,16253,Active,49
502,48415384,17160,Active,49
550,48415432,72933,Active,49
115,48414997,638024,Active,48
193,48415075,7859,Active,48
227,48415109,8058,Active,48
368,48415250,11002,Active,48
437,48415319,13254,Active,48
453,48415335,61249,Active,48
479,48415361,16069,Active,48
503,48415385,17236,Active,48
533,48415415,21364,Active,48
538,48415420,79596,Active,48
581,48415463,87293,Active,48
68,48414950,6540,Active,48
79,48414961,638014,Active,48
97,48414979,6914,Active,48
103,48414985,7005,Active,47
104,48414986,7017,Active,47
136,48415018,7393,Active,47
296,48415178,31357,Active,47
313,48415195,8864,Active,47
316,48415198,8908,Active,47
334,48415216,3017,Active,47
414,48415296,12741,Active,47
426,48415308,12992,Active,47
547,48415429,5284506,Active,47
588,48415470,9595287,Active,47
603,48415485,294545,Active,47
120,48415002,7240,Active,46
249,48415131,8143,Active,46
258,48415140,4944,Active,46
27,48414909,1732,Active,46
282,48415164,4004,Active,46
284,48415166,326,Active,46
318,48415200,8914,Active,46
33,48414915,6129,Active,46
377,48415259,11552,Active,46
413,48415295,12735,Active,46
421,48415303,4933,Active,46
433,48415315,13165,Active,46
439,48415321,13383,Active,46
459,48415341,14311,Active,46
466,48415348,92892,Active,46
472,48415354,15531,Active,46
493,48415375,16715,Active,46
535,48415417,79336,Active,46
63,48414945,6419,Active,46
8,48414890,294546,Active,46
98,48414980,6931,Active,46
107,48414989,931,Active,45
125,48415007,7257,Active,45
137,48415019,7406,Active,45
181,48415063,4684,Active,45
233,48415115,8078,Active,45
276,48415158,8449,Active,45
35,48414917,5284498,Active,45
366,48415248,10943,Active,45
505,48415387,75814,Active,45
516,48415398,76671,Active,45
526,48415408,77932,Active,45
606,48415488,294646,Active,45
7,48414889,92976,Active,45
119,48415001,7239,Active,44
123,48415005,7247,Active,44
16,48414898,1493,Active,44
166,48415048,7694,Active,44
290,48415172,31265,Active,44
332,48415214,3120,Active,44
338,48415220,67847,Active,44
371,48415253,541,Active,44
423,48415305,12971,Active,44
458,48415340,14307,Active,44
492,48415374,16693,Active,44
497,48415379,17016,Active,44
511,48415393,17947,Active,44
585,48415467,90732,Active,44
616,48415498,24723,Active,44
85,48414967,6736,Active,44
133,48415015,7321,Active,43
178,48415060,7809,Active,43
271,48415153,3102,Active,43
274,48415156,289,Active,43
287,48415169,31242,Active,43
29,48414911,6055,Active,43
356,48415238,10566,Active,43
410,48415292,12580,Active,43
