PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,17390061,457193,Active,0
10,26753506,2154,Active,0
100,26757803,20279,Active,0
1000,17388848,5930,Active,0
10000,17389283,12281,Inactive,0
10001,17389284,7248,Inactive,0
10009,17389285,11883,Inactive,0
1001,17389022,10866,Active,0
10017,17389288,7258,Inactive,0
10025,17389291,22710,Inactive,0
10033,17389292,10332,Inactive,0
10041,17389293,25608,Inactive,0
10049,17389294,11859,Inactive,0
10057,17389295,88365,Inactive,0
10065,17389296,95116,Inactive,0
10073,17389298,8411,Inactive,0
10081,17389300,8362,Inactive,0
10089,17389301,41206,Inactive,0
1009,17389123,25429,Active,0
10097,17389302,6618,Inactive,0
10105,17389303,759280,Inactive,0
10113,17389304,18635,Inactive,0
10121,17389305,21499,Inactive,0
10129,17389306,7521,Inactive,0
10137,17389307,6923,Inactive,0
10145,17389309,5364360,Inactive,0
10153,17389311,12252,Inactive,0
10161,17389312,8407,Inactive,0
10169,17389313,6829,Inactive,0
1017,17389169,28780,Active,0
10177,17389314,7621,Inactive,0
10185,17389315,7301,Inactive,0
10193,17389316,6559,Inactive,0
10201,17389317,10704,Inactive,0
10209,17389318,16097,Inactive,0
10217,17389319,7441,Inactive,0
10225,17389320,16096,Inactive,0
10233,17389321,11783,Inactive,0
10241,17389322,12512,Inactive,0
10249,17389323,6028739,Inactive,0
1025,17389212,2723598,Active,0
10257,17389324,7745,Inactive,0
10265,17389325,707035,Inactive,0
10273,17389326,28503,Inactive,0
10281,17389327,11671,Inactive,0
10289,17389328,9808,Inactive,0
10297,17389330,7719,Inactive,0
10313,17389333,17162,Inactive,0
10321,17389334,7636,Inactive,0
10329,17389335,8697,Inactive,0
1033,17389974,8805,Active,0
10337,17389336,31241,Inactive,0
10345,17389337,7211,Inactive,0
10353,17389338,8076,Inactive,0
10361,17389339,5362708,Inactive,0
10369,17389340,13594,Inactive,0
10377,17389341,7056,Inactive,0
10385,17389342,6996,Inactive,0
10393,17389343,16004,Inactive,0
10401,17389344,11673,Inactive,0
10409,17389345,8133,Inactive,0
1041,26752071,456201,Active,0
10417,17389346,6358,Inactive,0
10425,17389347,16329,Inactive,0
10433,17389348,15752,Inactive,0
10441,17389349,32346,Inactive,0
10449,17389350,2155,Inactive,0
10457,17389351,7015,Inactive,0
10465,17389352,8706,Inactive,0
10473,17389353,13624,Inactive,0
10481,17389354,11937,Inactive,0
10489,17389355,22704,Inactive,0
10497,17389356,7192,Inactive,0
105,17389073,62770,Active,0
10505,17389357,34757,Inactive,0
10513,17389358,34665,Inactive,0
10521,17389359,40301,Inactive,0
10529,17389361,15132,Inactive,0
10537,17389362,21622,Inactive,0
