PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,170465151,55245,Active,100
2,144209680,457193,Active,91
3,170466414,9910986,Active,90
5,170465087,387447,Active,84
6,144209798,16682804,Active,82
7,144212558,9786,Active,81
10,144212433,26030,Active,80
8,170466878,11556711,Active,80
9,144212551,6857648,Active,80
11,251919755,12540,Active,79
12,144211071,6327657,Active,77
13,170465148,23663400,Active,76
14,170465615,9577124,Active,76
15,144211088,11402127,Active,75
16,144211722,17701,Active,75
17,144212639,299728,Active,75
18,144213317,24633,Active,75
19,144213429,12688,Active,75
20,170466364,27812,Active,74
22,144214033,3117,Active,73
23,144212799,16682953,Active,73
24,144207253,6537495,Active,72
26,170465020,5870,Active,70
27,170464884,28417,Active,70
30,144209196,1318,Active,69
32,144211603,2723715,Active,68
33,170466075,16574,Active,67
34,170465705,10219,Active,67
35,170465258,9818306,Active,67
36,144213948,68570,Active,67
37,144213956,25015,Active,67
38,170465330,16051941,Active,67
39,170465514,16682935,Active,66
40,144212958,223368,Active,66
43,144213689,9850056,Active,66
44,144209255,5757,Active,66
45,170465807,5756,Active,66
46,170465251,25249,Active,66
47,170465048,30323,Active,65
48,170464627,636362,Active,65
49,170464917,104741,Active,65
50,144212471,5833,Active,65
51,144213657,60196435,Active,65
52,144213865,56069,Active,65
53,144209422,7070,Active,65
54,144206842,443947,Active,64
55,144207512,6439929,Active,64
56,144209203,991,Active,64
57,144209716,6450278,Active,64
59,144210106,17599,Active,64
60,170465524,16682730,Active,63
61,170464789,9403,Active,63
62,170466799,34458,Active,63
65,144208357,62770,Active,63
67,144209039,2871,Active,63
68,144209104,11933,Active,63
69,144209681,443939,Active,63
70,170465183,51082,Active,62
73,144208401,2999413,Active,62
74,170465897,4507,Active,61
75,170465357,6291,Active,61
76,144210742,16421,Active,61
77,144211589,66573,Active,61
78,144213650,13271,Active,61
79,144213825,86287525,Active,61
80,170464708,38911,Active,60
81,170465248,130313,Active,60
82,170464981,20469,Active,60
83,170465876,102232,Active,60
84,170466129,3033825,Active,60
85,144211179,15910,Active,60
86,144211380,21804,Active,60
87,144212652,5281607,Active,60
88,144213228,27465,Active,60
92,170466792,50491,Active,59
93,144210589,126941,Active,59
94,144210818,6001,Active,59
95,144213201,5280443,Active,59
96,144212814,86211,Active,59
97,144208402,91649,Active,59
100,170465704,6708701,Active,58
101,144212077,4373502,Active,58
102,144213818,5281576,Active,58
99,170465508,5510,Active,58
104,170464927,4211,Active,57
105,170466031,192197,Active,57
106,170465176,45006154,Active,57
107,170466597,11366,Active,57
108,170465054,9046,Active,57
109,144206325,14708,Active,57
110,170465998,17273,Active,57
111,144211447,6422843,Active,57
112,144212208,9690,Active,57
113,144207752,6620,Active,57
116,144209467,6128,Active,57
118,170465186,5978,Active,57
119,170464977,5388983,Active,57
120,170464849,3333,Active,56
121,170465394,11289,Active,56
122,170465070,3784,Active,56
123,170465027,9782,Active,56
124,170465867,5282138,Active,56
125,170466793,154256,Active,56
126,144206804,3003141,Active,56
127,170466693,7088,Active,56
129,144211112,86138,Active,56
130,144211416,20965,Active,56
131,144211431,3352,Active,56
132,144211536,36870,Active,56
