PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
6127,144209680,457193,Active,100
2762,144206315,108150,Active,96
6249,144209802,104741,Active,94
9876,144213429,12688,Active,92
4204,144207757,102724,Active,91
4588,144208141,449459,Active,91
9133,144212686,54900,Active,91
2065,144205618,20054868,Active,88
3394,144206947,9910986,Active,88
3011,144206564,154256,Active,84
2787,144206340,5284610,Active,82
2478,144206031,2541,Active,80
9662,144213215,235227,Active,80
3378,144206931,45356872,Active,77
10360,144213913,81259,Active,74
8639,144212192,60974,Active,73
2630,144206183,387447,Active,71
9661,144213214,11289,Active,71
9969,144213522,26041,Active,71
10273,144213826,25015677,Active,70
8083,144211636,4778,Active,70
7420,144210973,76302,Active,69
2597,144206150,472335,Active,68
4804,144208357,62770,Active,68
6128,144209681,443939,Active,68
4042,144207595,3068143,Active,67
4662,144208215,232446,Active,67
5715,144209268,2733525,Active,67
610,144204161,446541,Active,67
9246,144212799,16682953,Active,67
4888,144208441,2733526,Active,66
8504,144212057,3005572,Active,66
10154,144213707,16682834,Active,65
1686,144205239,5281078,Active,65
3108,144206661,2800,Active,65
326,144203877,6708701,Active,64
4241,144207794,10250129,Active,64
8830,144212383,2603,Active,64
10104,144213657,60196435,Active,63
1236,144204787,636362,Active,63
1421,144204974,5284623,Active,63
2485,144206038,153751,Active,63
2646,144206199,8550,Active,63
4517,144208070,8540,Active,63
5192,144208745,6167,Active,63
6965,144210518,66166,Active,63
8300,144211853,75444,Active,63
8605,144212158,55245,Active,63
8998,144212551,6857648,Active,63
1478,144205031,60699,Active,62
1584,144205137,23663400,Active,62
2546,144206099,2724259,Active,62
3077,144206630,11556711,Active,62
4240,144207793,2734227,Active,62
6274,144209827,46226173,Active,62
6275,144209828,23160059,Active,62
896,144204447,30323,Active,62
1488,144205041,107770,Active,61
197,144203748,51082,Active,61
2489,144206042,406563,Active,61
3773,144207326,5364713,Active,61
4673,144208226,2734117,Active,61
6259,144209812,11181836,Active,61
901,144204452,10219,Active,61
2809,144206362,1013376,Active,60
4016,144207569,7589,Active,60
4395,144207948,16212610,Active,60
6277,144209830,16211417,Active,60
6303,144209856,60196379,Active,60
9675,144213228,27465,Active,60
1978,144205531,443831,Active,59
4158,144207711,197873,Active,59
4221,144207774,3015167,Active,59
4237,144207790,11461044,Active,59
4855,144208408,79717,Active,59
4867,144208420,13514,Active,59
2126,144205679,11366,Active,58
3066,144206619,44460585,Active,58
3671,144207224,154914,Active,58
4029,144207582,2406,Active,58
4238,144207791,22239085,Active,58
4995,144208548,3598,Active,58
5332,144208885,15910,Active,58
6258,144209811,16217238,Active,58
6267,144209820,22078297,Active,58
7006,144210559,9849616,Active,58
7167,144210720,93118,Active,58
8329,144211882,19402,Active,58
10297,144213850,5803,Active,57
1744,144205297,443375,Active,57
1750,144205303,5458876,Active,57
2222,144205775,60196289,Active,57
4235,144207788,12040509,Active,57
6293,144209846,60196375,Active,57
6436,144209989,22882,Active,57
8685,144212238,92873,Active,57
8981,144212534,53249535,Active,57
1352,144204905,443311,Active,56
1498,144205051,5388983,Active,56
4342,144207895,11375816,Active,56
6272,144209825,2775940,Active,56
7335,144210888,11057,Active,56
7353,144210906,16682730,Active,56
7507,144211060,14994,Active,56
9453,144213006,9571016,Active,56
10001,144213554,10868,Active,55
10202,144213755,9552079,Active,55
10362,144213915,1549520,Active,55
2034,144205587,6321424,Active,55
2578,144206131,60196297,Active,55
