PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,144210136,44368,Active,100
2,144207908,2336,Active,98
3,170465514,16682935,Active,88
4,170466763,73828,Active,87
5,170465995,3191,Active,77
6,144208657,33528,Active,73
7,144209699,61444,Active,71
8,170466895,46861540,Active,71
9,144210609,9153,Active,69
10,170465580,5311217,Active,68
12,144209791,4523766,Active,67
13,144207622,6277,Active,65
14,144209457,5284416,Active,62
15,170466382,13764,Active,58
16,144213428,1318,Active,58
17,144211603,2723715,Active,58
18,144208064,73773,Active,54
19,251919981,5355079,Active,54
20,144210111,95717,Active,53
21,144209725,62390,Active,52
22,170464850,5281081,Active,49
23,144209700,92884,Active,49
24,144211380,21804,Active,48
25,144212682,4499,Active,48
26,170466265,59757,Active,48
27,170466856,17276,Active,47
28,251919835,623849,Active,47
29,170464710,5288783,Active,45
30,144210720,93118,Active,45
31,144207711,197873,Active,45
32,170465372,5282375,Active,44
33,144208922,9128,Active,44
34,144210158,28308,Active,44
35,170465003,5362123,Active,44
36,144206840,65953,Active,44
37,170464666,441336,Active,43
38,144211849,3957,Active,43
39,144212068,5284462,Active,43
40,144209003,6001,Active,43
41,144209994,51040,Active,42
42,144208666,65064,Active,41
43,144211589,66573,Active,40
100,144209219,5546,Inconclusive,30
101,144210161,14586,Inconclusive,30
44,170464723,214348,Inconclusive,30
45,251919673,9131,Inconclusive,30
46,170466523,9849425,Inconclusive,30
47,144212253,6850780,Inconclusive,30
48,144211232,5280567,Inconclusive,30
49,144208080,5354284,Inconclusive,30
50,144209666,174223,Inconclusive,30
51,170465048,30323,Inconclusive,30
52,170465994,10206,Inconclusive,30
53,170466420,48229,Inconclusive,30
54,144210399,16129778,Inconclusive,30
55,144210534,18173271,Inconclusive,30
56,144212669,2170,Inconclusive,30
57,144212085,74448,Inconclusive,30
58,144212492,24385,Inconclusive,30
59,144212235,16422,Inconclusive,30
60,144212600,3067270,Inconclusive,30
61,144213468,8458,Inconclusive,30
62,144213654,6672,Inconclusive,30
64,144213666,10068207,Inconclusive,30
65,144207290,13745,Inconclusive,30
66,144208119,64142,Inconclusive,30
67,144208378,62969,Inconclusive,30
68,144208826,12348,Inconclusive,30
69,144208830,6421,Inconclusive,30
70,144208939,657298,Inconclusive,30
72,144209261,7142,Inconclusive,30
73,144209424,8418,Inconclusive,30
74,144209790,1674,Inconclusive,30
75,144210156,74062,Inconclusive,30
76,170465798,165457,Inconclusive,30
77,170466458,135400471,Inconclusive,30
78,144210965,65067,Inconclusive,30
79,144208314,969516,Inconclusive,30
80,144209574,12472902,Inconclusive,30
81,251919721,11159021,Inconclusive,30
82,251919850,70671,Inconclusive,30
83,170464694,3108,Inconclusive,30
84,170466085,2725002,Inconclusive,30
86,170465046,2723598,Inconclusive,30
87,170466071,38072,Inconclusive,30
88,144210944,169371,Inconclusive,30
89,144211385,60196415,Inconclusive,30
90,144211851,6867,Inconclusive,30
91,144211857,33786,Inconclusive,30
93,144213616,11937,Inconclusive,30
94,144213602,7050,Inconclusive,30
95,144207594,71833,Inconclusive,30
96,144207919,9158,Inconclusive,30
102,144210948,11723708,Inconclusive,5
103,144212309,67274,Inconclusive,5
104,170465712,2724411,Inconclusive,5
105,170466421,7329,Inconclusive,5
107,170464920,2157,Inconclusive,5
108,170465240,2351,Inconclusive,5
109,170464927,4211,Inconclusive,5
110,170464807,2812,Inconclusive,5
111,170466088,104920,Inconclusive,5
112,170466307,3396,Inconclusive,5
114,170465183,51082,Inconclusive,5
115,170465173,4474,Inconclusive,5
116,170466353,5154,Inconclusive,5
117,144214033,3117,Inconclusive,5
118,170465598,5405,Inconclusive,5
119,170465426,3278,Inconclusive,5
120,170465473,8478,Inconclusive,5
121,170466800,3503,Inconclusive,5
122,170464708,38911,Inconclusive,5
123,170466037,941361,Inconclusive,5
124,170465344,65495,Inconclusive,5
125,170465826,2378,Inconclusive,5
126,170465422,68589,Inconclusive,5
127,170466521,5354,Inconclusive,5
128,170465425,2733525,Inconclusive,5
129,170466162,357904,Inconclusive,5
130,144213967,1923,Inconclusive,5
131,170466359,5288209,Inconclusive,5
133,144213976,15730,Inconclusive,5
134,170465494,10866,Inconclusive,5
135,170465500,8816,Inconclusive,5
136,170465524,16682730,Inconclusive,5
137,170465529,3036,Inconclusive,5
138,170464787,11057,Inconclusive,5
139,170464690,3598,Inconclusive,5
140,170466727,20250,Inconclusive,5
141,170466062,14710,Inconclusive,5
142,144214007,8425,Inconclusive,5
143,170465664,5455,Inconclusive,5
144,170464627,636362,Inconclusive,5
145,170465729,3607,Inconclusive,5
146,170466615,2799,Inconclusive,5
147,170466887,135409453,Inconclusive,5
148,170465567,7347,Inconclusive,5
149,170465534,6855,Inconclusive,5
150,170466388,65909,Inconclusive,5
151,170465852,6237,Inconclusive,5
152,170466268,68939,Inconclusive,5
153,170466601,31475,Inconclusive,5
154,170466124,19910,Inconclusive,5
155,170466529,36303,Inconclusive,5
156,170464814,5746,Inconclusive,5
157,144214039,29393,Inconclusive,5
158,144213972,8814,Inconclusive,5
159,170465714,5974,Inconclusive,5
160,170464951,2800,Inconclusive,5
161,170466597,11366,Inconclusive,5
162,170465699,3109,Inconclusive,5
163,170466010,122125,Inconclusive,5
164,170464674,60164,Inconclusive,5
165,170466197,33630,Inconclusive,5
166,170465593,65057,Inconclusive,5
167,170466067,31280,Inconclusive,5
168,170465054,9046,Inconclusive,5
169,170466074,5709754,Inconclusive,5
170,170466628,42574,Inconclusive,5
171,170465343,5482,Inconclusive,5
172,170465756,65948,Inconclusive,5
173,170465125,208908,Inconclusive,5
174,170466078,54260,Inconclusive,5
175,170465652,12629,Inconclusive,5
176,144206442,71285,Inconclusive,5
177,170465226,9556529,Inconclusive,5
178,170466240,102678,Inconclusive,5
179,170465469,16684434,Inconclusive,5
180,170465140,37392,Inconclusive,5
181,170464901,47471,Inconclusive,5
182,170466012,3760,Inconclusive,5
183,170465984,5284486,Inconclusive,5
184,170465336,156418,Inconclusive,5
185,170465308,82146,Inconclusive,5
186,170465629,60196301,Inconclusive,5
187,170466778,13118,Inconclusive,5
188,170466793,154256,Inconclusive,5
189,170465929,5489012,Inconclusive,5
190,170466187,71310,Inconclusive,5
191,144206912,156414,Inconclusive,5
192,144206814,10455790,Inconclusive,5
193,144206851,119175,Inconclusive,5
194,144206848,60751,Inconclusive,5
195,144206877,66067,Inconclusive,5
196,144206826,130990,Inconclusive,5
197,170465550,9719,Inconclusive,5
198,170465064,208898,Inconclusive,5
199,144214025,29249,Inconclusive,5
200,144206450,197059,Inconclusive,5
201,144206452,11969480,Inconclusive,5
202,144210568,60196406,Inconclusive,5
203,144210492,24860538,Inconclusive,5
204,144210376,11742,Inconclusive,5
205,144210587,456201,Inconclusive,5
206,144210569,9801235,Inconclusive,5
207,144210446,2450,Inconclusive,5
208,144210544,53316396,Inconclusive,5
210,144210410,8455,Inconclusive,5
211,144210556,60196404,Inconclusive,5
212,144210634,62311,Inconclusive,5
213,144210592,61253,Inconclusive,5
214,144210538,170364,Inconclusive,5
215,144210574,60196407,Inconclusive,5
216,144210575,60196408,Inconclusive,5
217,144210448,19658,Inconclusive,5
218,144210539,60196400,Inconclusive,5
219,144210542,10233356,Inconclusive,5
220,144210511,6294,Inconclusive,5
221,144210418,299,Inconclusive,5
222,144210429,3035,Inconclusive,5
223,144210434,7311,Inconclusive,5
224,144210522,6439420,Inconclusive,5
226,144210625,444795,Inconclusive,5
227,144210532,10483134,Inconclusive,5
228,144210550,60196403,Inconclusive,5
229,144210566,53316382,Inconclusive,5
230,144210636,76013,Inconclusive,5
231,144210946,833466,Inconclusive,5
232,144210915,23558,Inconclusive,5
233,144210861,15096,Inconclusive,5
234,144210790,11477651,Inconclusive,5
235,144210770,9810771,Inconclusive,5
236,144210709,560256,Inconclusive,5
237,144210903,60196414,Inconclusive,5
238,144210713,441325,Inconclusive,5
239,144210648,53316391,Inconclusive,5
240,144210675,3610,Inconclusive,5
241,144210694,23665770,Inconclusive,5
243,144210878,6618,Inconclusive,5
244,144210727,16682828,Inconclusive,5
245,144210755,9984487,Inconclusive,5
246,144210939,13089,Inconclusive,5
248,144210821,8722,Inconclusive,5
249,144210814,23673837,Inconclusive,5
252,144210857,2733526,Inconclusive,5
253,144210807,17520,Inconclusive,5
254,144210935,10229,Inconclusive,5
255,144210762,9861124,Inconclusive,5
256,144210759,6914152,Inconclusive,5
257,144210893,338733,Inconclusive,5
258,144210852,3589,Inconclusive,5
261,144210962,104926,Inconclusive,5
262,144210974,3224,Inconclusive,5
263,144210986,7551,Inconclusive,5
264,144210989,13662,Inconclusive,5
265,144210990,5281162,Inconclusive,5
266,144210994,7626,Inconclusive,5
267,144211011,34469,Inconclusive,5
268,144211037,37175,Inconclusive,5
269,144211039,91768,Inconclusive,5
270,144211071,6327657,Inconclusive,5
271,144211088,11402127,Inconclusive,5
272,144211089,8606,Inconclusive,5
273,144211104,22833503,Inconclusive,5
274,144211118,17038,Inconclusive,5
275,144211122,4936,Inconclusive,5
277,144211179,15910,Inconclusive,5
278,144211183,91699,Inconclusive,5
279,144211195,7511,Inconclusive,5
280,144211225,20708,Inconclusive,5
281,144211237,5053,Inconclusive,5
282,144211244,6912870,Inconclusive,5
283,144211247,36324,Inconclusive,5
284,144211255,70613,Inconclusive,5
285,144211260,122087,Inconclusive,5
286,144211262,9959038,Inconclusive,5
287,144211267,445638,Inconclusive,5
288,144211277,14145,Inconclusive,5
289,144211305,8268,Inconclusive,5
290,144211307,10788,Inconclusive,5
291,144211337,66030,Inconclusive,5
292,144211350,82145,Inconclusive,5
293,144211355,86354,Inconclusive,5
294,144211389,30692,Inconclusive,5
295,144211394,8607,Inconclusive,5
296,144211405,50367,Inconclusive,5
298,144211450,22833506,Inconclusive,5
299,144211461,213032,Inconclusive,5
300,144211494,91731,Inconclusive,5
301,144211518,8621,Inconclusive,5
302,144211522,7825,Inconclusive,5
303,144212268,61948,Inconclusive,5
304,144212077,4373502,Inconclusive,5
305,144212593,21859,Inconclusive,5
306,144211773,192197,Inconclusive,5
307,144212686,54900,Inconclusive,5
308,144211534,31265,Inconclusive,5
310,144212705,24180685,Inconclusive,5
311,144212382,8753,Inconclusive,5
312,144212150,31202,Inconclusive,5
313,144212519,2540,Inconclusive,5
314,144212192,60974,Inconclusive,5
315,144211806,85821,Inconclusive,5
317,144212680,9562059,Inconclusive,5
318,144211562,119193,Inconclusive,5
319,144211903,16362,Inconclusive,5
320,144212057,3005572,Inconclusive,5
321,144211559,87323,Inconclusive,5
322,144212135,9403,Inconclusive,5
323,144212257,28417,Inconclusive,5
324,144212095,5392,Inconclusive,5
325,144212404,6099,Inconclusive,5
326,144212237,54680085,Inconclusive,5
327,144212726,91688,Inconclusive,5
328,144211599,4128060,Inconclusive,5
329,144212212,20936,Inconclusive,5
330,144212488,4534,Inconclusive,5
331,144211642,23690438,Inconclusive,5
333,144211573,89440,Inconclusive,5
334,144211673,34766,Inconclusive,5
335,144211898,12309460,Inconclusive,5
336,144212517,77328,Inconclusive,5
337,144211972,671,Inconclusive,5
339,144212173,15583,Inconclusive,5
340,144212039,108956,Inconclusive,5
341,144212231,22094,Inconclusive,5
342,144211841,10346,Inconclusive,5
343,144212178,1730,Inconclusive,5
344,144211763,14842,Inconclusive,5
345,144211871,10234,Inconclusive,5
346,144212534,53249535,Inconclusive,5
347,144212298,2097895,Inconclusive,5
348,144211722,17701,Inconclusive,5
349,144212048,20113,Inconclusive,5
350,144212722,18771,Inconclusive,5
351,144212326,13708,Inconclusive,5
352,144212541,13783,Inconclusive,5
353,144211853,75444,Inconclusive,5
354,144212040,39485,Inconclusive,5
355,144211954,14869,Inconclusive,5
356,144212616,62418,Inconclusive,5
357,144211780,15325,Inconclusive,5
358,144212701,23673604,Inconclusive,5
359,144212693,61080,Inconclusive,5
360,144211901,76716,Inconclusive,5
361,144212696,62253,Inconclusive,5
362,144212383,2603,Inconclusive,5
364,144212384,14250,Inconclusive,5
365,144212551,6857648,Inconclusive,5
366,144211945,10568,Inconclusive,5
367,144211781,67277,Inconclusive,5
368,144212002,62556,Inconclusive,5
369,144212381,83648,Inconclusive,5
370,144212238,92873,Inconclusive,5
371,144212515,21218,Inconclusive,5
372,144212650,169870,Inconclusive,5
373,144212074,42981,Inconclusive,5
374,144211912,181518,Inconclusive,5
375,144211653,10303,Inconclusive,5
376,144212639,299728,Inconclusive,5
377,144212321,16683023,Inconclusive,5
378,144211846,352309,Inconclusive,5
379,144211556,62379,Inconclusive,5
380,144211636,4778,Inconclusive,5
381,144211643,11488,Inconclusive,5
382,144211528,2735045,Inconclusive,5
383,144212558,9786,Inconclusive,5
384,144212741,20906,Inconclusive,5
385,144212317,15337,Inconclusive,5
386,144211905,1807,Inconclusive,5
387,144212433,26030,Inconclusive,5
388,144211541,12898,Inconclusive,5
389,144211774,18980,Inconclusive,5
390,144212023,4443516,Inconclusive,5
391,144211551,12942137,Inconclusive,5
392,144212082,23690437,Inconclusive,5
393,144212112,16683072,Inconclusive,5
394,144211658,51392,Inconclusive,5
395,144212084,6610,Inconclusive,5
396,144211727,93335,Inconclusive,5
397,144212000,15284,Inconclusive,5
398,144212047,170286,Inconclusive,5
399,144212053,18198,Inconclusive,5
400,144212093,103005,Inconclusive,5
401,144212149,41114,Inconclusive,5
402,144211987,32912,Inconclusive,5
404,144213129,517546,Inconclusive,5
405,144213240,8398,Inconclusive,5
406,144213228,27465,Inconclusive,5
407,144213119,6,Inconclusive,5
408,144213271,8805,Inconclusive,5
409,144213338,8371,Inconclusive,5
410,144213217,8679,Inconclusive,5
411,144213108,9903,Inconclusive,5
413,144213110,107377,Inconclusive,5
414,144213287,4650,Inconclusive,5
415,144213097,6478,Inconclusive,5
416,144213069,5280793,Inconclusive,5
417,144213317,24633,Inconclusive,5
418,144213330,3037,Inconclusive,5
419,144213126,10793,Inconclusive,5
420,144213236,2406,Inconclusive,5
422,144213139,9074,Inconclusive,5
423,144213210,15098,Inconclusive,5
424,144212925,18669,Inconclusive,5
425,144213006,9571016,Inconclusive,5
426,144212799,16682953,Inconclusive,5
427,144212814,86211,Inconclusive,5
429,144212789,66760,Inconclusive,5
430,144212847,94398,Inconclusive,5
431,144213030,657220,Inconclusive,5
432,144212894,75282,Inconclusive,5
433,144213364,9395,Inconclusive,5
434,144213366,8749,Inconclusive,5
435,144213478,5281875,Inconclusive,5
436,144213519,7573,Inconclusive,5
437,144213353,4931,Inconclusive,5
438,144213493,18529,Inconclusive,5
439,144213522,26041,Inconclusive,5
440,144213429,12688,Inconclusive,5
441,144213404,9275,Inconclusive,5
442,144213485,25644,Inconclusive,5
443,144213540,14868,Inconclusive,5
444,144213569,19042,Inconclusive,5
445,144213657,60196435,Inconclusive,5
446,144213704,82343,Inconclusive,5
447,144213717,14503,Inconclusive,5
448,144213755,9552079,Inconclusive,5
449,144213901,28777,Inconclusive,5
450,144213731,91511,Inconclusive,5
451,144213768,14138,Inconclusive,5
452,144213707,16682834,Inconclusive,5
453,144213733,14127,Inconclusive,5
454,144213796,14425,Inconclusive,5
455,144213834,27423,Inconclusive,5
456,144213683,5358159,Inconclusive,5
457,144213959,63062,Inconclusive,5
458,144213881,129491,Inconclusive,5
459,144213906,60196441,Inconclusive,5
460,144213674,6928,Inconclusive,5
461,144213861,9889168,Inconclusive,5
463,144213676,171144,Inconclusive,5
464,144213776,67271,Inconclusive,5
465,144213789,107882,Inconclusive,5
467,144213741,14642,Inconclusive,5
468,144213817,173058,Inconclusive,5
469,144211613,31239,Inconclusive,5
470,144212019,458426,Inconclusive,5
471,144207203,21660,Inconclusive,5
472,144207224,154914,Inconclusive,5
473,144207253,6537495,Inconclusive,5
474,144207269,5281034,Inconclusive,5
475,144207291,5282379,Inconclusive,5
476,144207293,2247,Inconclusive,5
477,144207302,6537493,Inconclusive,5
478,144207314,16682740,Inconclusive,5
479,144207326,5364713,Inconclusive,5
480,144207358,115157,Inconclusive,5
482,144207367,25608,Inconclusive,5
483,144207380,62857,Inconclusive,5
484,144207381,38018,Inconclusive,5
485,144207386,11859,Inconclusive,5
486,144207391,23707968,Inconclusive,5
488,144207438,10474,Inconclusive,5
489,144207443,50516,Inconclusive,5
490,144207461,26633,Inconclusive,5
491,144207466,7570,Inconclusive,5
492,144207488,5993,Inconclusive,5
493,144207527,11080,Inconclusive,5
494,144207537,11852,Inconclusive,5
