PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
5,144212341,2361,Active,100
7,144209702,6731,Active,100
8,170466862,11219835,Active,93
23,170466453,33334,Active,84
28,251919768,17204,Active,84
13,170465220,134018,Active,76
15,144208360,15277,Active,73
37,144208947,10332,Active,73
45,144208953,5934,Active,73
29,170465365,2161,Active,70
35,144213808,8615,Active,69
1,170464713,441207,Active,68
110,144207955,6053,Active,67
18,144209703,5889,Active,67
72,251919645,17811,Active,67
40,170465090,41684,Active,65
70,144208572,445154,Active,65
19,170466656,6450551,Active,64
57,144207698,90547,Active,64
2,170465184,4477,Active,63
25,144210182,7263,Active,63
31,170465997,3747,Active,63
52,144213218,5280373,Active,63
60,144209666,174223,Active,63
84,144211854,79633,Active,63
80,170464806,9351,Active,61
27,144210537,153939,Active,60
63,144208719,8341,Active,60
65,144212165,5280378,Active,60
121,144212652,5281607,Active,59
79,144209684,10771,Active,59
10,251919877,15478,Active,58
109,251919681,28531,Active,58
12,144209695,6537498,Active,58
6,251919809,23663992,Active,58
114,170466112,65758,Active,56
119,170464970,4409,Active,55
142,144208074,17113,Active,55
16,170466466,19646,Active,55
24,170466176,54339,Active,55
87,144212011,6772,Active,55
104,144210749,10021362,Active,54
17,251919808,60196288,Active,54
238,144210965,65067,Active,54
56,144210547,9882837,Active,54
86,144213975,7243,Active,54
99,251919938,12855,Active,54
129,144208178,11990,Active,53
20,144208165,37542,Active,53
206,144212877,62217,Active,53
38,170465409,23663976,Active,53
9,144210116,5377793,Active,53
91,144213201,5280443,Active,53
96,144208879,6702,Active,53
152,144211812,1549133,Active,52
166,144209790,1674,Active,52
66,144210902,5280961,Active,52
77,144211848,80434,Active,52
126,144211003,8433,Active,51
188,144208277,34757,Active,51
201,144208642,5281708,Active,51
30,144213082,446155,Active,51
82,144213984,69779,Active,51
140,144210412,17593,Active,50
141,170466528,14652,Active,50
144,144213055,8691,Active,50
173,144209258,5954,Active,50
207,144213882,66597,Active,50
222,144211967,67236,Active,50
32,144212690,60822,Active,50
36,144209957,7115,Active,50
41,170464984,54454,Active,50
50,144209459,7340,Active,50
90,144207494,5273621,Active,50
102,144207332,61100,Active,49
107,144213733,14127,Active,49
122,144213063,638024,Active,49
136,144210166,15529,Active,49
147,144207503,15588,Active,49
151,144211221,73670,Active,49
236,144207396,12089,Active,49
34,170464823,3899,Active,49
48,170464913,53232,Active,49
58,144209804,5702746,Active,49
11,170466457,71750,Active,48
111,144209327,8749,Active,48
117,170466392,14369,Active,48
146,144213980,6051,Active,48
175,170466104,88836,Active,48
208,144212950,7659,Active,48
39,144209746,9171,Active,48
64,144209745,5281575,Active,48
75,144209784,10855,Active,48
88,144210185,10680,Active,48
94,170466892,11957707,Active,48
97,144212734,60823,Active,48
103,144207749,23019,Active,47
132,170466412,159977,Active,47
161,144206861,9570475,Active,47
162,170466270,107641,Active,47
226,144211255,70613,Active,47
264,144207687,146540,Active,47
267,144211051,25152,Active,47
44,170465647,3334,Active,47
93,170465045,444795,Active,47
124,144210191,28803,Active,46
125,144209089,8679,Active,46
135,144207704,7253,Active,46
148,170464928,5070,Active,46
165,144207880,6881,Active,46
167,144208286,19996,Active,46
178,144211930,16834,Active,46
196,170465273,8609,Active,46
217,144211599,4128060,Active,46
22,170466402,26596,Active,46
227,144211283,29216,Active,46
234,144207839,7192,Active,46
241,144208976,5192,Active,46
244,144212361,6773,Active,46
85,144211653,10303,Active,46
123,144208128,71645,Active,45
155,144213825,86287525,Active,45
158,144209241,33775,Active,45
172,144207298,16741,Active,45
198,144208236,69317,Active,45
203,170464939,5430,Active,45
212,144208547,25644,Active,45
256,144207709,13297,Active,45
67,144206814,10455790,Active,45
78,144211261,86367,Active,45
83,144207266,7595,Active,45
100,144212208,9690,Active,44
118,144208493,24744,Active,44
138,144207432,18502,Active,44
149,170465300,6918303,Active,44
156,144212647,7180,Active,44
169,144206823,5282203,Active,44
184,144210093,7571,Active,44
189,170465242,5732,Active,44
195,144210111,95717,Active,44
199,144208028,5897,Active,44
220,144207908,2336,Active,44
223,144211891,19756,Active,44
246,144212939,7194,Active,44
265,170466387,10230,Active,44
272,144208349,637930,Active,44
59,144212617,2082,Active,44
68,144210952,86296,Active,44
81,144210169,1539,Active,44
95,144207291,5282379,Active,44
101,144210599,7031,Active,43
105,144206887,164072,Active,43
112,144210136,44368,Active,43
116,144208044,16420,Active,43
130,144210414,3225,Active,43
131,170466302,2871,Active,43
133,144209543,785,Active,43
145,144211643,11488,Active,43
163,170466641,30530,Active,43
164,144211290,5284341,Active,43
185,144209271,7013,Active,43
211,144214002,7594,Active,43
214,144212171,24743,Active,43
216,144210099,11796,Active,43
221,170466692,83270,Active,43
228,144213616,11937,Active,43
231,170465074,62960,Active,43
237,144209451,8689,Active,43
247,144213835,7076,Active,43
251,144208512,8805,Active,43
252,144213128,5111791,Active,43
266,144209718,1123,Active,43
42,170466223,40854,Active,43
47,144213891,16036578,Active,43
62,144207741,8570,Active,43
74,170466094,47936,Active,43
137,144212912,75547,Active,42
159,170466236,31635,Active,42
168,144207397,627458,Active,42
170,170466732,2723694,Active,42
171,144210609,9153,Active,42
183,170466550,7176,Active,42
186,144213181,9352,Active,42
