PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1118,312345155,122634,Active,98
953,312344990,4477,Active,93
1177,312345214,65752,Active,92
681,312344718,9351,Active,90
37,144213998,7263,Active,88
1114,312345151,4713,Active,86
1176,312345213,24987039,Active,85
19,144213980,6051,Active,82
1149,312345186,37542,Active,64
1147,312345184,444795,Active,63
59,144214020,10680,Active,62
735,312344772,3820,Active,56
1197,312345234,445154,Active,51
1064,312345101,16219029,Active,50
1207,312345244,6450842,Active,48
1247,312345284,5218788,Active,46
1279,312345316,5282230,Active,46
153,312344190,5280443,Active,46
162,312344199,656846,Active,46
315,312344352,6466029,Active,46
608,312344645,5280961,Active,46
842,312344879,64715,Active,46
737,312344774,3899,Active,45
826,312344863,9794588,Active,45
861,312344898,448949,Active,45
1002,312345039,667639,Active,44
23,144213984,69779,Active,44
234,312344271,3707,Active,44
500,312344537,5281708,Active,44
1257,312345294,5311432,Active,43
1104,312345141,5353431,Active,42
1249,312345286,11957707,Active,42
235,312344272,11957462,Active,42
343,312344380,3277600,Active,42
593,312344630,5287855,Active,42
930,312344967,6604893,Active,42
1311,312345348,44828491,Active,41
14,144213975,7243,Active,41
224,312344261,189406,Active,41
665,312344702,785,Active,41
1151,312345188,692416,Inconclusive,23
1045,312345082,118705493,Inconclusive,21
1058,312345095,61100,Inconclusive,21
1084,312345121,135419184,Inconclusive,21
1150,312345187,5070,Inconclusive,21
141,312344178,5813,Inconclusive,21
300,312344337,6035,Inconclusive,21
747,312344784,11957577,Inconclusive,21
834,312344871,28767,Inconclusive,21
883,312344920,5311299,Inconclusive,21
309,312344346,119565,Inconclusive,20
38,144213999,8041,Inconclusive,20
1030,312345067,439501,Inconclusive,10
1032,312345069,5420804,Inconclusive,10
1038,312345075,5281064,Inconclusive,10
1055,312345092,23682212,Inconclusive,10
1095,312345132,118705497,Inconclusive,10
1099,312345136,11957673,Inconclusive,10
1108,312345145,9373,Inconclusive,10
1180,312345217,5233,Inconclusive,10
1188,312345225,179344,Inconclusive,10
1190,312345227,68712,Inconclusive,10
12,144213973,7175,Inconclusive,10
1233,312345270,5328771,Inconclusive,10
1258,312345295,11622683,Inconclusive,10
1269,312345306,6305,Inconclusive,10
1284,312345321,5328769,Inconclusive,10
1296,312345333,6169,Inconclusive,10
1297,312345334,8695,Inconclusive,10
1337,312345374,5353685,Inconclusive,10
137,312344174,9301,Inconclusive,10
139,312344176,2266,Inconclusive,10
159,312344196,1820,Inconclusive,10
186,312344223,12888922,Inconclusive,10
195,312344232,62960,Inconclusive,10
219,312344256,19035073,Inconclusive,10
239,312344276,10375597,Inconclusive,10
240,312344277,66368,Inconclusive,10
27,144213988,3417419,Inconclusive,10
310,312344347,50088,Inconclusive,10
346,312344383,77995,Inconclusive,10
363,312344400,15551229,Inconclusive,10
379,312344416,11957495,Inconclusive,10
40,144214001,16720,Inconclusive,10
41,144214002,7594,Inconclusive,10
427,312344464,6419921,Inconclusive,10
469,312344506,1329,Inconclusive,10
470,312344507,676113,Inconclusive,10
482,312344519,2890,Inconclusive,10
491,312344528,2990,Inconclusive,10
498,312344535,53708,Inconclusive,10
506,312344543,135342,Inconclusive,10
586,312344623,11957546,Inconclusive,10
609,312344646,11957548,Inconclusive,10
611,312344648,192706,Inconclusive,10
620,312344657,3291,Inconclusive,10
621,312344658,4375,Inconclusive,10
626,312344663,3433,Inconclusive,10
632,312344669,5702161,Inconclusive,10
656,312344693,1742,Inconclusive,10
666,312344703,9399,Inconclusive,10
683,312344720,5818,Inconclusive,10
688,312344725,42890,Inconclusive,10
690,312344727,1245,Inconclusive,10
764,312344801,84003,Inconclusive,10
782,312344819,55305,Inconclusive,10
799,312344836,5807,Inconclusive,10
859,312344896,11957609,Inconclusive,10
860,312344897,11957611,Inconclusive,10
869,312344906,16759251,Inconclusive,10
886,312344923,644213,Inconclusive,10
911,312344948,4235,Inconclusive,10
956,312344993,1871,Inconclusive,10
970,312345007,4592,Inconclusive,10
1,144213962,135474890,Inactive,0
10,144213971,7108,Inactive,0
100,312344137,118705466,Inactive,0
1000,312345037,5242,Inactive,0
1001,312345038,6436473,Inactive,0
1003,312345040,6473767,Inactive,0
1004,312345041,1922,Inactive,0
1005,312345042,5460033,Inactive,0
1006,312345043,36708,Inactive,0
1007,312345044,5284443,Inactive,0
1008,312345045,16219981,Inactive,0
1009,312345046,4551,Inactive,0
101,312344138,16219807,Inactive,0
1010,312345047,91505,Inactive,0
1011,312345048,5484727,Inactive,0
1012,312345049,44216796,Inactive,0
1013,312345050,11225543,Inactive,0
1014,312345051,11314197,Inactive,0
1015,312345052,6610290,Inactive,0
1016,312345053,104845,Inactive,0
1017,312345054,4748,Inactive,0
1018,312345055,11957658,Inactive,0
1019,312345056,102484,Inactive,0
102,312344139,9433,Inactive,0
1020,312345057,4626,Inactive,0
1021,312345058,176158,Inactive,0
1022,312345059,1694,Inactive,0
1023,312345060,4740,Inactive,0
1024,312345061,5311367,Inactive,0
1025,312345062,4564,Inactive,0
1026,312345063,11243536,Inactive,0
1027,312345064,5917,Inactive,0
1028,312345065,11957660,Inactive,0
1029,312345066,5283454,Inactive,0
103,312344140,455007,Inactive,0
1031,312345068,4614,Inactive,0
1033,312345070,16362,Inactive,0
1034,312345071,5289247,Inactive,0
1035,312345072,363417,Inactive,0
1036,312345073,4843,Inactive,0
1037,312345074,5909,Inactive,0
1039,312345076,4628,Inactive,0
104,312344141,6604918,Inactive,0
1040,312345077,1456,Inactive,0
1041,312345078,3027782,Inactive,0
1042,312345079,4828,Inactive,0
1043,312345080,92225,Inactive,0
1044,312345081,6084,Inactive,0
1046,312345083,6093162,Inactive,0
1047,312345084,657349,Inactive,0
1048,312345085,5887,Inactive,0
1049,312345086,71405,Inactive,0
105,312344142,11957442,Inactive,0
1050,312345087,9937619,Inactive,0
1051,312345088,11957663,Inactive,0
1052,312345089,11957664,Inactive,0
1053,312345090,5795,Inactive,0
1054,312345091,1641,Inactive,0
1056,312345093,11957665,Inactive,0
1057,312345094,6239,Inactive,0
1059,312345096,9532,Inactive,0
106,312344143,1216,Inactive,0
1060,312345097,4971,Inactive,0
1061,312345098,6603149,Inactive,0
1062,312345099,118705494,Inactive,0
1063,312345100,118705496,Inactive,0
1065,312345102,5312137,Inactive,0
1066,312345103,135418296,Inactive,0
1067,312345104,5282139,Inactive,0
1068,312345105,91430,Inactive,0
1069,312345106,5328733,Inactive,0
107,312344144,11957443,Inactive,0
1070,312345107,47812,Inactive,0
1071,312345108,1318,Inactive,0
1072,312345109,202477,Inactive,0
1073,312345110,4780,Inactive,0
1074,312345111,9820433,Inactive,0
1075,312345112,1066,Inactive,0
1076,312345113,55397,Inactive,0
1077,312345114,546,Inactive,0
1078,312345115,24351,Inactive,0
1079,312345116,4781,Inactive,0
108,312344145,126941,Inactive,0
1080,312345117,1853,Inactive,0
1081,312345118,66068,Inactive,0
1082,312345119,11957669,Inactive,0
1083,312345120,4076092,Inactive,0
1085,312345122,5280343,Inactive,0
1086,312345123,56972187,Inactive,0
1087,312345124,1256,Inactive,0
1088,312345125,68546,Inactive,0
1089,312345126,4814,Inactive,0
109,312344146,2724023,Inactive,0
1090,312345127,9883500,Inactive,0
1091,312345128,92163,Inactive,0
1092,312345129,11957671,Inactive,0
1093,312345130,4847,Inactive,0
1094,312345131,4779,Inactive,0
1096,312345133,11957672,Inactive,0
1097,312345134,1046,Inactive,0
1098,312345135,4788,Inactive,0
11,144213972,8814,Inactive,0
110,312344147,6917843,Inactive,0
1100,312345137,9279,Inactive,0
1101,312345138,4938,Inactive,0
1102,312345139,9960164,Inactive,0
1103,312345140,5288600,Inactive,0
1105,312345142,1560402,Inactive,0
1106,312345143,68728,Inactive,0
1107,312345144,4909,Inactive,0
1109,312345146,165193,Inactive,0
111,312344148,16486,Inactive,0
1110,312345147,44828481,Inactive,0
1111,312345148,60853,Inactive,0
1112,312345149,2375,Inactive,0
1113,312345150,9861903,Inactive,0
1115,312345152,17999755,Inactive,0
1116,312345153,3057788,Inactive,0
1117,312345154,11957677,Inactive,0
1119,312345156,517348,Inactive,0
112,312344149,443120,Inactive,0
1120,312345157,5281032,Inactive,0
1121,312345158,7550,Inactive,0
1122,312345159,5462501,Inactive,0
1123,312345160,4826,Inactive,0
1124,312345161,11957668,Inactive,0
1125,312345162,40539,Inactive,0
1126,312345163,440707,Inactive,0
1127,312345164,3040551,Inactive,0
1128,312345165,71311960,Inactive,0
1129,312345166,11957680,Inactive,0
113,312344150,6114,Inactive,0
1130,312345167,3495594,Inactive,0
1131,312345168,11957681,Inactive,0
1133,312345170,9539,Inactive,0
1134,312345171,2779853,Inactive,0
1135,312345172,11983295,Inactive,0
1136,312345173,5355,Inactive,0
1137,312345174,54900,Inactive,0
1138,312345175,5281847,Inactive,0
1139,312345176,11957683,Inactive,0
114,312344151,1967,Inactive,0
1140,312345177,6604161,Inactive,0
1141,312345178,66245,Inactive,0
1142,312345179,10220250,Inactive,0
1143,312345180,10321498,Inactive,0
1144,312345181,5282106,Inactive,0
1145,312345182,11957684,Inactive,0
1146,312345183,71311941,Inactive,0
1148,312345185,71279,Inactive,0
115,312344152,2265,Inactive,0
1152,312345189,51371261,Inactive,0
1153,312345190,11957685,Inactive,0
1154,312345191,11957686,Inactive,0
1155,312345192,11957687,Inactive,0
1156,312345193,1548887,Inactive,0
1157,312345194,9548875,Inactive,0
1158,312345195,5092,Inactive,0
1159,312345196,3033332,Inactive,0
116,312344153,132837,Inactive,0
1160,312345197,452967,Inactive,0
1161,312345198,1880,Inactive,0
1162,312345199,11957688,Inactive,0
1163,312345200,9384,Inactive,0
1164,312345201,11957689,Inactive,0
1165,312345202,128355,Inactive,0
1166,312345203,22475,Inactive,0
1167,312345204,5282379,Inactive,0
1168,312345205,11957690,Inactive,0
1169,312345206,5074,Inactive,0
117,312344154,2141,Inactive,0
1170,312345207,11663304,Inactive,0
1171,312345208,7172,Inactive,0
1172,312345209,6018,Inactive,0
1173,312345210,11289942,Inactive,0
1174,312345211,71077,Inactive,0
1175,312345212,688272,Inactive,0
1178,312345215,11957691,Inactive,0
1179,312345216,197067,Inactive,0
118,312344155,17882,Inactive,0
1181,312345218,5335,Inactive,0
1182,312345219,11236,Inactive,0
1183,312345220,4336830,Inactive,0
1184,312345221,39859,Inactive,0
1185,312345222,11957693,Inactive,0
1186,312345223,56801,Inactive,0
1187,312345224,68727,Inactive,0
1189,312345226,23670359,Inactive,0
119,312344156,69398,Inactive,0
1191,312345228,135742144,Inactive,0
1192,312345229,11957694,Inactive,0
1193,312345230,11957695,Inactive,0
1194,312345231,68635,Inactive,0
1195,312345232,11957696,Inactive,0
1196,312345233,5329098,Inactive,0
1198,312345235,6758,Inactive,0
1199,312345236,9796720,Inactive,0
120,312344157,1727,Inactive,0
1200,312345237,114869,Inactive,0
1201,312345238,5472495,Inactive,0
1202,312345239,5702250,Inactive,0
1203,312345240,2130404,Inactive,0
1204,312345241,4389,Inactive,0
1205,312345242,197690,Inactive,0
1206,312345243,11957698,Inactive,0
1208,312345245,9899402,Inactive,0
1209,312345246,135398579,Inactive,0
121,312344158,51763,Inactive,0
1210,312345247,5702214,Inactive,0
1211,312345248,66007,Inactive,0
1212,312345249,441334,Inactive,0
1213,312345250,2051,Inactive,0
1214,312345251,46945860,Inactive,0
1215,312345252,6112,Inactive,0
1216,312345253,5702129,Inactive,0
1217,312345254,11957700,Inactive,0
1218,312345255,121930,Inactive,0
1219,312345256,2159,Inactive,0
122,312344159,2154,Inactive,0
1220,312345257,1123,Inactive,0
1221,312345258,11957702,Inactive,0
1222,312345259,66449,Inactive,0
1223,312345260,10648,Inactive,0
1224,312345261,71311950,Inactive,0
1225,312345262,3132,Inactive,0
1226,312345263,5328804,Inactive,0
1227,312345264,11315337,Inactive,0
1228,312345265,5268,Inactive,0
1229,312345266,11957703,Inactive,0
123,312344160,9444,Inactive,0
1230,312345267,10336538,Inactive,0
1231,312345268,5310987,Inactive,0
1232,312345269,66069,Inactive,0
1234,312345271,5329255,Inactive,0
1235,312345272,5702285,Inactive,0
1236,312345273,2063,Inactive,0
1237,312345274,6917797,Inactive,0
1238,312345275,6419304,Inactive,0
1239,312345276,11957705,Inactive,0
