PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,144210199,16682746,Active,100
2,251919755,12540,Active,98
3,170465087,387447,Active,85
4,170465615,9577124,Active,84
5,144208824,15096,Active,83
6,170465330,16051941,Active,82
7,170465183,51082,Active,79
8,144210899,6167,Active,79
9,170465590,11969781,Active,79
10,144212112,16683072,Active,78
11,144213707,16682834,Active,76
12,170465137,60699,Active,75
13,144211722,17701,Active,75
14,170464977,5388983,Active,75
15,170464627,636362,Active,73
16,170464814,5746,Active,73
17,170465176,45006154,Active,71
18,144213657,60196435,Active,71
19,144209196,1318,Active,71
20,144209681,443939,Active,71
21,170464688,126941,Active,70
22,144207253,6537495,Active,70
23,144208357,62770,Active,70
24,144209427,24633,Active,70
26,144212248,31315,Active,69
27,170465822,11296583,Active,69
28,144211088,11402127,Active,68
29,144212799,16682953,Active,68
30,144207711,197873,Active,68
31,170465129,60749,Active,67
32,170465141,34632,Active,65
33,170466798,8269,Active,65
34,144207986,2723598,Active,65
36,170464742,60871,Active,64
37,144210944,169371,Active,64
38,144210913,20279,Active,64
40,144210553,9909677,Active,63
41,170465145,119182,Active,62
42,170466523,9849425,Active,62
43,170465670,443101,Active,62
44,170466776,24466,Active,62
45,251919785,90004,Active,62
46,170466763,73828,Active,61
47,144210937,1345,Active,60
48,144210883,33528,Active,60
49,144212724,82146,Active,60
51,144208356,6197,Active,60
52,170465798,165457,Active,59
53,170464824,74990,Active,59
55,170464919,148124,Active,58
56,170465338,5486830,Active,58
57,144213826,25015677,Active,58
58,170466330,9983292,Active,57
59,251919891,17201,Active,57
60,170465247,5790,Active,56
61,144208826,12348,Active,56
62,144206382,92942,Active,55
63,144212468,8507,Active,55
64,144209430,6868,Active,55
65,144209505,24502,Active,55
66,170464859,5281078,Active,54
67,144211901,76716,Active,54
68,144209533,3385,Active,54
69,170466304,119369,Active,54
70,170464852,3955,Active,53
71,144212288,6253,Active,53
72,170465182,446541,Active,52
73,170465833,2577,Active,52
74,144206820,10133071,Active,52
76,144210806,6252,Active,52
77,144210720,93118,Active,52
78,144207224,154914,Active,52
79,144208215,232446,Active,52
80,170464807,2812,Active,51
81,170464753,64927,Active,51
82,144212518,5284558,Active,51
83,144212132,25051,Active,51
84,170465559,4764,Active,50
85,170466031,192197,Active,50
86,144206329,92140,Active,50
87,170465840,4177,Active,50
88,144212033,604152,Active,50
89,144209326,81259,Active,50
90,144209401,35370,Active,50
91,144209605,448537,Active,50
92,170465109,23663992,Active,49
94,144209032,4993,Active,49
100,144213030,657220,Active,48
102,144207264,21694,Active,48
103,144208665,73864,Active,48
104,144208723,12232,Active,48
105,144209225,27465,Active,48
96,170465661,4622,Active,48
97,170464803,3054,Active,48
98,170464727,460612,Active,48
107,170466327,15797,Active,47
108,170464764,657237,Active,47
111,144211747,1474,Active,47
112,144213666,10068207,Active,47
113,144208489,5991,Active,47
114,144208846,31362,Active,47
116,144210196,18815,Active,47
117,170464796,60196364,Active,47
118,251919835,623849,Active,47
121,170465599,104850,Active,46
122,170464674,60164,Active,46
123,170465340,65628,Active,46
124,144206386,60977,Active,46
125,144206399,46783063,Active,46
126,170466146,124225,Active,46
127,144210565,60196405,Active,46
128,144213493,18529,Active,46
129,144208165,37542,Active,46
130,144208324,135436526,Active,46
132,144209433,441140,Active,46
133,144209522,62530,Active,46
134,251919757,9936739,Active,46
136,170465157,8814,Active,45
137,170464911,6256,Active,45
138,170465300,6918303,Active,45
139,170465884,4963,Active,45
140,170465211,13765,Active,45
141,144206872,26391,Active,45
142,170466708,5805243,Active,45
143,144210559,9849616,Active,45
146,144212252,117746,Active,45
148,170465873,2448,Active,44
150,170465861,18343,Active,44
151,170465929,5489012,Active,44
152,144210948,11723708,Active,44
153,251919721,11159021,Active,44
154,170465849,65947,Active,43
155,170465984,5284486,Active,43
156,170466835,6918454,Active,43
157,144210441,12902,Active,43
158,144210514,26177,Active,43
159,144211251,249494,Active,43
160,144211966,85335,Active,43
161,144213274,3347,Active,43
162,144207926,13436,Active,43
163,144208588,2708,Active,43
164,251919684,6572,Active,43
165,170465680,1549517,Active,42
166,170465842,71413,Active,42
167,144210603,6629,Active,42
168,144210438,8369,Active,42
169,144210577,60196410,Active,42
170,144210841,75516,Active,42
171,144212716,47936,Active,42
172,144212276,170530,Active,42
173,144207950,12036651,Active,42
174,144208370,135464373,Active,42
175,144208850,8342,Active,42
176,144209838,16211849,Active,42
177,144212536,32872,Active,41
178,144212263,6435993,Active,41
179,144211962,6321405,Active,41
180,144212883,62539,Active,41
181,144213734,6440554,Active,41
182,144207866,7586,Active,41
183,144208199,11247,Active,41
184,144208407,53665,Active,41
185,144208738,28777,Active,41
186,144208775,7969,Active,41
187,144209026,707035,Active,41
188,144209848,2734179,Active,41
189,144212198,42745,Active,40
190,144212906,526624,Active,40
191,144207213,18170,Active,40
192,144207475,14090,Active,40
193,144207603,10452,Active,40
194,144209106,11860,Active,40
195,144209717,3552,Active,40
196,144209897,21917397,Active,40
197,170465865,4904,Inconclusive,30
198,170464744,180559,Inconclusive,30
199,170464692,1986,Inconclusive,30
200,170464758,11065,Inconclusive,30
202,170466443,60839,Inconclusive,30
203,170464669,63002,Inconclusive,30
204,170465398,6172,Inconclusive,30
205,170464846,4909,Inconclusive,30
206,170466554,5074,Inconclusive,30
207,170465510,2206,Inconclusive,30
208,170464797,11957635,Inconclusive,30
209,170464843,2391,Inconclusive,30
210,170465280,3055,Inconclusive,30
211,170465797,83201,Inconclusive,30
212,170465581,91610,Inconclusive,30
213,170465932,72276,Inconclusive,30
214,170465362,667476,Inconclusive,30
215,170465515,2406,Inconclusive,30
216,170464805,207841,Inconclusive,30
217,170466040,71651,Inconclusive,30
218,170464820,18283,Inconclusive,30
220,170465791,3689,Inconclusive,30
221,170466810,12901,Inconclusive,30
222,144214019,6010,Inconclusive,30
223,170465027,9782,Inconclusive,30
224,170465475,3037,Inconclusive,30
225,170464719,22571,Inconclusive,30
226,170465017,5935,Inconclusive,30
227,170466165,2122,Inconclusive,30
228,144214026,5453,Inconclusive,30
229,170466436,9568512,Inconclusive,30
230,170464696,12947,Inconclusive,30
231,170466556,443375,Inconclusive,30
232,170466323,5360232,Inconclusive,30
233,170466192,42725,Inconclusive,30
234,170466293,10944,Inconclusive,30
235,170466368,36663,Inconclusive,30
236,170465565,11850,Inconclusive,30
237,170465588,985,Inconclusive,30
238,170465936,5902,Inconclusive,30
239,170465783,34001,Inconclusive,30
240,170465882,4410,Inconclusive,30
241,170465970,2898,Inconclusive,30
242,170464962,3730,Inconclusive,30
243,170465126,451668,Inconclusive,30
244,170466843,16682738,Inconclusive,30
245,170464933,9270,Inconclusive,30
247,170465927,8520,Inconclusive,30
248,170464822,5311309,Inconclusive,30
249,170465119,6918132,Inconclusive,30
250,170465999,5284629,Inconclusive,30
251,170465315,6839,Inconclusive,30
252,170465104,9051,Inconclusive,30
253,170464835,5995,Inconclusive,30
254,170465642,6419941,Inconclusive,30
255,170464683,6230,Inconclusive,30
256,170465628,224246,Inconclusive,30
257,170465693,9985,Inconclusive,30
258,170465883,108143,Inconclusive,30
259,170465716,66826,Inconclusive,30
260,144206325,14708,Inconclusive,30
261,144206328,54158,Inconclusive,30
262,170465824,168884,Inconclusive,30
263,144206484,3307,Inconclusive,30
264,170465904,60196342,Inconclusive,30
265,144206486,3395,Inconclusive,30
266,170465324,92151,Inconclusive,30
267,144206835,23684123,Inconclusive,30
268,170466005,65280,Inconclusive,30
269,170464647,131204,Inconclusive,30
270,170466060,2006,Inconclusive,30
271,144207198,135400182,Inconclusive,30
272,144214025,29249,Inconclusive,30
273,170465421,4723,Inconclusive,30
274,144206438,5492898,Inconclusive,30
275,170466234,40399,Inconclusive,30
276,170465788,5356,Inconclusive,30
277,170465905,101905,Inconclusive,30
278,170466768,83064,Inconclusive,30
279,170466416,177236,Inconclusive,30
280,170466764,2733673,Inconclusive,30
281,170466152,54685524,Inconclusive,30
282,170466709,104610,Inconclusive,30
283,170466221,50222,Inconclusive,30
284,144210357,7497,Inconclusive,30
285,144210409,25059,Inconclusive,30
287,144210444,311,Inconclusive,30
288,144210351,8076,Inconclusive,30
289,144210419,8033,Inconclusive,30
290,144210518,66166,Inconclusive,30
291,144210567,9872438,Inconclusive,30
