PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,144213813,22456,Active,59
2,144207253,6537495,Active,57
3,144209579,9153,Active,54
4,170466763,73828,Active,54
5,144210136,44368,Active,54
10,144208126,41478,Active,53
11,144209930,9117,Active,53
12,144210121,68226,Active,53
6,144210111,95717,Active,53
7,170466895,46861540,Active,53
8,144207908,2336,Active,53
9,144212387,31298,Active,53
13,144209798,16682804,Active,52
14,144209427,24633,Active,52
15,144212321,16683023,Active,51
16,144211088,11402127,Active,51
17,144210527,9799979,Active,50
18,144213197,7347,Active,50
20,144209978,472181,Active,49
22,144210703,2374,Active,48
23,144212084,6610,Active,48
24,144213892,5889,Active,47
25,144212558,9786,Active,46
26,144211071,6327657,Active,46
27,144209003,6001,Active,46
28,144213707,16682834,Active,46
29,144210158,28308,Active,46
31,144210595,2723601,Active,46
32,144208064,73773,Active,45
33,144213129,517546,Active,45
34,144206840,65953,Active,45
35,170466119,219050,Active,45
37,144210156,74062,Active,44
38,170465615,9577124,Active,44
39,170465580,5311217,Active,44
40,144210965,65067,Active,43
41,144208922,9128,Active,43
42,144212493,16684434,Active,43
43,144211195,7511,Active,43
44,170465003,5362123,Active,43
45,170466326,71768,Active,43
46,144212390,14385,Active,43
47,144214002,7594,Active,43
48,144211830,82056,Active,43
49,170465856,5265,Active,43
50,170466239,160157,Active,43
51,170466454,68186,Active,43
52,144214004,171660,Active,42
53,144213338,8371,Active,42
54,144207661,159747,Active,42
56,144212488,4534,Active,42
57,144208314,969516,Active,42
58,170465372,5282375,Active,42
59,144209790,1674,Active,42
60,144212349,7392,Active,41
61,144210334,8418,Active,41
62,144212012,75494,Active,41
63,144209033,9154,Active,41
65,144212518,5284558,Active,41
66,144213881,129491,Active,41
67,144211375,22772,Active,41
68,144211854,79633,Active,41
70,144211956,118379,Active,41
71,144211589,66573,Active,41
72,144207684,62130,Active,41
73,144211995,62411,Active,41
74,144212397,8272,Active,41
75,144209574,12472902,Active,41
76,144209258,5954,Active,41
77,170466653,60561,Active,41
78,144210041,79358,Active,41
79,170464666,441336,Active,41
80,144209295,5280373,Active,40
81,144213166,7142,Active,40
82,144211994,243274,Active,40
83,144210646,3293,Active,40
100,144210575,60196408,Inconclusive,30
102,144210534,18173271,Inconclusive,30
103,144211389,30692,Inconclusive,30
104,144208080,5354284,Inconclusive,30
105,144209108,8722,Inconclusive,30
106,144211461,213032,Inconclusive,30
108,144207461,26633,Inconclusive,30
109,144213252,8051,Inconclusive,30
110,144208125,9609,Inconclusive,30
111,144211877,4578030,Inconclusive,30
112,170465643,4621,Inconclusive,30
113,170465182,446541,Inconclusive,30
114,144209348,62630,Inconclusive,30
115,144207527,11080,Inconclusive,30
116,144211972,671,Inconclusive,30
117,144208765,11937,Inconclusive,30
118,144213493,18529,Inconclusive,30
119,144212333,11192,Inconclusive,30
120,144212693,61080,Inconclusive,30
121,144213868,7298,Inconclusive,30
122,144208216,65340,Inconclusive,30
123,144207510,6537506,Inconclusive,30
124,170466403,259331,Inconclusive,30
125,144207489,2788,Inconclusive,30
126,170466458,135400471,Inconclusive,30
127,144210160,82703,Inconclusive,30
128,144209515,289,Inconclusive,30
129,170465072,6135,Inconclusive,30
130,144211066,4477,Inconclusive,30
131,170464873,65999,Inconclusive,30
132,170465746,10215,Inconclusive,30
133,144210380,4947,Inconclusive,30
134,170465903,676166,Inconclusive,30
135,170465125,208908,Inconclusive,30
137,144214013,15008,Inconclusive,30
138,144212741,20906,Inconclusive,30
140,144209885,11254899,Inconclusive,30
141,144211496,73665,Inconclusive,30
142,170466594,3083802,Inconclusive,30
144,170466408,55483,Inconclusive,30
146,144211896,91778,Inconclusive,30
147,144213865,56069,Inconclusive,30
148,144211882,19402,Inconclusive,30
149,144209640,14868,Inconclusive,30
150,144211795,79688,Inconclusive,30
151,170466601,31475,Inconclusive,30
153,144212827,121639,Inconclusive,30
154,144213504,7421,Inconclusive,30
155,170466680,75421,Inconclusive,30
156,170465050,36811,Inconclusive,30
157,170465777,6917773,Inconclusive,30
158,170464671,5381,Inconclusive,30
160,144212596,8594,Inconclusive,30
162,170465699,3109,Inconclusive,30
163,144207919,9158,Inconclusive,30
164,170466071,38072,Inconclusive,30
165,144208987,7050,Inconclusive,30
167,144211851,6867,Inconclusive,30
168,144209219,5546,Inconclusive,30
169,144211857,33786,Inconclusive,30
171,144210161,14586,Inconclusive,30
172,144207986,2723598,Inconclusive,30
173,144211385,60196415,Inconclusive,30
174,144211232,5280567,Inconclusive,30
176,144209666,174223,Inconclusive,30
177,144212253,6850780,Inconclusive,30
178,144207594,71833,Inconclusive,30
179,144210944,169371,Inconclusive,30
180,170464694,3108,Inconclusive,30
182,144210934,21387,Inconclusive,30
184,144207230,5281707,Inconclusive,30
186,170465864,5480,Inconclusive,30
84,144207436,7062,Inconclusive,30
85,144209126,15106,Inconclusive,30
87,144209557,7111,Inconclusive,30
88,144209789,667490,Inconclusive,30
89,144210709,560256,Inconclusive,30
90,144210712,67542,Inconclusive,30
91,144210977,6740,Inconclusive,30
92,144211757,222786,Inconclusive,30
93,144211849,3957,Inconclusive,30
94,144211934,75821,Inconclusive,30
95,170464661,785,Inconclusive,30
97,170466020,2176,Inconclusive,30
98,170466167,2453,Inconclusive,30
99,144209673,3776,Inconclusive,30
187,170465609,176167,Inconclusive,20
188,170464681,74989,Inconclusive,20
189,170466792,50491,Inconclusive,20
190,144211263,86287521,Inconclusive,20
191,170465248,130313,Inconclusive,20
192,144209417,4764,Inconclusive,20
193,170465296,23675786,Inconclusive,20
194,144213980,6051,Inconclusive,20
195,144212541,13783,Inconclusive,20
196,170466897,135565635,Inconclusive,20
197,144210199,16682746,Inconclusive,20
198,144211871,10234,Inconclusive,20
199,144209185,8607,Inconclusive,20
200,144208503,2771871,Inconclusive,20
201,144208178,11990,Inconclusive,20
202,144212926,62351,Inconclusive,20
203,170466396,123015,Inconclusive,20
204,144207471,7737,Inconclusive,20
205,144209363,83511,Inconclusive,20
206,144207869,20250,Inconclusive,20
207,144208795,235227,Inconclusive,20
208,144207286,20750,Inconclusive,10
209,144207314,16682740,Inconclusive,10
210,144208495,11742,Inconclusive,10
211,144209154,6,Inconclusive,10
212,144209647,7954,Inconclusive,10
213,144210668,7820,Inconclusive,10
214,144212191,47445,Inconclusive,10
215,144212906,526624,Inconclusive,10
216,144213329,10722,Inconclusive,10
217,144213843,517000,Inconclusive,10
218,144213906,60196441,Inconclusive,10
219,170465696,60196268,Inconclusive,10
220,144209731,60934,Inconclusive,10
221,144208953,5934,Inconclusive,10
222,144210042,104677,Inconclusive,10
223,170466067,31280,Inconclusive,10
224,170465148,23663400,Inconclusive,10
225,170464787,11057,Inconclusive,10
226,144208906,9074,Inconclusive,10
227,144210004,23702994,Inconclusive,10
229,144210620,7340,Inconclusive,10
230,170466271,65894,Inconclusive,10
231,170465253,23704143,Inconclusive,10
232,144207792,53316407,Inconclusive,10
233,170465289,60196290,Inconclusive,10
234,170466074,5709754,Inconclusive,10
235,144207970,5284459,Inconclusive,10
236,144207955,6053,Inconclusive,10
237,144208384,320930,Inconclusive,10
238,144207794,10250129,Inconclusive,10
239,144213834,27423,Inconclusive,10
240,144213825,86287525,Inconclusive,10
241,144209662,18480,Inconclusive,10
242,144209422,7070,Inconclusive,10
243,144208357,62770,Inconclusive,10
244,144207269,5281034,Inconclusive,10
245,144208538,7231,Inconclusive,10
246,144209734,108005,Inconclusive,10
247,144212847,94398,Inconclusive,10
248,144207601,533728,Inconclusive,10
249,144207793,2734227,Inconclusive,10
250,144209351,8691,Inconclusive,10
251,144210184,1923,Inconclusive,10
252,144208907,17038,Inconclusive,10
253,144209477,6478,Inconclusive,10
255,144208434,10788,Inconclusive,10
256,144208447,12955,Inconclusive,10
257,144208820,9275,Inconclusive,10
258,144206517,9938056,Inconclusive,5
259,144207291,5282379,Inconclusive,5
260,144207298,16741,Inconclusive,5
261,144207299,2734247,Inconclusive,5
262,144207377,12989,Inconclusive,5
263,144207488,5993,Inconclusive,5
264,144207537,11852,Inconclusive,5
265,144207550,6264,Inconclusive,5
266,144207569,7589,Inconclusive,5
267,144207617,31204,Inconclusive,5
268,144207636,8155,Inconclusive,5
269,144207724,12372,Inconclusive,5
270,144207733,8256,Inconclusive,5
271,144207755,6619,Inconclusive,5
272,144207801,16211009,Inconclusive,5
273,144207815,7490,Inconclusive,5
274,144207915,12040508,Inconclusive,5
275,144207925,7097,Inconclusive,5
276,144208019,11921,Inconclusive,5
277,144208088,13101,Inconclusive,5
278,144208097,69026,Inconclusive,5
279,144208102,17231,Inconclusive,5
280,144208103,6409,Inconclusive,5
281,144208119,64142,Inconclusive,5
282,144208149,95116,Inconclusive,5
283,144208203,638015,Inconclusive,5
284,144208286,19996,Inconclusive,5
285,144208300,3278,Inconclusive,5
286,144208416,650,Inconclusive,5
287,144208432,28780,Inconclusive,5
288,144208563,2724189,Inconclusive,5
289,144208630,40585,Inconclusive,5
290,144208657,33528,Inconclusive,5
291,144208729,47326,Inconclusive,5
292,144208747,8816,Inconclusive,5
293,144208767,5455,Inconclusive,5
294,144208777,7076,Inconclusive,5
295,144208899,8113,Inconclusive,5
296,144209005,8314,Inconclusive,5
297,144209109,3589,Inconclusive,5
298,144209222,19042,Inconclusive,5
299,144209244,4936,Inconclusive,5
300,144209307,8362,Inconclusive,5
301,144209312,11776,Inconclusive,5
302,144209357,11883,Inconclusive,5
303,144209358,39676,Inconclusive,5
305,144209528,444795,Inconclusive,5
306,144209559,11289,Inconclusive,5
307,144209589,7455,Inconclusive,5
308,144209605,448537,Inconclusive,5
309,144209614,7031,Inconclusive,5
310,144209634,7232,Inconclusive,5
311,144209636,15787,Inconclusive,5
312,144209677,177,Inconclusive,5
313,144209704,8021,Inconclusive,5
314,144209787,26710,Inconclusive,5
315,144209828,23160059,Inconclusive,5
316,144209914,8001,Inconclusive,5
317,144209967,61225,Inconclusive,5
318,144210098,16719,Inconclusive,5
319,144210157,78490,Inconclusive,5
320,144210191,28803,Inconclusive,5
322,144210448,19658,Inconclusive,5
323,144210553,9909677,Inconclusive,5
324,144210568,60196406,Inconclusive,5
325,144210637,2478,Inconclusive,5
326,144210672,79,Inconclusive,5
327,144210797,11813,Inconclusive,5
328,144210803,11006,Inconclusive,5
331,144210919,4509,Inconclusive,5
332,144210935,10229,Inconclusive,5
333,144210970,3033865,Inconclusive,5
334,144211034,76748,Inconclusive,5
335,144211060,14994,Inconclusive,5
336,144211089,8606,Inconclusive,5
339,144211170,5974,Inconclusive,5
340,144211225,20708,Inconclusive,5
341,144211273,7980,Inconclusive,5
342,144211277,14145,Inconclusive,5
343,144211361,62829,Inconclusive,5
344,144211559,87323,Inconclusive,5
345,144211588,3036974,Inconclusive,5
346,144211653,10303,Inconclusive,5
347,144211753,6024631,Inconclusive,5
348,144212000,15284,Inconclusive,5
349,144212404,6099,Inconclusive,5
350,144212562,61059,Inconclusive,5
351,144212650,169870,Inconclusive,5
352,144212682,4499,Inconclusive,5
353,144212716,47936,Inconclusive,5
354,144212718,5284627,Inconclusive,5
355,144212951,4047281,Inconclusive,5
356,144213092,3690,Inconclusive,5
358,144213251,7220,Inconclusive,5
359,144213353,4931,Inconclusive,5
360,144213366,8749,Inconclusive,5
362,144213472,9740,Inconclusive,5
363,144213485,25644,Inconclusive,5
364,144213522,26041,Inconclusive,5
367,144213625,12736,Inconclusive,5
368,144213683,5358159,Inconclusive,5
369,144213734,6440554,Inconclusive,5
370,144213769,8205,Inconclusive,5
371,144213939,3321360,Inconclusive,5
372,170464767,3117,Inconclusive,5
374,170465036,60196260,Inconclusive,5
375,170465084,2722,Inconclusive,5
376,170465333,9588170,Inconclusive,5
377,170465350,5883,Inconclusive,5
378,170465794,4066,Inconclusive,5
379,170465822,11296583,Inconclusive,5
380,170465850,71137,Inconclusive,5
381,170465892,91771,Inconclusive,5
382,170466126,23705,Inconclusive,5
383,170466192,42725,Inconclusive,5
384,170466265,59757,Inconclusive,5
385,144211104,22833503,Inconclusive,5
386,144209910,60196397,Inconclusive,5
387,144211262,9959038,Inconclusive,5
388,144212057,3005572,Inconclusive,5
389,144208220,7308,Inconclusive,5
390,144210857,2733526,Inconclusive,5
391,144210733,2812,Inconclusive,5
392,144212724,82146,Inconclusive,5
393,144207582,2406,Inconclusive,5
395,144208141,449459,Inconclusive,5
396,144209268,2733525,Inconclusive,5
397,144211901,76716,Inconclusive,5
398,144212112,16683072,Inconclusive,5
399,144208548,3598,Inconclusive,5
400,144208790,299,Inconclusive,5
401,144211305,8268,Inconclusive,5
402,170465652,12629,Inconclusive,5
403,144211183,91699,Inconclusive,5
404,144209705,6537502,Inconclusive,5
405,144209811,16217238,Inconclusive,5
406,144213240,8398,Inconclusive,5
407,144208159,7329,Inconclusive,5
410,144211763,14842,Inconclusive,5
411,144209686,8478,Inconclusive,5
412,144207947,6815,Inconclusive,5
414,144211841,10346,Inconclusive,5
415,144209989,22882,Inconclusive,5
416,144212286,5284486,Inconclusive,5
417,144209825,2775940,Inconclusive,5
418,144209326,81259,Inconclusive,5
420,144210903,60196414,Inconclusive,5
421,144212593,21859,Inconclusive,5
422,144209768,8755,Inconclusive,5
423,144207757,102724,Inconclusive,5
424,144212173,15583,Inconclusive,5
425,144209836,53316406,Inconclusive,5
426,144211853,75444,Inconclusive,5
427,144214040,5564,Inconclusive,5
428,144210861,15096,Inconclusive,5
430,144214025,29249,Inconclusive,5
431,144207798,2734231,Inconclusive,5
432,144212515,21218,Inconclusive,5
433,144212382,8753,Inconclusive,5
434,144210727,16682828,Inconclusive,5
435,144207746,586708,Inconclusive,5
436,144212192,60974,Inconclusive,5
437,144209856,60196379,Inconclusive,5
438,144207895,11375816,Inconclusive,5
439,170465064,208898,Inconclusive,5
440,144209999,66062,Inconclusive,5
441,144210636,76013,Inconclusive,5
442,144210915,23558,Inconclusive,5
443,144209858,2734229,Inconclusive,5
444,170466521,5354,Inconclusive,5
445,144207417,10866,Inconclusive,5
446,144213703,68589,Inconclusive,5
447,170466197,33630,Inconclusive,5
448,144208226,2734117,Inconclusive,5
449,144212150,31202,Inconclusive,5
450,144210410,8455,Inconclusive,5
451,144209719,2724411,Inconclusive,5
452,144212283,82161,Inconclusive,5
453,144212019,458426,Inconclusive,5
454,144212680,9562059,Inconclusive,5
455,144207438,10474,Inconclusive,5
456,144212616,62418,Inconclusive,5
457,144210770,9810771,Inconclusive,5
458,144213972,8814,Inconclusive,5
459,144207302,6537493,Inconclusive,5
460,144209846,60196375,Inconclusive,5
461,144212639,299728,Inconclusive,5
462,144208110,5284469,Inconclusive,5
463,144207326,5364713,Inconclusive,5
464,144212799,16682953,Inconclusive,5
465,144213861,9889168,Inconclusive,5
467,170465729,3607,Inconclusive,5
468,144211562,119193,Inconclusive,5
469,144211556,62379,Inconclusive,5
470,144209845,18506491,Inconclusive,5
473,144213674,6928,Inconclusive,5
474,144212925,18669,Inconclusive,5
475,144207774,3015167,Inconclusive,5
476,144211903,16362,Inconclusive,5
477,144207293,2247,Inconclusive,5
478,144212384,14250,Inconclusive,5
480,144207759,8633,Inconclusive,5
481,144213228,27465,Inconclusive,5
482,144208007,16218822,Inconclusive,5
484,170466240,102678,Inconclusive,5
486,144208540,23673837,Inconclusive,5
487,144213676,171144,Inconclusive,5
488,144209162,2662,Inconclusive,5
489,144209563,3224,Inconclusive,5
490,144211912,181518,Inconclusive,5
491,144208726,338733,Inconclusive,5
492,144212231,22094,Inconclusive,5
493,144210592,61253,Inconclusive,5
494,144210492,24860538,Inconclusive,5
495,144210790,11477651,Inconclusive,5
498,144208494,6294,Inconclusive,5
499,144208627,3037,Inconclusive,5
500,170466307,3396,Inconclusive,5
501,144213121,4211,Inconclusive,5
502,144210183,8425,Inconclusive,5
503,144211179,15910,Inconclusive,5
504,144212696,62253,Inconclusive,5
505,144212190,3899,Inconclusive,5
508,144213755,9552079,Inconclusive,5
509,144208186,20167,Inconclusive,5
511,144212381,83648,Inconclusive,5
512,144210574,60196407,Inconclusive,5
513,144213796,14425,Inconclusive,5
514,144207857,22833294,Inconclusive,5
515,144213959,63062,Inconclusive,5
516,144211910,24750,Inconclusive,5
517,144211567,70811,Inconclusive,5
518,144207779,22678982,Inconclusive,5
521,144207948,16212610,Inconclusive,5
522,144213478,5281875,Inconclusive,5
523,144211613,31239,Inconclusive,5
529,144209036,3347,Inconclusive,5
530,144209457,5284416,Inconclusive,5
531,144212317,15337,Inconclusive,5
532,144211011,34469,Inconclusive,5
534,144209522,62530,Inconclusive,5
535,170465171,11224,Inconclusive,5
537,144209883,11074101,Inconclusive,5
538,144213348,8342,Inconclusive,5
539,144209740,5284468,Inconclusive,5
540,144212519,2540,Inconclusive,5
542,170465226,9556529,Inconclusive,5
543,144208467,7565,Inconclusive,5
544,144213110,107377,Inconclusive,5
545,144209297,82343,Inconclusive,5
546,144211337,66030,Inconclusive,5
547,144210587,456201,Inconclusive,5
549,144206452,11969480,Inconclusive,5
550,144209722,409301,Inconclusive,5
551,144210762,9861124,Inconclusive,5
552,144210569,9801235,Inconclusive,5
553,170465598,5405,Inconclusive,5
554,144212701,23673604,Inconclusive,5
555,170465336,156418,Inconclusive,5
556,144211551,12942137,Inconclusive,5
557,144212212,20936,Inconclusive,5
558,144209827,46226173,Inconclusive,5
559,170466887,135409453,Inconclusive,5
560,144213776,67271,Inconclusive,5
561,144212722,18771,Inconclusive,5
562,144213741,14642,Inconclusive,5
563,144210556,60196404,Inconclusive,5
565,170465514,16682935,Inconclusive,5
566,144208749,37175,Inconclusive,5
567,144210807,17520,Inconclusive,5
569,144209518,7311,Inconclusive,5
570,144209439,16682730,Inconclusive,5
571,144209369,5280450,Inconclusive,5
572,170464951,2800,Inconclusive,5
573,144213768,14138,Inconclusive,5
574,170465995,3191,Inconclusive,5
575,144209785,221511,Inconclusive,5
576,144207235,15439,Inconclusive,5
577,170464708,38911,Inconclusive,5
578,144213006,9571016,Inconclusive,5
580,144213556,13286,Inconclusive,5
581,144207766,20353,Inconclusive,5
