PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
2754,144206307,5280757,Active,100
7246,144210799,7547,Active,96
2496,144206049,164877,Active,95
8169,144211722,17701,Active,91
2373,144205926,5709754,Active,90
10263,144213816,16850,Active,89
209,144203760,4477,Active,89
6646,144210199,16682746,Active,88
8343,144211896,91778,Active,87
8300,144211853,75444,Active,86
5407,144208960,11057,Active,85
9188,144212741,20906,Active,84
5271,144208824,15096,Active,83
7174,144210727,16682828,Active,83
10333,144213886,11292,Active,82
6245,144209798,16682804,Active,81
8830,144212383,2603,Active,81
7447,144211000,31420,Active,80
7755,144211308,7693,Active,80
8837,144212390,14385,Active,80
1753,144205306,135430323,Active,79
7186,144210739,6950,Active,79
7518,144211071,6327657,Active,79
8311,144211864,439501,Active,79
1337,144204890,443101,Active,78
4370,144207923,3378440,Active,78
6166,144209719,2724411,Active,78
3093,144206646,12449,Active,77
6435,144209988,12447,Active,77
7858,144211411,93379,Active,77
8507,144212060,93098,Active,77
8514,144212067,69765,Active,77
10154,144213707,16682834,Active,76
2720,144206273,10578,Active,76
3068,144206621,9719,Active,76
4673,144208226,2734117,Active,76
4221,144207774,3015167,Active,75
6258,144209811,16217238,Active,75
6436,144209989,22882,Active,75
9005,144212558,9786,Active,75
4029,144207582,2406,Active,74
4342,144207895,11375816,Active,74
4395,144207948,16212610,Active,74
8228,144211781,67277,Active,74
8559,144212112,16683072,Active,74
9505,144213058,3598,Active,74
4625,144208178,11990,Active,73
6545,144210098,16719,Active,73
8981,144212534,53249535,Active,73
9033,144212586,441207,Active,73
4517,144208070,8540,Active,72
4871,144208424,41684,Active,72
6243,144209796,23892,Active,72
7013,144210566,53316382,Active,72
8329,144211882,19402,Active,72
9987,144213540,14868,Active,72
1334,144204887,60196278,Active,71
1818,144205371,27448,Active,71
3482,144207035,2543,Active,71
442,144203993,5284613,Active,71
7507,144211060,14994,Active,71
7552,144211105,9862076,Active,71
10121,144213674,6928,Active,70
6567,144210120,10607,Active,70
7710,144211263,86287521,Active,70
1396,144204949,6426773,Active,69
1505,144205058,969516,Active,69
1589,144205142,443831,Active,69
2489,144206042,406563,Active,69
3596,144207149,46780884,Active,69
4158,144207711,197873,Active,69
5237,144208790,299,Active,69
10125,144213678,5280863,Active,68
1389,144204942,2799,Active,68
1543,144205096,73357,Active,68
1962,144205515,19646,Active,68
2231,144205784,50248,Active,68
267,144203818,8515,Active,68
3713,144207266,7595,Active,68
4454,144208007,16218822,Active,68
5166,144208719,8341,Active,68
6259,144209812,11181836,Active,68
6797,144210350,1493,Active,68
7092,144210645,10800,Active,68
9982,144213535,3220,Active,68
10001,144213554,10868,Active,67
1422,144204975,16129778,Active,67
1615,144205168,7814,Active,67
2435,144205988,135403821,Active,67
4542,144208095,98613,Active,67
5156,144208709,8289,Active,67
5174,144208727,8398,Active,67
6357,144209910,60196397,Active,67
7382,144210935,10229,Active,67
8524,144212077,4373502,Active,67
9728,144213281,6702,Active,67
1025,144204576,2724385,Active,66
10477,144214040,5564,Active,66
2354,144205907,9509,Active,66
326,144203877,6708701,Active,66
4606,144208159,7329,Active,66
4675,144208228,403,Active,66
5074,144208627,3037,Active,66
6149,144209702,6731,Active,66
6533,144210086,6528,Active,66
6546,144210099,11796,Active,66
6857,144210410,8455,Active,66
7415,144210968,40087,Active,66
753,144204304,54680693,Active,66
2408,144205961,42574,Active,65
3993,144207546,12456,Active,65
3997,144207550,6264,Active,65
4324,144207877,9483,Active,65
4667,144208220,7308,Active,65
4867,144208420,13514,Active,65
5654,144209207,9889168,Active,65
8065,144211618,6872,Active,65
1964,144205517,33334,Active,64
230,144203781,4992,Active,64
2371,144205924,9849425,Active,64
2809,144206362,1013376,Active,64
5953,144209506,5280343,Active,64
6249,144209802,104741,Active,64
6330,144209883,11074101,Active,64
9648,144213201,5280443,Active,64
1870,144205423,5284580,Active,63
1896,144205449,31475,Active,63
3711,144207264,21694,Active,63
5399,144208952,7729,Active,63
5969,144209522,62530,Active,63
6630,144210183,8425,Active,63
7395,144210948,11723708,Active,63
8288,144211841,10346,Active,63
10334,144213887,6619,Active,62
10435,144213998,7263,Active,62
1793,144205346,6237,Active,62
2616,144206169,16078,Active,62
3809,144207362,171144,Active,62
41,144203592,2333,Active,62
491,144204042,13764,Active,62
5173,144208726,338733,Active,62
6248,144209801,5035,Active,62
7083,144210636,76013,Active,62
1957,144205510,165457,Active,61
207,144203758,4495,Active,61
2084,144205637,8814,Active,61
2602,144206155,11296583,Active,61
2625,144206178,443946,Active,61
3593,144207146,6450551,Active,61
3984,144207537,11852,Active,61
