PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
19,144212958,223368,Active,100
9,144212135,9403,Active,100
10,144210844,448537,Active,92
17,170465020,5870,Active,92
15,144213030,657220,Active,89
1,170465258,9818306,Active,88
14,144211773,192197,Active,86
13,170464803,3054,Active,85
21,144211921,5756,Active,85
20,170466708,5805243,Active,83
22,170465362,667476,Active,83
24,170465998,17273,Active,83
2,144210731,5991,Active,80
25,170465876,102232,Active,80
4,170465211,13765,Active,80
6,144210608,5757,Active,80
59,144210902,5280961,Active,79
23,144208401,2999413,Active,78
32,170465874,444008,Active,78
26,144208460,68570,Active,76
30,170464933,9270,Active,74
33,170466403,259331,Active,74
31,170465357,6291,Active,73
28,144208351,5281576,Active,72
35,170465909,16141,Active,72
27,144209024,8785,Active,70
43,144213952,5281708,Active,70
39,144207737,25015,Active,67
41,144209253,6978,Active,66
47,144208410,9904,Active,64
45,170465251,25249,Active,63
46,170465905,101905,Active,63
49,144209326,81259,Active,63
36,144212286,5284486,Active,62
40,144212744,6230,Active,62
42,170466364,27812,Active,62
44,144209257,1046,Active,62
48,144209270,24860538,Active,61
51,170465193,229455,Active,61
38,144208490,8413,Active,60
52,170465918,111318,Active,60
55,170465049,54685925,Active,59
62,144213957,10635,Active,59
87,144207230,5281707,Active,59
63,144209218,4650,Active,58
54,170464733,6540478,Active,57
57,170465054,9046,Active,57
58,170465970,2898,Active,57
64,144207756,84677,Active,57
65,170466438,72016,Active,57
70,144210070,13109,Active,57
53,170466095,251636,Active,56
60,170466131,3033968,Active,56
68,170465614,5881,Active,56
61,170466069,6300,Active,54
141,144209295,5280373,Active,53
73,144208665,73864,Active,53
75,144209236,174,Active,53
76,144208161,14709,Active,53
83,144209508,73852,Active,53
89,144213944,8571,Active,53
140,144213201,5280443,Active,51
78,144210948,11723708,Active,51
79,144210973,76302,Active,51
84,144210518,66166,Active,51
93,144207269,5281034,Active,51
100,144208171,17570,Active,50
120,144208689,62783,Active,50
85,170464835,5995,Active,50
124,144209310,7276,Active,49
131,144208215,232446,Active,49
133,144210879,5281,Active,49
143,144209168,86607,Active,49
167,144211565,117640,Active,49
108,144208492,2723650,Active,48
111,144209660,6917,Active,48
112,144208474,8606,Active,48
115,144207746,586708,Active,47
122,144208528,8489,Active,47
139,144208599,17857,Active,47
144,144207748,69150,Active,47
183,144207987,22463,Active,47
211,144211066,4477,Active,47
94,170466182,5284557,Active,47
125,144214049,6623,Active,46
134,144212742,6025,Active,46
156,144210052,4788,Active,46
81,144212165,5280378,Active,46
91,144207752,6620,Active,46
116,144213678,5280863,Active,45
119,251919827,608116,Active,45
162,144207927,7495,Active,45
180,170465711,7180,Active,45
187,144207699,20240,Active,45
197,144213894,87250,Active,45
212,144212341,2361,Active,45
95,144213928,16051930,Active,45
105,144211337,66030,Active,44
109,144213676,171144,Active,44
117,144209883,11074101,Active,44
138,144209574,12472902,Active,44
149,144213110,107377,Active,44
155,144209661,6535,Active,44
168,144213733,14127,Active,44
169,144208361,12111,Active,44
170,144209260,7618,Active,44
195,144207552,6319,Active,44
213,144210547,9882837,Active,44
110,170465157,8814,Active,43
114,144208495,11742,Active,43
132,144209559,11289,Active,43
150,144210893,338733,Active,43
151,144208172,123504,Active,43
161,144208530,7440,Active,43
163,144208483,8572,Active,43
179,144207749,23019,Active,43
181,170465688,7184,Active,43
189,144210635,23284,Active,43
190,144208463,7934,Active,43
194,144208427,14347,Active,43
199,144207738,14138,Active,43
102,144214019,6010,Active,42
148,144209522,62530,Active,42
152,144207667,7112,Active,42
153,144206942,92877,Active,42
178,144208941,6626,Active,42
196,144212894,75282,Active,42
214,144210939,13089,Active,42
97,144210620,7340,Active,42
185,144207747,56638112,Active,41
191,144212467,90571,Active,41
192,144212507,13254,Active,41
193,144212912,75547,Active,41
201,144213741,14642,Active,41
205,144208207,7563,Active,41
206,144213973,7175,Active,41
210,144207740,83050,Active,41
215,170466838,445154,Active,41
216,170466302,2871,Active,41
