PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,144209801,5035,Active,100
2,170465341,54900,Active,99
3,170466793,154256,Active,96
4,170464917,104741,Active,95
7,144211407,91754,Active,92
8,144208141,449459,Active,90
9,144209680,457193,Active,90
11,144209102,6758,Active,89
12,144213959,63062,Active,89
14,144209378,26041,Active,87
17,144211355,86354,Active,84
18,144208767,5455,Active,83
19,144213215,235227,Active,83
20,170465615,9577124,Active,82
21,144207595,3068143,Active,81
22,144210199,16682746,Active,81
23,170465590,11969781,Active,80
25,144207793,2734227,Active,79
26,144211853,75444,Active,79
27,170465705,10219,Active,78
28,144207757,102724,Active,78
29,144213657,60196435,Active,78
30,144207794,10250129,Active,78
32,144209787,26710,Active,78
33,144213707,16682834,Active,78
34,170465956,5284613,Active,77
35,170465087,387447,Active,77
36,170466878,11556711,Active,77
37,170466500,16211385,Active,77
38,144209827,46226173,Active,77
39,144209828,23160059,Active,77
40,144209677,177,Active,77
41,170466074,5709754,Active,77
42,170465184,4477,Active,77
43,144208876,2724385,Active,76
44,144210861,15096,Active,76
45,144207788,12040509,Active,76
46,170466897,135565635,Active,76
47,144207790,11461044,Active,76
49,144209108,8722,Active,76
50,251919761,183559,Active,76
51,170466798,8269,Active,75
52,170466393,31315,Active,75
53,144213954,6197,Active,75
54,170465712,2724411,Active,75
55,170466414,9910986,Active,75
56,144209822,10044526,Active,75
57,144208752,7347,Active,75
60,144212558,9786,Active,75
62,144207791,22239085,Active,74
63,144210448,19658,Active,74
64,144207774,3015167,Active,74
65,251919850,70671,Active,74
66,144209830,16211417,Active,74
67,144212383,2603,Active,74
68,144212112,16683072,Active,74
69,170465883,108143,Active,73
71,144209858,2734229,Active,73
73,144209856,60196379,Active,73
74,144209821,2734225,Active,73
75,144209820,22078297,Active,73
77,170465425,2733525,Active,72
78,170466499,71821,Active,72
79,144207792,53316407,Active,72
81,144211722,17701,Active,72
82,144211556,62379,Active,72
83,144207801,16211009,Active,72
84,144209990,15625,Active,71
85,251919756,5289501,Active,71
86,170465045,444795,Active,71
87,144207536,2391,Active,71
88,144209086,8400,Active,71
89,144208226,2734117,Active,71
90,170464951,2800,Active,71
91,251919880,9888276,Active,71
92,144212192,60974,Active,71
93,251919686,11294,Active,71
96,144208960,11057,Active,71
97,144207326,5364713,Active,71
100,144210756,9935274,Active,70
101,144209207,9889168,Active,70
102,144212057,3005572,Active,70
98,144207291,5282379,Active,70
99,144212450,24773,Active,70
103,170464674,60164,Active,69
104,144212512,449171,Active,69
105,170465137,60699,Active,69
106,170466395,135430323,Active,69
107,170465687,6084,Active,69
108,144209910,60196397,Active,69
109,144208007,16218822,Active,69
110,144209811,16217238,Active,69
111,144212534,53249535,Active,69
112,144207948,16212610,Active,69
113,144207779,22678982,Active,69
115,144209845,18506491,Active,69
116,170465186,5978,Active,68
118,144209790,1674,Active,68
119,170465180,5311,Active,68
120,144208441,2733526,Active,68
121,144211781,67277,Active,68
122,144209812,11181836,Active,68
123,144207895,11375816,Active,68
124,144212390,14385,Active,68
125,144212741,20906,Active,68
127,170466791,656641,Active,68
128,144209825,2775940,Active,68
129,170465394,11289,Active,67
130,144209196,1318,Active,67
131,170464814,5746,Active,67
132,144208040,12184591,Active,67
133,144208070,8540,Active,67
134,170466346,5702159,Active,67
135,144209893,15927,Active,67
136,144211461,213032,Active,67
137,144209836,53316406,Active,67
138,144209846,60196375,Active,67
139,144207333,2734223,Active,67
140,170466862,11219835,Active,67
141,251919891,17201,Active,67
143,144207919,9158,Active,66
144,144210165,9164,Active,66
145,170466256,65399,Active,66
146,170466457,71750,Active,66
147,144206814,10455790,Active,66
148,144208684,39424,Active,66
149,144209785,221511,Active,66
150,170465752,12456,Active,66
151,144207906,16212746,Active,66
152,144209640,14868,Active,66
153,144208747,8816,Active,66
154,144208548,3598,Active,66
155,144207966,2734243,Active,66
156,144214048,3034285,Active,66
157,144211431,3352,Active,66
158,144209706,13816,Active,66
159,144209847,10411334,Active,66
160,144211427,86173,Active,66
161,144207800,2734237,Active,66
163,170466171,6918543,Active,65
164,144208216,65340,Active,65
165,170466230,13266,Active,65
167,144210799,7547,Active,65
168,144207893,11460221,Active,65
169,170465704,6708701,Active,65
170,144209299,8152,Active,65
171,144212693,61080,Active,65
172,144207299,2734247,Active,65
173,144209742,5590,Active,65
176,144207582,2406,Active,65
178,144209848,2734179,Active,65
180,170464949,55283,Active,64
182,144211603,2723715,Active,64
183,170466458,135400471,Active,64
184,170466440,71208,Active,64
185,144207224,154914,Active,64
187,170465078,54911,Active,64
188,170466126,23705,Active,64
189,170465550,9719,Active,64
190,144209244,4936,Active,64
191,170465523,2817,Active,64
192,170466548,175533,Active,64
193,144207933,2734175,Active,64
194,144209062,62097,Active,64
195,144207950,12036651,Active,64
196,144207916,2734163,Active,64
198,170466045,5282229,Active,64
199,144209850,24944555,Active,64
201,251919708,62738,Active,64
202,170464681,74989,Active,64
203,144211613,31239,Active,64
204,144209929,17110,Active,63
205,144210899,6167,Active,63
206,170466472,24405,Active,63
207,144208274,6436079,Active,63
210,170465892,91771,Active,63
211,144209069,7255,Active,63
212,170465015,43032,Active,63
213,170464963,147912,Active,63
214,170466614,6433339,Active,63
215,170465625,10113978,Active,63
216,144212716,47936,Active,63
217,170466473,65620,Active,63
218,170464824,74990,Active,63
219,144208098,34665,Active,63
220,170465022,71764,Active,63
221,144209185,8607,Active,63
222,170466220,2753,Active,63
223,144210582,24809526,Active,63
224,170465646,10041070,Active,63
225,170466728,3019305,Active,63
226,144209400,7768,Active,63
227,170466709,104610,Active,63
228,170465473,8478,Active,63
229,144209377,10943,Active,63
230,144208203,638015,Active,63
231,144212401,14249,Active,63
232,144206851,119175,Active,63
233,144207908,2336,Active,62
234,170465074,62960,Active,62
235,144209572,12902,Active,62
236,170465856,5265,Active,62
237,144209720,460612,Active,62
238,170466454,68186,Active,62
239,170466788,46780884,Active,62
240,170465084,2722,Active,62
241,170465390,3062316,Active,62
242,170466108,68604,Active,62
243,170465391,7699,Active,62
244,170465422,68589,Active,62
245,144208920,8813,Active,62
246,144211649,34313,Active,62
247,144210536,15981450,Active,62
248,144210753,13961743,Active,62
249,170465019,2788,Active,62
250,170466276,14250,Active,62
251,144209329,992,Active,62
252,144209225,27465,Active,62
253,144209989,22882,Active,62
254,144207537,11852,Active,62
256,170466067,31280,Active,62
257,251919749,23663539,Active,62
258,144209169,560256,Active,62
259,144206826,130990,Active,62
260,144207303,21013,Active,62
261,170466023,71622,Active,62
262,144212731,4659569,Active,62
263,144206329,92140,Active,62
264,170466628,42574,Active,62
265,170465175,406563,Active,62
266,170466556,443375,Active,61
267,144214002,7594,Active,61
268,170466812,5284373,Active,61
269,144210571,10201497,Active,61
270,144210818,6001,Active,61
271,144209885,11254899,Active,61
272,170466776,24466,Active,61
274,144206484,3307,Active,61
275,144209594,8305,Active,61
277,170465347,2754,Active,61
278,170466836,17693,Active,61
279,170466364,27812,Active,61
280,144209753,8154,Active,61
281,170465852,6237,Active,61
282,144208934,76302,Active,61
283,170465640,3728,Active,61
284,170465792,2333,Active,61
285,144211112,86138,Active,61
286,170466461,161803,Active,61
287,144209656,3016,Active,61
289,170466319,71693,Active,61
292,170466873,11957725,Active,61
293,170466113,151194,Active,61
294,144208108,13636,Active,61
295,144207810,2734172,Active,61
296,144206802,5282215,Active,61
297,144206804,3003141,Active,61
298,144209899,2734249,Active,61
299,170465888,2247,Active,61
301,144208159,7329,Active,61
302,170464921,3397,Active,61
303,144213961,91649,Active,61
304,144209922,14425,Active,61
305,144207811,2734177,Active,61
309,144211105,9862076,Active,61
311,144207386,11859,Active,61
312,144213554,10868,Active,61
313,251919990,14178379,Active,61
314,144210146,3884,Active,60
316,170466259,206044,Active,60
317,170466011,163751,Active,60
318,170465447,60961,Active,60
319,144205501,17931,Active,60
320,170465982,2468,Active,60
321,144214016,3712,Active,60
322,170465132,68385,Active,60
323,144209734,108005,Active,60
324,170466772,75018,Active,60
325,144213666,10068207,Active,60
326,144206880,4257,Active,60
329,170466298,70882,Active,60
330,144213115,108938,Active,60
331,144211523,100524,Active,60
332,170465734,5388977,Active,60
333,144210775,9949821,Active,60
334,170465200,2769,Active,60
335,170466162,357904,Active,60
336,170465864,5480,Active,60
337,144211882,19402,Active,60
338,170465594,3151,Active,60
339,144211884,91708,Active,60
340,170465756,65948,Active,60
341,144212945,85025,Active,60
343,144211366,86398,Active,60
344,170466265,59757,Active,60
345,144211541,12898,Active,60
346,170466819,14842,Active,60
347,170465021,4493,Active,60
348,170465475,3037,Active,60
349,170466435,5284439,Active,60
350,144208932,4931,Active,60
352,170465208,11626384,Active,60
353,144208682,73675,Active,60
354,144210575,60196408,Active,60
355,144212048,20113,Active,60
356,144211526,51605,Active,60
358,144212309,67274,Active,60
359,144211686,8753,Active,60
360,144211361,62829,Active,60
362,144212489,2723853,Active,60
366,144210948,11723708,Active,60
367,144210703,2374,Active,60
368,144210545,9865233,Active,59
369,144209318,7005,Active,59
370,170466121,6433119,Active,59
371,170466554,5074,Active,59
372,170465091,5591,Active,59
373,144210598,8413,Active,59
374,170466031,192197,Active,59
375,170465961,150762,Active,59
376,170465580,5311217,Active,59
377,170464723,214348,Active,59
378,170465151,55245,Active,59
379,170466266,35375,Active,59
380,170464867,3957,Active,59
381,170464884,28417,Active,59
382,170466175,5702162,Active,59
383,144212536,32872,Active,59
385,144207890,7264,Active,59
386,170464722,3168,Active,59
387,170466110,60662,Active,59
388,144211885,91673,Active,59
389,170465736,71777,Active,59
390,144209106,11860,Active,59
391,170466644,5723,Active,59
392,170464864,16362,Active,59
393,170465465,31202,Active,59
394,170464810,64139,Active,59
395,170466281,4847,Active,59
396,170465210,169870,Active,59
398,144206837,20054967,Active,59
400,251919721,11159021,Active,59
401,144213993,7452,Active,59
402,144209717,3552,Active,59
403,144213969,6625,Active,59
404,170465785,2793,Active,59
405,170465611,3686,Active,59
406,170464925,5073,Active,59
407,144211966,85335,Active,59
408,144209897,21917397,Active,59
409,170465374,3386,Active,59
410,170465593,65057,Active,59
411,170465336,156418,Active,59
412,144211155,7430,Active,59
413,144213812,180494,Active,59
415,144211040,107720,Active,59
416,144214019,6010,Active,59
417,144211081,91766,Active,59
418,144210528,9831581,Active,59
419,144209726,5371728,Active,59
420,144214035,11442,Active,59
421,144210855,5770,Active,59
422,144209032,4993,Active,59
424,144213070,16560,Active,59
425,144207849,7543,Active,59
426,144208619,15531,Active,59
428,144212634,14720269,Active,59
429,144208749,37175,Active,59
430,144211312,80277,Active,59
431,144209605,448537,Active,59
432,144209129,6028,Active,59
434,144208266,15533,Active,59
436,144210544,53316396,Active,59
437,144211656,118703,Active,59
438,144211429,33360,Active,59
439,144212219,16115,Active,59
443,144213718,10345790,Active,59
444,144211841,10346,Active,59
445,144209994,51040,Active,59
447,144213881,129491,Active,59
449,144211170,5974,Active,59
450,251919861,83119,Active,59
451,144207752,6620,Active,59
453,144212814,86211,Active,59
454,251919989,13059052,Active,59
455,144210577,60196410,Active,58
456,144209280,13450,Active,58
457,170465867,5282138,Active,58
458,144211463,11826859,Active,58
459,170466120,60785,Active,58
460,144206397,60196322,Active,58
461,170465840,4177,Active,58
462,144213901,28777,Active,58
463,144208080,5354284,Active,58
464,144207274,4890,Active,58
465,170465121,63009,Active,58
466,144209113,6336,Active,58
467,170465344,65495,Active,58
469,170464828,123631,Active,58
471,170466089,22601,Active,58
472,144209414,62306,Active,58
473,144212538,34468,Active,58
474,144210608,5757,Active,58
475,144212209,19113,Active,58
476,144210084,11764,Active,58
477,144210361,8411,Active,58
478,144211775,6624,Active,58
479,144211030,2078,Active,58
480,144206432,65494,Active,58
481,144209022,27189,Active,58
482,251919981,5355079,Active,58
483,144207755,6619,Active,58
484,144211744,38884,Active,58
485,144212688,2477,Active,58
486,144210762,9861124,Active,58
487,144208846,31362,Active,58
488,144212539,16722125,Active,58
489,144212518,5284558,Active,58
490,144214007,8425,Active,58
493,144207467,700999,Active,58
495,144207242,5391,Active,58
497,144207471,7737,Active,58
498,144211890,10107,Active,58
499,144209643,1988,Active,58
500,144207593,8442,Active,58
501,144210911,10522,Active,58
502,144211578,6733,Active,58
503,144209883,11074101,Active,58
504,144211176,43234,Active,58
505,144207636,8155,Active,58
506,144210751,9866250,Active,58
507,144210040,68297,Active,58
508,144211635,91693,Active,58
509,144210901,60560,Active,58
511,144214004,171660,Active,58
512,144209004,727200,Active,58
513,144207667,7112,Active,58
514,144210946,833466,Active,58
515,144210535,53257735,Active,58
517,144212590,86210,Active,58
518,144210985,29732,Active,58
519,144211562,119193,Active,58
522,144209326,81259,Active,58
523,144212073,27211,Active,58
524,144208990,5994,Active,58
525,144211496,73665,Active,58
526,144207290,13745,Active,58
527,144207513,1548943,Active,58
528,144212024,86171,Active,58
530,144209998,71027,Active,58
531,144208665,73864,Active,58
532,144213110,107377,Active,58
533,144212935,4420067,Active,58
534,144209462,6014,Active,58
535,144212095,5392,Active,58
536,144207512,6439929,Active,58
537,144207417,10866,Active,58
538,144207756,84677,Active,58
539,144211367,13218777,Active,58
540,144212084,6610,Active,58
541,144209804,5702746,Active,58
542,144212880,71612,Active,58
543,144211188,176879,Active,58
545,251919894,18391,Active,58
546,144208408,79717,Active,58
547,144211050,12932,Active,58
548,251919734,91656,Active,58
549,144208546,2723789,Active,58
550,144208790,299,Active,58
552,251919710,16248,Active,57
553,144208866,11107,Active,57
554,144208471,1483,Active,57
555,144211103,8227,Active,57
556,144211531,3830,Active,57
557,144206400,60196324,Active,57
558,144208704,57363,Active,57
559,144210434,7311,Active,57
560,144212519,2540,Active,57
561,144213948,68570,Active,57
562,144210190,6623,Active,57
563,144212719,6166,Active,57
564,144212276,170530,Active,57
565,144208495,11742,Active,57
566,251919731,5879,Active,57
567,144210754,156328,Active,57
568,144211110,25912,Active,57
569,144209461,3610,Active,57
