PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,170464668,457193,Active,100
2,144211195,7511,Active,86
3,170465590,11969781,Active,85
4,170466094,47936,Active,84
5,144207792,53316407,Active,84
6,170466816,6758,Active,83
7,144207595,3068143,Active,83
8,144210120,10607,Active,83
9,144208356,6197,Active,82
10,170465524,16682730,Active,81
11,144213748,8816,Active,81
13,144209846,60196375,Active,81
14,170465705,10219,Active,80
15,144210809,5284416,Active,80
16,144211613,31239,Active,80
17,144209207,9889168,Active,80
19,170466862,11219835,Active,79
20,170464627,636362,Active,78
21,170465514,16682935,Active,78
23,144207788,12040509,Active,78
24,144208357,62770,Active,78
25,144209821,2734225,Active,78
26,170464710,5288783,Active,77
27,144207801,16211009,Active,77
28,144209845,18506491,Active,77
30,144212515,21218,Active,76
31,144207791,22239085,Active,76
32,144209681,443939,Active,76
33,144209820,22078297,Active,76
34,144209836,53316406,Active,76
35,170465011,6167,Active,75
37,170466414,9910986,Active,75
39,144209677,177,Active,75
40,144209822,10044526,Active,75
41,144209856,60196379,Active,75
42,170466878,11556711,Active,74
44,144211912,181518,Active,74
45,144212321,16683023,Active,74
46,144207779,22678982,Active,74
47,144209825,2775940,Active,74
48,144209827,46226173,Active,74
49,144211896,91778,Active,73
50,144207790,11461044,Active,73
51,170466228,20054964,Active,73
52,251919686,11294,Active,73
53,170465183,51082,Active,72
54,170465048,30323,Active,72
55,144210674,8152,Active,72
56,144211355,86354,Active,72
57,144212401,14249,Active,72
58,144207617,31204,Active,72
59,144209719,2724411,Active,72
60,144209910,60196397,Active,72
61,170465330,16051941,Active,72
62,170464976,5388983,Active,72
63,144210949,442972,Active,71
64,144212150,31202,Active,71
65,144207794,10250129,Active,71
66,170465822,11296583,Active,71
67,251919880,9888276,Active,71
68,170465180,5311,Active,70
69,170465615,9577124,Active,70
70,144211225,20708,Active,70
71,144212382,8753,Active,70
72,144211722,17701,Active,70
73,144208657,33528,Active,70
75,144209768,8755,Active,70
76,170465461,6099,Active,69
77,144211215,9576412,Active,69
78,144211556,62379,Active,69
79,144213215,235227,Active,69
80,144213317,24633,Active,69
81,144207798,2734231,Active,69
82,144208885,15910,Active,69
83,144209828,23160059,Active,69
85,144210748,135418174,Active,68
86,144210760,10407399,Active,68
87,144211853,75444,Active,68
89,144209850,24944555,Active,68
90,170464708,38911,Active,67
91,170466067,31280,Active,67
93,144212317,15337,Active,67
94,144207774,3015167,Active,67
95,170466896,24964624,Active,66
96,144212433,26030,Active,66
97,144208907,17038,Active,66
100,144210807,17520,Active,65
101,144212221,36274,Active,65
102,144212039,108956,Active,65
103,144208434,10788,Active,65
105,144209858,2734229,Active,65
98,170466192,42725,Active,65
99,170466458,135400471,Active,65
106,170466595,54459,Active,64
107,170465661,4622,Active,64
108,170466845,5753,Active,64
109,144210532,10483134,Active,64
110,144210755,9984487,Active,64
111,144211407,91754,Active,64
112,144212178,1730,Active,64
113,144213058,3598,Active,64
114,144213825,86287525,Active,64
115,144207793,2734227,Active,64
116,144207948,16212610,Active,64
117,144208226,2734117,Active,64
121,144209723,104827,Active,64
122,144209753,8154,Active,64
123,144210178,70425,Active,64
124,170464963,147912,Active,64
125,170464814,5746,Active,63
126,170466074,5709754,Active,63
127,170466548,175533,Active,63
128,170466763,73828,Active,63
129,144210915,23558,Active,63
130,144210763,9865929,Active,63
132,144211228,86298,Active,63
133,144211447,6422843,Active,63
134,144211945,10568,Active,63
135,144211643,11488,Active,63
136,144211541,12898,Active,63
137,144213139,9074,Active,63
139,144207333,2734223,Active,63
140,144208007,16218822,Active,63
141,144208040,12184591,Active,63
142,144209225,27465,Active,63
143,144209523,22772,Active,63
144,144209706,13816,Active,63
145,144209734,108005,Active,63
146,144209893,15927,Active,63
147,144209922,14425,Active,63
148,251919761,183559,Active,63
149,170465962,5092,Active,62
151,170466396,123015,Active,62
152,170465523,2817,Active,62
153,170466126,23705,Active,62
154,170466390,7083,Active,62
155,144210773,9843744,Active,62
156,144210913,20279,Active,62
157,144210888,11057,Active,62
158,144211122,4936,Active,62
159,144211170,5974,Active,62
162,144211653,10303,Active,62
163,144212741,20906,Active,62
164,144213727,132932,Active,62
165,144207320,5743,Active,62
166,144207546,12456,Active,62
167,144207893,11460221,Active,62
168,144207906,16212746,Active,62
169,144207966,2734243,Active,62
170,144209811,16217238,Active,62
171,144209812,11181836,Active,62
172,170464949,55283,Active,62
173,170466049,3671,Active,61
174,144214048,3034285,Active,61
175,170466276,14250,Active,61
176,170465226,9556529,Active,61
177,144210942,11285653,Active,61
178,144213331,6436,Active,61
179,144213953,5870,Active,61
180,144207224,154914,Active,61
181,144207253,6537495,Active,61
182,144207417,10866,Active,61
183,144207895,11375816,Active,61
184,144208013,5754,Active,61
185,144208245,7265,Active,61
186,144208684,39424,Active,61
190,170466107,9578572,Active,61
191,170465006,4485,Active,60
192,170465335,11102,Active,60
193,170466402,26596,Active,60
194,170466118,3060974,Active,60
195,144210759,6914152,Active,60
196,144210756,9935274,Active,60
198,144211394,8607,Active,60
199,144211648,21330,Active,60
201,144207923,3378440,Active,60
202,144208858,17142,Active,60
203,144209062,62097,Active,60
205,144209368,27423,Active,60
206,144209515,289,Active,60
207,144209687,82917,Active,60
208,144209705,6537502,Active,60
209,144209993,13530,Active,60
210,144210007,15412,Active,60
212,251919791,18156,Active,60
213,170465137,60699,Active,59
214,170465127,2913,Active,59
215,170464800,9570076,Active,59
216,170466346,5702159,Active,59
217,170466819,14842,Active,59
218,144214004,171660,Active,59
220,170466311,27400,Active,59
221,170465194,247839,Active,59
222,170466012,3760,Active,59
223,170465064,208898,Active,59
224,144210907,22206,Active,59
225,144211088,11402127,Active,59
226,144211089,8606,Active,59
