PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,144212135,9403,Active,100
2,170465876,102232,Active,97
3,144212958,223368,Active,97
4,170465998,17273,Active,96
5,144211921,5756,Active,95
6,144213030,657220,Active,94
8,144209255,5757,Active,89
11,170465362,667476,Active,86
12,170464803,3054,Active,86
13,144211773,192197,Active,85
14,170466708,5805243,Active,84
15,170465258,9818306,Active,83
16,144209605,448537,Active,83
17,170465909,16141,Active,82
18,170465211,13765,Active,82
19,144210731,5991,Active,82
22,144213948,68570,Active,76
23,170465020,5870,Active,75
24,170466403,259331,Active,72
27,170466438,72016,Active,65
28,170465905,101905,Active,64
29,170464933,9270,Active,64
30,144208410,9904,Active,63
31,144209253,6978,Active,63
32,170465918,111318,Active,62
33,170465049,54685925,Active,62
34,144209257,1046,Active,62
35,144207737,25015,Active,62
36,170466095,251636,Active,60
37,144212286,5284486,Active,60
38,144209270,24860538,Active,59
39,170465193,229455,Active,59
41,170465614,5881,Active,57
43,144208185,10635,Active,57
44,144209646,743,Active,57
46,170464835,5995,Active,56
47,144209218,4650,Active,56
49,144209254,7929,Active,55
50,144209631,7338,Active,55
51,170465874,444008,Active,54
53,170465357,6291,Active,53
54,144210941,727,Active,53
56,144213952,5281708,Active,53
57,144208490,8413,Active,53
58,144209648,8083,Active,53
59,144209661,6535,Active,53
61,144208161,14709,Active,52
63,170466848,5280961,Active,51
65,144209486,8571,Active,51
66,144209574,12472902,Active,51
68,144213160,6626,Active,50
71,144209508,73852,Active,50
72,170465641,6293,Active,49
73,170466069,6300,Active,49
77,144209310,7276,Active,49
78,144209660,6917,Active,49
79,251919827,608116,Active,48
80,170465048,30323,Active,48
81,170465054,9046,Active,48
82,144207748,69150,Active,48
83,144209659,33557,Active,48
84,144209681,443939,Active,48
85,144210052,4788,Active,48
86,170464631,6010,Active,47
87,170465157,8814,Active,47
88,144212744,6230,Active,47
89,144213818,5281576,Active,47
90,144207667,7112,Active,47
100,144210099,11796,Active,46
101,144210136,44368,Active,46
102,170465836,656583,Active,46
103,144207711,197873,Active,46
93,144213535,3220,Active,46
94,144207887,6013,Active,46
95,144208090,919792,Active,46
96,144208171,17570,Active,46
97,144208361,12111,Active,46
98,144208740,5280443,Active,46
99,144209522,62530,Active,46
104,170464627,636362,Active,45
105,170464882,16051918,Active,45
106,144210609,9153,Active,45
110,170465403,5281034,Active,45
111,144210635,23284,Active,44
112,144211715,94932,Active,44
113,144213690,445154,Active,44
114,144208427,14347,Active,44
117,144209151,75576,Active,44
118,144209883,11074101,Active,44
119,144207908,2336,Active,44
121,144210945,96088,Active,43
123,144212507,13254,Active,43
124,144207987,22463,Active,43
125,144208363,5280863,Active,43
126,144209636,15787,Active,43
127,144210158,28308,Active,43
128,251919981,5355079,Active,42
129,170464914,4030,Active,42
130,170466053,93858,Active,42
131,144210534,18173271,Active,42
132,144210473,289,Active,42
133,144210907,22206,Active,42
134,144211565,117640,Active,42
135,144212093,103005,Active,42
136,144213051,7103,Active,42
137,144212912,75547,Active,42
138,144212894,75282,Active,42
141,170465095,72187522,Active,41
142,144210879,5281,Active,41
143,144211811,69990,Active,41
144,144213271,8805,Active,41
145,144213885,86607,Active,41
146,144208922,9128,Active,41
147,144209258,5954,Active,41
148,144210965,65067,Active,41
149,144208064,73773,Active,40
150,170466671,3017698,Inconclusive,30
151,170466695,77547,Inconclusive,30
152,170465914,6607,Inconclusive,30
153,170465251,25249,Inconclusive,30
154,251919669,11381,Inconclusive,30
155,251919928,12279,Inconclusive,30
156,251919988,2724429,Inconclusive,30
157,251919907,10894,Inconclusive,30
158,251919844,5355853,Inconclusive,30
159,251919930,12287,Inconclusive,30
160,251919890,32594,Inconclusive,30
161,251919676,5365794,Inconclusive,30
162,251919704,5280970,Inconclusive,30
163,170466071,38072,Inconclusive,30
164,144212253,6850780,Inconclusive,30
165,144211857,33786,Inconclusive,30
166,144213616,11937,Inconclusive,30
167,144213602,7050,Inconclusive,30
168,144211232,5280567,Inconclusive,30
169,144207230,5281707,Inconclusive,30
170,144207594,71833,Inconclusive,30
171,144207919,9158,Inconclusive,30
174,144210161,14586,Inconclusive,30
175,170464706,5546,Inconclusive,30
176,144211385,60196415,Inconclusive,30
177,170466817,5284452,Inconclusive,30
178,170466507,8480,Inconclusive,30
179,170464956,3059,Inconclusive,30
180,170465830,6604561,Inconclusive,30
181,144214049,6623,Inconclusive,30
182,144213973,7175,Inconclusive,30
183,170465429,656833,Inconclusive,30
184,170465715,8434,Inconclusive,30
186,170465849,65947,Inconclusive,30
187,170465882,4410,Inconclusive,30
188,170466372,71648,Inconclusive,30
189,170466364,27812,Inconclusive,30
190,170466148,656829,Inconclusive,30
191,144206890,2461,Inconclusive,30
192,144210602,4764,Inconclusive,30
193,144210382,7471,Inconclusive,30
194,144210605,5280343,Inconclusive,30
196,144210769,9867605,Inconclusive,30
197,144211192,12756,Inconclusive,30
198,144211216,53316400,Inconclusive,30
199,144211230,25127,Inconclusive,30
200,144211497,8048,Inconclusive,30
202,144212287,64819,Inconclusive,30
203,144212740,23665761,Inconclusive,30
204,144212451,7612,Inconclusive,30
205,144212717,10207,Inconclusive,30
206,144212647,7180,Inconclusive,30
207,144211840,8416,Inconclusive,30
208,144211599,4128060,Inconclusive,30
209,144212288,6253,Inconclusive,30
210,144211547,69508,Inconclusive,30
211,144212345,6480,Inconclusive,30
212,144212409,62576,Inconclusive,30
213,144212673,6405,Inconclusive,30
214,144212481,7272,Inconclusive,30
215,144212370,13345,Inconclusive,30
216,144211891,19756,Inconclusive,30
217,144212578,55182,Inconclusive,30
218,144212058,16773,Inconclusive,30
219,144211700,66755,Inconclusive,30
220,144211589,66573,Inconclusive,30
221,144211941,81410,Inconclusive,30
222,144212102,11230,Inconclusive,30
223,144212689,3001055,Inconclusive,30
224,144212660,8893,Inconclusive,30
225,144212625,62465,Inconclusive,30
226,144212609,10883,Inconclusive,30
227,144212332,93502,Inconclusive,30
228,144213218,5280373,Inconclusive,30
229,144213247,8815,Inconclusive,30
230,144213182,8572,Inconclusive,30
231,144212957,20653,Inconclusive,30
232,144212983,519382,Inconclusive,30
233,144213024,70917,Inconclusive,30
234,144212960,62092,Inconclusive,30
236,144213018,21574,Inconclusive,30
237,144213615,31344,Inconclusive,30
238,144213601,1060,Inconclusive,30
239,144213603,7954,Inconclusive,30
240,144213604,7915,Inconclusive,30
241,144213355,8663,Inconclusive,30
242,144213605,17317,Inconclusive,30
243,144213579,517121,Inconclusive,30
244,144213892,5889,Inconclusive,30
245,144213847,23667648,Inconclusive,30
246,144213871,8372,Inconclusive,30
247,144213860,10685477,Inconclusive,30
248,144213872,23677963,Inconclusive,30
249,144213894,87250,Inconclusive,30
250,144213849,74282,Inconclusive,30
251,144213873,2187,Inconclusive,30
252,144213895,12021,Inconclusive,30
253,144213838,7610,Inconclusive,30
254,144213862,75454,Inconclusive,30
255,144213883,17113,Inconclusive,30
256,144213884,904857,Inconclusive,30
257,144213875,4766,Inconclusive,30
258,144211513,8010,Inconclusive,30
259,144207270,11346,Inconclusive,30
260,144207286,20750,Inconclusive,30
261,144207330,29096,Inconclusive,30
262,144207348,7597,Inconclusive,30
263,144207390,10486,Inconclusive,30
264,144207506,7546,Inconclusive,30
265,144207699,20240,Inconclusive,30
266,144207702,13622,Inconclusive,30
267,144207740,83050,Inconclusive,30
268,144207741,8570,Inconclusive,30
271,144207873,7258,Inconclusive,30
272,144207988,6333,Inconclusive,30
273,144208005,6979,Inconclusive,30
274,144208021,7003,Inconclusive,30
275,144208022,7850,Inconclusive,30
276,144208023,53316418,Inconclusive,30
277,144208038,10967,Inconclusive,30
278,144208053,13551,Inconclusive,30
