PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE
1,170465615,9577124,Active,100
2,144210944,169371,Active,97
3,170466816,6758,Active,96
4,170465087,387447,Active,95
5,170466878,11556711,Active,95
6,144213429,12688,Active,95
7,144211355,86354,Active,94
8,170464688,126941,Active,93
10,144211407,91754,Active,92
11,170465176,45006154,Active,92
12,144211853,75444,Active,92
13,144211636,4778,Active,92
15,144209719,2724411,Active,90
16,144207793,2734227,Active,89
17,144213215,235227,Active,88
18,144211215,9576412,Active,87
19,251919880,9888276,Active,87
20,144208824,15096,Active,87
21,144207792,53316407,Active,87
22,144212799,16682953,Active,85
23,144207774,3015167,Active,84
24,144209828,23160059,Active,84
25,251919686,11294,Active,84
26,170466500,16211385,Active,83
27,144209827,46226173,Active,83
28,144207794,10250129,Active,83
29,144212404,6099,Active,83
30,144212551,6857648,Active,83
31,170466074,5709754,Active,83
33,251919761,183559,Active,81
34,170466390,7083,Active,81
35,170465183,51082,Active,81
36,144209677,177,Active,81
37,144211447,6422843,Active,80
38,144208226,2734117,Active,80
39,144209858,2734229,Active,80
40,170465137,60699,Active,80
41,144209723,104827,Active,79
42,144208960,11057,Active,79
43,144211896,91778,Active,79
44,144209207,9889168,Active,79
45,144213317,24633,Active,79
46,144207801,16211009,Active,78
47,144211494,91731,Active,78
48,144209856,60196379,Active,78
49,144212639,299728,Active,78
50,144211722,17701,Active,78
54,144209910,60196397,Active,76
55,144208007,16218822,Active,76
57,144211088,11402127,Active,76
58,144209845,18506491,Active,76
59,144207788,12040509,Active,75
61,144212450,24773,Active,75
62,144209822,10044526,Active,75
63,144211556,62379,Active,75
64,144209811,16217238,Active,75
65,144211179,15910,Active,75
66,144213657,60196435,Active,74
67,144212383,2603,Active,74
68,144207948,16212610,Active,74
69,144209830,16211417,Active,74
71,144207253,6537495,Active,74
72,170466068,72416,Active,73
73,144209981,70414,Active,73
74,144209820,22078297,Active,73
75,144207711,197873,Active,73
76,251919850,70671,Active,73
77,144207895,11375816,Active,73
78,144209196,1318,Active,73
79,144209846,60196375,Active,73
80,144207790,11461044,Active,72
81,170466171,6918543,Active,72
82,144211364,213016,Active,72
83,144209812,11181836,Active,72
84,144213953,5870,Active,72
85,144210756,9935274,Active,72
86,144209825,2775940,Active,72
87,144207791,22239085,Active,71
88,144210942,11285653,Active,71
89,170466776,24466,Active,71
90,144210559,9849616,Active,71
91,144209244,4936,Active,71
92,144212086,60196421,Active,71
93,144209850,24944555,Active,71
94,144209836,53316406,Active,71
100,144213748,8816,Active,70
95,170466391,6258,Active,70
96,144209893,15927,Active,70
97,170465822,11296583,Active,70
99,144209299,8152,Active,70
101,144208920,8813,Active,69
102,144207326,5364713,Active,69
104,144213886,11292,Active,69
105,144212515,21218,Active,69
106,144212433,26030,Active,69
108,170465180,5311,Active,68
109,144209821,2734225,Active,68
110,144211141,11048796,Active,68
111,144211461,213032,Active,68
113,144211118,17038,Active,68
114,170466075,16574,Active,67
116,144210146,3884,Active,67
117,144207546,12456,Active,67
118,170466523,9849425,Active,67
119,144210553,9909677,Active,67
120,144211613,31239,Active,67
121,144212384,14250,Active,67
122,170466204,5458876,Active,66
123,170465126,451668,Active,66
124,170465687,6084,Active,66
125,170466791,656641,Active,66
126,144209742,5590,Active,66
127,144212067,69765,Active,66
128,144208086,7120,Active,66
129,144214048,3034285,Active,66
130,144209686,8478,Active,66
131,170466499,71821,Active,65
132,144209929,17110,Active,65
133,170465670,443101,Active,65
135,170466896,24964624,Active,65
136,170466548,175533,Active,65
137,144211427,86173,Active,65
138,144212518,5284558,Active,65
139,170465247,5790,Active,64
141,144207986,2723598,Active,64
142,144208548,3598,Active,64
143,144212568,6112114,Active,64
145,144207333,2734223,Active,64
146,144212401,14249,Active,64
147,144210733,2812,Active,64
148,144210449,4993,Active,64
149,144213718,10345790,Active,64
150,144212382,8753,Active,64
151,144207198,135400182,Active,63
152,170464627,636362,Active,63
153,144208040,12184591,Active,63
154,144209709,14710,Active,63
155,144212534,53249535,Active,63
157,144208602,9552079,Active,63
158,144211260,122087,Active,63
159,144210582,24809526,Active,63
160,144212150,31202,Active,63
161,144210915,23558,Active,63
162,144211763,14842,Active,63
164,144209086,8400,Active,62
165,170465332,6432394,Active,62
166,144211410,10403199,Active,62
167,144212078,23672293,Active,62
168,144207966,2734243,Active,62
169,144210198,10868,Active,62
170,144207512,6439929,Active,62
171,170464911,6256,Active,61
172,144208429,65114,Active,61
